%% MetaTwins_RDMsc_training for 'xubojie': starting at _feedback (       49.0000000000).9-Jan-2019 11:31:29 for '7.374445e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  16  3    3   1    0    8    2.498870   0    0  1.433359   4.064840 1.282344   5.464197 0.999539   6.463735   7.463288 0.535800   6  
   2  16  2    2   1    0    8    8.496148   0    0  2.182914  10.795111 1.480063  12.394389 0.999547  13.393936  14.393486 0.602820   7  
   3  14  2    2   1    0    8   15.492984   0    0  1.566586  17.175556 0.629236  17.925211 0.999540  18.924751  19.924309 1.068756   6  
   4  14  1   -1   0    0    2   21.506919   0    0  0.000000  24.022489 0.071413  24.205710 0.999550  25.205261  26.204790 0.802367   6  
   5  14  3    3   1    0    7   27.504209   0    0  1.799950  29.436679 1.120294  30.669442 0.999546  31.668988  32.668537 1.335895   7  
   6  13  1    2   0    0    7   34.501040   0    0  1.566488  36.200268 1.279820  37.599638 0.999538  38.599176  39.598727 1.402543   7  
   7  13  2    2   1    0    8   41.497864   0    0  1.000117  42.664012 0.712607  43.496987 0.999522  44.496509  45.496065 0.502038   5  
   8  13  4   -1   0    0   -1   46.495614   0    0  0.000000  49.011142 0.000000  49.344315 0.999535  50.343850  51.343415 0.652413   6  
   9  13  1    3   0    0    7   52.492890   0    0  1.883166  54.508639 1.065216  55.691449 0.999528  56.690978  57.690533 1.302534   7  
  10  13  2    2   1    0    8   59.489721   0    0  1.349997  60.955729 1.084845  62.155171 0.999541  63.154712  64.154263 0.835581   6  
  11  13  1    4   0    0    7   65.487009   0    0  1.533203  67.136260 0.994070  68.235764 0.999542  69.235306  70.234842 0.752221   6  
  12  13  2    2   1    0    7   71.500948   0    0  1.883067  73.500042 0.969069  74.582888 0.999540  75.582429  76.581970 1.419206   7  
  13  13  4    2   0    0    6   78.497768   0    0  2.033003  80.646804 1.315097  82.079494 0.999526  83.079020  84.078581 0.919449   7  
  14  13  4    3   0    0    2   85.511254   0    0  2.349491  87.976807 1.949231  90.042551 0.999561  91.042112  92.041642 0.969854   8  
  15  14  4    2   0    0    8   93.507637   0    0  1.499918  95.123582 0.885064  96.123126 0.999539  97.122666  98.122218 0.885657   6  
  16  14  1    1   1    0    8   99.504916   0    0  1.733200 101.387418 1.068152 102.570212 0.999541 103.569752 104.569296 1.435807   7  
  17  14  1    3   0    0    8  106.501757   0    0  1.250162 107.867805 0.821098 108.800718 0.999542 109.800261 110.799808 1.202073   6  
  18  14  4    4   1    0    8  112.499032   0    0  1.816438 114.431496 1.372329 115.914164 0.999538 116.913702 117.913245 1.085852   7  
  19  14  2    3   0    0    1  119.512523   0    0  2.233034 121.861470 1.850801 123.827241 0.999536 124.826776 125.826322 1.186424   8  
  20  14  4    2   0    0    7  127.508908   0    0  1.766457 129.391392 1.550349 131.057298 0.999535 132.056833 133.056393 0.952744   7  
  21  15  4    2   0    0   -1  134.505732   0    0  2.299346 136.937974 0.000000 138.937006 0.999594 139.936599 140.936155 1.069813   8  
  22  15  2   -1   0    0    3  142.502102   0    0  0.000000 145.017656 0.766572 145.900566 0.999548 146.900115 147.899666 1.102683   7  
  23  15  1    1   1    0    8  149.498945   0    0  1.583267 151.214832 0.786594 152.114419 0.999557 153.113976 154.113519 0.885574   6  
  24  15  2    2   1    0    6  155.496223   0    0  1.833141 157.445351 1.324706 158.878026 0.999541 159.877567 160.877118 1.119215   7  
  25  14  3    2   0    0    6  162.509707   0    0  2.316217 164.941939 1.707389 166.757792 0.999538 167.757330 168.756891 1.253055   8  
  26  14  4   -1   0    0    2  170.506088   0    0  0.000000 173.021623 0.171430 173.304818 0.999538 174.304357 175.303906 0.702411   6  
  27  14  3    2   0    0    8  176.503371   0    0  0.883545 177.502936 0.837110 178.452496 0.999538 179.452034 180.451590 0.552013   5  
  28  15  2   -1   0    0    2  181.501111   0    0  0.000000 184.016666 0.303933 184.433123 0.999528 185.432651 186.432208 0.569128   6  
  29  15  4    2   0    0    8  187.498395   0    0  2.099667 189.714058 1.024850 190.846876 0.999540 191.846416 192.845969 1.152642   7  
  30  15  1   -1   0    0   -1  194.495221   0    0  0.000000 197.010776 0.000000 199.009794 0.999599 200.009393 201.008930 0.986468   8  
  31  15  1    2   0    0    8  202.491602   0    0  1.549936 204.174052 1.150480 205.440263 0.999545 206.439808 207.439354 0.552352   6  
  32  16  3    3   1    0    7  208.505536   0    0  2.099553 210.737867 1.340358 212.187207 0.999551 213.186758 214.186310 0.819453   7  
  33  16  4    2   0    0    6  215.502365   0    0  2.016322 217.634739 1.640320 219.383953 0.999534 220.383487 221.383034 0.619564   7  
  34  16  3   -1   0    0    2  222.499206   0    0  0.000000 225.014740 0.247111 225.381237 0.999530 226.380767 227.380319 0.619108   6  
  35  16  3    2   0    0   -1  228.496483   0    0  1.099940 229.745934 0.000000 231.744965 0.999597 232.744562 233.744126 1.252585   7  
  36  16  2    2   1    0    8  235.493322   0    0  1.000151 236.626136 0.903889 237.642345 0.999544 238.641889 239.641430 1.352109   6  
  37  16  2   -1   0    0    2  241.490593   0    0  0.000000 244.006133 0.000473 244.122742 0.999536 245.122277 246.121828 0.868941   6  
  38  16  4    4   1    0    7  247.487882   0    0  1.466676 249.070498 1.192056 250.369932 0.999527 251.369459 252.369000 0.619009   6  
  39  14  2    2   1    0   -1  253.485157   0    0  0.966798 254.584669 0.000000 256.583729 0.999566 257.583295 258.582846 1.402373   7  
