%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhangshu (       49.0000000000).9-Jan-2019 17:28:057.374447e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   15   1   0    4    2.498382 1.133086   3.747656 1.858927   5.713029 2.285684   6  
   2  3   15   2   0    2    8.494581 1.366255   9.976974 0.970020  11.059631 2.935276   6  
   3  4   15   4   1    1   14.507429 1.582657  16.206357 0.730347  17.055799 2.951950   6  
   4  1   15   1   1    5   20.503624 1.649385  22.269008 0.359351  22.735531 3.268378   6  
   5  2   15   2   1    5   26.499784 1.815863  28.431895 0.563093  29.114801 2.885320   6  
   6  1   15   1   1    3   32.495984 1.116181  33.728441 1.728234  35.577363 2.418949   6  
   7  3   15   1   0    4   38.508776 1.516256  40.141133 1.298563  41.556897 2.452251   6  
   8  4   15   4   1    5   44.505024 1.599504  46.220587 0.347477  46.686962 3.318378   6  
   9  2   15   2   1    3   50.501214 1.782515  52.399991 0.963129  53.482635 2.518888   6  
  10  2   15   4   0    3   56.497381 1.765824  58.379516 0.588230  59.079072 2.918630   6  
  11  1   15   1   1    4   62.493564 1.233074  63.842715 1.276119  65.225170 2.768717   6  
  12  4   15   4   1    3   68.506421 1.549416  70.172011 0.743404  71.021484 2.985256   6  
  13  3   15   4   0    2   74.502607 1.899260  76.517990 1.201009  77.833804 2.169106   6  
  14  4   15   4   1    5   80.498782 1.782616  82.397576 0.498177  83.013855 2.985256   6  
  15  2   15   2   1    2   86.494947 1.699445  88.310488 0.930003  89.359819 2.635478   6  
  16  1   15   1   1    3   92.507809 1.516138  94.140109 0.661118  94.906290 3.101842   6  
  17  2   15   3   0    3   98.504007 1.899237 100.519379 0.800797 101.435460 2.568863   6  
  18  1   15   3   0    3  104.500176 2.198965 106.815367 0.749260 107.681501 2.318993   6  
  19  1   15  -1   0    4  110.496379 0.000000 113.011461 0.023207 113.144690 2.852005   6  
  20  4   15   3   0    2  116.509191 1.616129 118.241372 1.040873 119.390716 2.618809   6  
  21  3   15   4   0    2  122.505402 1.899272 124.520780 0.438516 125.070430 2.935285   6  
  22  2   15   2   1    4  128.501587 1.749305 130.367053 0.441806 130.916710 3.085190   6  
  23  4   15   4   1    5  134.497761 1.316349 135.930206 0.867214 136.912903 3.085190   6  
  24  4   15   4   1    3  140.510595 1.466268 142.092925 0.386150 142.592615 3.418312   6  
  25  3   15   4   0    2  146.506786 2.148909 148.772026 0.844982 149.738065 2.269062   6  
  26  4   15   4   1    3  152.502995 1.183066 153.802144 0.281572 154.201901 3.801403   6  
  27  3   15   4   0    2  158.499184 1.782673 160.397967 0.745521 161.264074 2.735407   6  
  28  1   15   4   0    3  164.512000 2.165925 166.793890 0.484300 167.393522 2.618821   6  
  29  2   15  -1   0    2  170.508139 0.000000 173.023298 0.104482 173.239798 2.768729   6  
  30  2   15   4   0    3  176.504395 2.099148 178.719627 0.287816 179.119389 2.885307   6  
  31  4   15   4   1    3  182.500588 1.665929 184.282767 0.476811 184.865725 3.135167   6  
  32  3   15   4   0    5  188.496754 1.649349 190.262285 0.409161 190.778640 3.218441   6  
  33  4   15   2   0    4  194.509602 1.899100 196.524992 1.059093 197.690909 2.318998   6  
  34  1   15   4   0    3  200.505780 1.632669 202.254689 0.581884 202.954225 3.051865   6  
  35  2   15   4   0    2  206.501964 1.982342 208.600634 0.347774 209.066996 2.935296   6  
  36  3   15   4   0    2  212.498161 1.666163 214.280359 0.705773 215.096505 2.901981   6  
  37  1   15   4   0    2  218.510985 1.582716 220.209902 0.300223 220.626317 3.385002   6  
  38  1   15   1   1    5  224.507184 1.665924 226.289351 0.895077 227.305395 2.702096   6  
  39  2   15   4   0    2  230.503375 1.632610 232.252261 0.622194 232.985130 3.018552   6  
  40  2   15   4   0    5  236.499592 1.366311 237.981932 0.459355 238.548254 3.451623   6  
  41  1   15   2   0    2  242.512386 1.982563 244.611056 0.718642 245.443863 2.568850   6  
  42  1   15   3   0    2  248.508523 1.932630 250.557277 0.488142 251.156903 2.852005   6  
  43  2   15   3   0    2  254.504773 1.715944 256.336949 1.150986 257.602808 2.402279   6  
  44  2   15   3   0    2  260.500944 2.165725 262.782835 1.011158 263.915455 2.085823   6  
  45  2   15   4   0    2  266.513792 1.349717 267.979530 0.769591 268.862295 3.151824   6  
  46  1   15   3   0    3  272.509972 1.965832 274.591994 1.005350 275.707950 2.302348   6  
  47  2   15   4   0    2  278.506180 1.049817 279.672088 0.749101 280.538215 3.468265   6  
  48  4   15   4   1    2  284.502343 1.532809 286.151317 1.247119 287.517092 2.485588   6  
  49  4   15   4   1    2  290.515198 1.499422 292.130834 0.571738 292.813739 3.201780   6  
  50  4   15   3   0    2  296.511370 2.215555 298.843243 0.398974 299.359572 2.652131   6  
  51  1   15   1   1    5  302.507667 1.316166 303.939989 0.679606 304.739484 3.268417   6  
  52  3   15   4   0    3  308.503759 1.799359 310.452377 1.054270 311.618449 2.385624   6  
  53  3   15   1   0    4  314.499946 1.466061 316.082259 0.769163 316.965036 3.035218   6  
  54  1   15   3   0    3  320.512755 1.882597 322.511502 1.154359 323.777372 2.235732   6  
  55  3   15   4   0    2  326.508970 2.315896 328.940749 0.322104 329.373816 2.635477   6  
  56  2   15   2   1    4  332.505154 1.516183 334.137451 0.495045 334.753720 3.251747   6  
  57  3   15   3   1    3  338.501351 1.632731 340.250227 1.198552 341.566060 2.435596   6  
  58  1   15   1   1    3  344.514186 1.133045 345.763377 1.056140 346.929315 3.085199   6  
  59  4   15   3   0    3  350.510344 1.499469 352.126002 1.008744 353.241973 2.768714   6  
  60  2   15   3   0    5  356.506553 1.816014 358.438659 1.461965 360.021042 1.985826   6  
  61  1   15   1   1    3  362.502743 1.599418 364.218310 1.009262 365.334277 2.668775   6  
  62  2   15   3   0    3  368.515557 1.682730 370.314452 1.035435 371.463705 2.552190   6  
  63  2   15  -1   0    1  374.511758 0.000000 377.026759 0.000205 377.143396 2.868709   6  
  64  2   15   3   0    2  380.507956 1.316317 381.940377 0.706208 382.756519 3.251745   6  
  65  4   15   2   0    3  386.504149 1.382943 388.003209 0.307241 388.419599 3.584855   6  
  66  1   15   1   1    3  392.516967 1.016772 393.649592 0.557020 394.315842 3.701464   6  
  67  3   15   3   1    2  398.513167 1.965795 400.595184 1.072244 401.777759 2.235721   6  
  68  4   15   1   0    3  404.509348 1.699284 406.358170 0.750233 407.224286 2.785384   6  
  69  4   15   3   0    2  410.488883 1.582667 412.187822 0.324556 412.620855 3.368107   6  
  70  1   15   1   1    3  416.501737 1.482691 418.100713 0.749010 418.966833 3.034984   6  
  71  3   15   1   0    3  422.497905 1.566166 424.180169 0.034328 424.330088 3.667927   6  
  72  3   15   2   0    3  428.494096 1.632956 430.242982 0.836760 431.192372 2.801833   6  
  73  3   15   1   0    3  434.490302 2.166391 436.772160 0.395503 437.288497 2.701887   6  
  74  3   15   3   1    4  440.486484 1.432838 442.035492 0.446255 442.601775 3.384814   6  
  75  3   15   3   1    2  446.499313 1.482773 448.098296 0.329979 448.547996 3.451436   6  
  76  3   15   3   1    2  452.495502 1.449538 454.061172 0.593766 454.777374 3.218257   6  
  77  1   15   3   0    2  458.491686 1.566112 460.173944 0.874944 461.156657 2.835160   6  
  78  1   15   3   0    1  464.487862 1.249730 465.853670 0.760050 466.719779 3.268223   6  
  79  2   15   3   0    1  470.500713 1.682673 472.299554 0.953397 473.365552 2.635283   6  
  80  1   15   2   0    1  476.496911 1.466384 478.079217 0.934135 479.128554 2.868499   6  
  81  3   15   3   1    1  482.493081 1.299639 483.908847 0.348186 484.375213 3.618017   6  
  82  4   15   1   0    3  488.489280 1.249724 489.855087 1.087847 491.054314 2.935117   6  
  83  4   15   2   0    5  494.502124 1.099574 495.717995 0.651509 496.484186 3.518093   6  
  84  4   15   1   0    5  500.498290 0.816427 501.431044 0.437954 501.980694 4.017758   6  
  85  1   15   1   1    1  506.494483 1.099608 507.710366 1.382199 509.209411 2.785245   6  
  86  3   15   1   0    3  512.490660 1.116404 513.723223 1.212009 515.055695 2.935155   6  
