%% MetaTwins_RDMsc_training for 'zhangshu': starting at _feedback (       49.0000000000).9-Jan-2019 16:40:41 for '7.374447e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  16  4    2   0    0    6    2.498489   0    0  1.133143   3.747698 0.411862   4.264029 0.999367   5.263397   6.262756 0.736054   5  
   2  16  3    1   0    0    4    7.495315   0    0  1.749357   9.360790 0.550321  10.027032 0.999375  11.026407  12.025757 0.969877   6  
   3  18  3    2   0    0    4   13.491493   0    0  1.416111  15.023854 1.515249  16.656154 0.999353  17.655507  18.654892 1.336931   7  
   4  18  4    2   0    0    5   20.503701   0    0  1.432889  22.052717 0.820925  22.985465 0.999366  23.984831  24.984189 1.019830   6  
   5  20  4    4   1    0    5   26.499915   0    0  1.332954  27.948959 0.553889  28.615214 0.999363  29.614577  30.613942 1.386269   6  
   6  20  2    1   0    0    6   32.496072   0    0  0.883034  33.495436 1.397636  35.011140 0.999363  36.010503  37.009861 0.986521   6  
   7  20  4    4   1    0    6   38.492267   0    0  1.266481  39.874722 0.680306  40.674207 0.999361  41.673568  42.672942 1.319651   6  
   8  20  3    4   0    0    3   44.505094   0    0  1.566180  46.187374 0.318529  46.620428 0.999357  47.619785  48.619154 1.386263   6  
   9  20  2    2   1    0    6   50.501291   0    0  1.149581  51.767145 0.801284  52.683231 0.999366  53.682596  54.681958 1.319627   6  
  10  20  2    2   1    0    6   56.497471   0    0  1.516192  58.129781 0.374067  58.612797 0.999346  59.612143  60.611502 1.386263   6  
  11  18  2    4   0    0    4   62.493657   0    0  1.116396  63.726211 1.329648  65.175296 0.999339  66.174635  67.174040 0.819914   6  
  12  18  3    1   0    0    6   68.506521   0    0  0.933103  69.555837 0.346788  70.022206 0.999357  71.021563  72.020928 0.985865   5  
  13  20  2    4   0    0    4   73.503320   0    0  1.382818  75.002369 0.723473  75.835177 0.999374  76.834550  77.833896 1.169720   6  
  14  20  1    1   1    0    4   79.499513   0    0  1.249720  80.865308 0.879079  81.864672 0.999357  82.864029  83.863402 1.136395   6  
  15  20  1    1   1    0    3   85.495715   0    0  1.216546  86.828184 1.849068  88.793601 0.999366  89.792967  90.792334 1.203647   7  
  16  18  3    1   0    0    4   92.491251   0    0  0.716650  93.324052 1.149584  94.589905 0.999370  95.589275  96.588648 1.402872   6  
  17  18  1    1   1    0    6   98.504093   0    0  0.783124  99.403531 0.717541 100.236319 0.999372 101.235691 102.235042 0.769321   5  
  18  18  2    1   0    0    6  103.500932   0    0  1.083161 104.700149 0.909853 105.716167 0.999381 106.715548 107.714896 1.286301   6  
  19  18  4    1   0    0    6  109.497103   0    0  0.933275 110.546431 1.580072 112.245350 0.999370 113.244720 114.244073 0.753293   6  
  20  20  2    1   0    0    4  115.493279   0    0  1.266103 116.875737 0.929298 117.925082 0.999344 118.924426 119.923802 1.069751   6  
  21  20  2    2   1    0    2  121.506126   0    0  1.999176 123.621435 0.705314 124.437599 0.999345 125.436944 126.436313 0.570071   6  
  22  20  4    4   1    0    7  127.502326   0    0  1.033084 128.651571 0.352659 129.118011 0.999299 130.117310 131.116675 0.885894   5  
  23  18  1    1   1    0    6  132.499138   0    0  0.733152 133.348588 0.576349 134.031493 0.999363 135.030856 136.030308 0.969091   5  
  24  18  4    3   0    0    2  137.495959   0    0  1.799334 139.411403 1.128735 140.660627 0.999338 141.659965 142.659335 1.336888   7  
  25  18  1    1   1    0    7  144.491514   0    0  0.716704 145.324317 0.851792 146.290358 0.999350 147.289708 148.289087 0.702661   5  
  26  18  3    1   0    0    6  149.504982   0    0  0.650017 150.271162 0.549510 150.937391 0.999387 151.936778 152.936150 1.069079   5  
  27  18  4    4   1    0    6  154.501806   0    0  1.083315 155.701048 0.330924 156.150755 0.999426 157.150181 158.149491 0.852571   5  
  28  18  3    1   0    0    6  159.498617   0    0  0.616854 160.231487 0.744125 161.080953 0.999371 162.080324 163.079674 0.919204   5  
  29  18  3    1   0    0    3  164.495460   0    0  1.216352 165.827937 0.542765 166.477531 0.999349 167.476880 168.476244 0.519451   5  
  30  20  1    1   1    0    4  169.492276   0    0  0.633372 170.241784 1.511564 171.874093 0.999366 172.873459 173.872839 1.119673   6  
  31  20  2    1   0    0    3  175.505108   0    0  1.332801 176.954187 1.291724 178.353315 0.999347 179.352663 180.351984 0.653368   6  
  32  20  1    1   1    0   -1  181.501302   0    0  1.033306 182.650562 0.000000 184.649219 0.999442 185.648662 186.648016 1.353538   7  
  33  20  3    1   0    0    4  188.496847   0    0  1.099723 189.712738 1.288867 191.111830 0.999385 192.111215 193.110586 0.886489   6  
  34  22  4    4   1    0    4  194.493032   0    0  1.716121 196.325197 0.962105 197.407850 0.999376 198.407226 199.406584 0.586670   6  
  35  22  4    1   0    0    4  200.489215   0    0  0.983192 201.588528 0.798989 202.504599 0.999369 203.503968 204.503334 1.486113   6  
  36  22  3    4   0    0    2  206.502082   0    0  1.432767 208.051066 0.445008 208.600734 0.999357 209.600091 210.599435 1.402850   6  
  37  25  2    4   0    0    6  212.498251   0    0  1.083085 213.697485 0.659002 214.463670 0.999347 215.463016 216.462394 0.536077   5  
  38  25  1    1   1    0    6  217.495080   0    0  0.883194 218.494434 0.715831 219.327237 0.999363 220.326600 221.325963 0.669333   5  
  39  25  3    4   0    0    6  222.491890   0    0  1.083040 223.691125 0.364887 224.174156 0.999352 225.173508 226.172881 0.819237   5  
  40  25  1    1   1    0    6  227.488705   0    0  0.799881 228.404826 0.299435 228.821193 0.999364 229.820557 230.819918 1.169023   5  
  41  25  2    4   0    0    6  232.502200   0    0  1.149676 233.768050 1.282038 235.167158 0.999370 236.166529 237.165894 0.836510   6  
  42  25  3    1   0    0    5  238.498385   0    0  0.733279 239.347885 1.181131 240.647017 0.999354 241.646371 242.645738 1.352853   6  
  43  28  2    2   1    0    6  244.494565   0    0  1.566069 246.176826 0.292134 246.576572 0.999356 247.575928 248.575297 1.419482   6  
  44  28  1    1   1    0    5  250.490756   0    0  0.783186 251.390209 1.114061 252.622724 0.999359 253.622083 254.621448 1.369517   6  
  45  25  2    2   1    0    5  256.503584   0    0  1.549534 258.169198 0.625506 258.902069 0.999358 259.901427 260.900791 1.103009   6  
  46  25  1    1   1    0    4  262.499759   0    0  0.700049 263.315924 1.311473 264.748361 0.999344 265.747706 266.747063 1.252925   6  
  47  22  4    1   0    0    6  268.495967   0    0  0.833253 269.445354 0.710126 270.261517 0.999351 271.260868 272.260230 0.735932   5  
  48  22  4    4   1    0    5  273.492786   0    0  1.167886 274.775303 0.188522 275.075106 0.999360 276.074466 277.073833 0.919164   5  
  49  22  4    4   1    0    5  278.489601   0    0  1.232975 279.838732 0.650220 280.604927 0.999362 281.604288 282.603693 1.386120   6  
  50  19  2    4   0    0    2  284.502450   0    0  1.233012 285.851593 0.288898 286.251325 0.999382 287.250707 288.250071 0.752583   5  
  51  19  1    1   1    0    4  289.499266   0    0  0.816471 290.432011 1.253256 291.797807 0.999367 292.797173 293.796536 1.202939   6  
  52  19  3    1   0    0    6  295.495450   0    0  0.833326 296.444840 0.838662 297.394252 0.999352 298.393605 299.392969 0.602677   5  
  53  19  3    2   0    0    1  300.492268   0    0  2.332246 302.940713 0.974445 304.023474 0.999246 305.022720 306.022084 0.970384   7  
  54  21  1    1   1    0    3  307.487820   0    0  1.033139 308.637084 1.120199 309.869648 0.999358 310.869007 311.868378 1.119634   6  
  55  21  4    1   0    0    4  313.500674   0    0  0.800059 314.416752 1.704893 316.232259 0.999364 317.231623 318.231064 0.769789   6  
  56  21  3    1   0    0    2  319.496847   0    0  1.816063 321.428959 0.938611 322.478288 0.999362 323.477650 324.477013 0.520024   6  
  57  24  4    4   1    0    6  325.493044   0    0  0.999784 326.608987 1.032796 327.758237 0.999397 328.757634 329.757005 1.236222   6  
  58  24  2    2   1    0    5  331.489232   0    0  1.299542 332.904990 0.475203 333.487959 0.999346 334.487306 335.486679 0.502720   5  
  59  21  1    1   1    0    5  336.502705   0    0  0.749988 337.368821 0.259376 337.735243 0.999380 338.734623 339.733981 1.268901   5  
  60  21  1    1   1    0    5  341.499531   0    0  1.099999 342.715425 1.184809 344.014585 0.999377 345.013962 346.013309 0.986394   6  
]; % This session completes at 19-Jan-2019 16:46:38, 349.004s after session start, 345s on 60 trials, totally 356.276s, correctness is 48.333%.

