%% MetaTwins_RDMsc_training for 'yuanyumeng': starting at _nofeedback (       49.0000000000).9-Jan-2019 16:23:07 for '7.374447e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  1    4   0    0    7    2.498857   0    0  1.150131   3.764959 1.124923   4.997738  0   0    4.997738 1.001362   4  
   2  15  4    4   1    0    3    6.497050   0    0  1.932853   8.546121 0.804478   9.462371  0   0    9.462371 0.534903   4  
   3  15  1    1   1    0    7   10.495233   0    0  1.300033  11.927929 0.466161  12.510980  0   0   12.510980 1.484490   4  
   4  14  2    2   1    0    3   14.493416   0    0  2.332845  16.942324 1.049042  18.108459  0   0   18.108459 0.885188   5  
   5  14  3    3   1    0    4   19.507821   0    0  2.049635  21.673502 0.000954  21.790117  0   0   21.790117 1.217932   4  
   6  13  2    4   0    0    1   23.506009   0    0  1.416517  25.038655 1.555825  26.704560  0   0   26.704560 1.301671   5  
   7  13  2    2   1    0    6   28.503733   0    0  1.749774  30.386149 0.937585  31.435744  0   0   31.435744 0.568218   4  
   8  13  2    4   0    0    8   32.501932   0    0  1.366556  33.984593 1.262718  35.367286  0   0   35.367286 0.634871   4  
   9  13  1    4   0    0    5   36.500102   0    0  1.633303  38.249325 1.319416  39.682004  0   0   39.682004 1.318331   5  
  10  14  3    3   1    0    1   41.497833   0    0  2.366324  44.029990 0.899907  45.046232  0   0   45.046232 0.951835   5  
  11  14  4    4   1    0    8   46.495569   0    0  1.183392  47.794982 1.042933  48.944462  0   0   48.944462 1.051349   4  
  12  13  4    2   0    0    6   50.493766   0    0  1.550319  52.159679 1.538189  53.808929  0   0   53.808929 1.185056   5  
  13  13  1    4   0    0    5   55.508152   0    0  1.449877  57.074106 0.849591  58.040336  0   0   58.040336 0.968045   4  
  14  14  3    3   1    0    8   59.506332   0    0  1.066761  60.739113 1.341922  62.188447  0   0   62.188447 0.818115   4  
  15  14  4   -1   0    0    3   63.504520   0    0  0.000000  66.020063 0.063751  66.203303  0   0   66.203303 0.801449   4  
  16  14  1    1   1    0    6   67.502717   0    0  1.516552  69.151830 1.653396  70.917823  0   0   70.917823 1.085118   5  
  17  13  3    3   1    0    7   72.500440   0    0  1.150099  73.816515 1.160764  75.082606  0   0   75.082606 0.918066   4  
  18  13  2    1   0    0    5   76.498631   0    0  1.099907  77.748059 0.784536  78.647655  0   0   78.647655 1.351209   4  
  19  13  1    3   0    0    7   80.496813   0    0  1.433217  82.046040 1.919297  84.078542  0   0   84.078542 0.918504   5  
  20  14  4    4   1    0    8   85.494553   0    0  0.983425  86.594038 0.872611  87.576944  0   0   87.576944 1.417847   4  
  21  14  4    2   0    0   -1   89.492738   0    0  1.799760  91.408493 0.000000  93.407575  0   0   93.407575 0.585395   5  
  22  14  2    3   0    0    5   94.507125   0    0  1.933016  96.572855 1.350080  98.038853  0   0   98.038853 0.968514   5  
  23  14  3    3   1    0    7   99.504860   0    0  1.333246 100.970873 0.844968 101.920427  0   0  101.920427 1.084659   4  
  24  14  3    1   0    0    2  103.503045   0    0  0.766860 104.402635 1.429094 105.951935  0   0  105.951935 1.051363   4  
  25  14  2    3   0    0    1  107.501233   0    0  1.383388 109.000548 1.955901 111.066276  0   0  111.066276 0.935180   5  
  26  15  1    4   0    0    2  112.498971   0    0  1.399892 114.014954 1.128996 115.264380  0   0  115.264380 0.734812   4  
  27  15  4    4   1    0    6  116.497151   0    0  1.116669 117.746517 1.178422 119.029335  0   0  119.029335 0.968049   4  
  28  15  3    2   0    0    1  120.495337   0    0  1.600214 122.227819 0.961025 123.294078  0   0  123.294078 0.701487   4  
