%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at yuanyupeng (       49.0000000000).9-Jan-2019 17:37:527.374447e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   15   3   1    6    2.498866 1.449984   4.064820 0.400948   4.581258 3.417838   6  
   2  4   15   4   1    5    8.496152 1.433324  10.045456 0.708651  10.861742 3.134612   6  
   3  4   15   2   0    6   14.493427 1.583306  16.192664 1.164656  17.475420 2.518206   6  
   4  3   15   3   1    5   20.490716 1.200128  21.840109 1.473062  23.422725 2.568169   6  
   5  4   15   4   1    8   26.504657 1.516654  28.153915 0.472653  28.736976 3.267849   6  
   6  2   15   4   0    7   32.501948 1.266527  33.901311 0.426603  34.434396 3.567690   6  
   7  1   15   2   0    1   38.499223 1.766540  40.381709 0.000891  40.498320 3.501049   6  
   8  1   15   2   0    1   44.496512 2.216222  46.861985 0.878551  47.844986 2.151654   6  
   9  2   15   4   0    6   50.493797 1.583207  52.193029 0.538971  52.842733 3.151185   6  
  10  3   15   3   1    6   56.491078 1.333704  57.940311 0.828102  58.873321 3.117852   6  
  11  3   15   3   1    7   62.488361 1.416598  64.020996 0.934152  65.070510 2.917937   6  
  12  1   15   4   0    5   68.502297 1.749726  70.368112 1.273560  71.750837 2.251542   6  
  13  2   15   2   1    6   74.499568 1.383440  76.048769 1.476012  77.631493 2.368152   6  
  14  3   15   2   0    6   80.496866 1.166718  81.829490 0.873381  82.812487 3.184425   6  
  15  2   15   4   0    8   86.510806 1.183439  87.843539 0.535132  88.493235 3.517804   6  
  16  1   15   3   0    1   92.508086 2.416157  95.040260 0.384954  95.540052 2.468259   6  
  17  4   15   4   1    7   98.505369 1.249974  99.904734 0.764070 100.787666 3.217937   6  
  18  2   15   4   0    6  104.502646 1.200040 105.852052 0.808303 106.768301 3.234585   6  
  19  4   15   4   1    7  110.499928 1.316599 111.932635 0.892765 112.932173 3.067991   6  
  20  3   15   3   1    7  116.513881 1.383372 118.013091 1.105314 119.229329 2.784785   6  
  21  4   15   4   1    7  122.511161 1.283141 123.960529 0.576981 124.643528 3.367863   6  
  22  3   15   3   1    6  128.508437 1.283361 129.907646 0.880261 130.907355 3.101312   6  
  23  2   15   2   1    3  134.505728 1.466613 136.121569 1.053673 137.287797 2.718158   6  
  24  1   15   1   1    2  140.503008 1.816472 142.468794 0.434770 143.018540 2.984694   6  
  25  1   15   3   0    2  146.500308 1.749760 148.366117 0.000704 148.482731 3.517794   6  
  26  4   15   2   0    5  152.497572 1.733189 154.363406 0.823892 155.296314 2.701492   6  
  27  2   15   3   0    6  158.511523 1.300019 159.960747 1.321153 161.393554 2.618196   6  
  28  1   15   1   1    7  164.508795 1.349999 165.991343 0.736403 166.841075 3.167954   6  
  29  3   15   2   0    6  170.506091 1.483472 172.138639 0.929942 173.188202 2.818119   6  
  30  1   15   4   0    7  176.503372 1.499991 178.152572 1.232525 179.502018 2.501577   6  
  31  1   15   4   0    7  182.500655 1.599953 184.216547 0.590589 184.916226 3.084649   6  
  32  2   15   4   0    3  188.497936 1.733289 190.363657 1.526697 191.996341 2.001822   6  
  33  1   15   2   0    4  194.495216 1.749874 196.394256 1.510876 198.010294 1.985154   6  
  34  2   15   3   0    2  200.492493 2.399502 203.041252 0.458337 203.607751 2.384981   6  
  35  4   15   4   1    6  206.506436 1.783174 208.438901 0.564242 209.121930 2.884742   6  
  36  4   15   2   0    5  212.503721 1.949752 214.619437 0.638061 215.369093 2.634841   6  
  37  3   15   2   0    6  218.501015 1.316685 219.950218 0.592315 220.650029 3.351171   6  
  38  3   15   3   1    7  224.498302 1.350033 225.980959 0.611137 226.697293 3.301179   6  
  39  3   15   1   0    7  230.495580 1.333209 231.944833 0.897861 232.961134 3.034598   6  
  40  4   15   4   1    8  236.492864 1.133428 237.758862 0.408634 238.275382 3.717619   6  
  41  1   15   1   1    7  242.490138 1.150049 243.772901 0.642144 244.522549 3.467742   6  
  42  4   15   4   1    6  248.504080 1.300029 249.936742 1.256360 251.302818 2.701394   6  
  43  2   15   2   1    7  254.501376 1.083293 255.734153 0.865415 256.717022 3.284463   6  
  44  3   15   3   1    1  260.498649 1.699893 262.314494 0.838732 263.264059 2.734693   6  
  45  1   15   1   1    6  266.495936 1.649851 268.311781 1.104318 269.527898 2.468136   6  
  46  4   15   4   1    7  272.493207 1.249924 273.875929 1.002893 274.992078 3.001207   6  
  47  4   15   4   1    8  278.490489 1.366632 279.973161 0.805638 280.889417 3.101141   6  
  48  4   15   4   1    8  284.504434 1.266495 285.920461 0.876981 286.903356 3.101318   6  
  49  2   15   2   1    6  290.501717 1.516638 292.134316 0.994088 293.233821 2.768140   6  
  50  2   15   4   0    5  296.515672 1.983109 298.714500 0.835608 299.664243 2.351648   6  
  51  1   15   4   0    7  302.512937 1.300014 303.945637 0.682187 304.745275 3.267891   6  
  52  2   15   2   1    4  308.510229 1.783154 310.409370 1.287052 311.808746 2.201716   6  
  53  4   15   4   1    7  314.507509 1.416629 316.040144 0.521397 316.673197 3.334538   6  
  54  4   15   4   1    6  320.504797 1.982924 322.637173 0.644418 323.386824 2.618203   6  
  55  4   15   4   1    5  326.502091 1.782990 328.401230 1.324755 329.833904 2.168402   6  
  56  3   15   3   1    5  332.499356 2.216241 334.848188 0.733167 335.697916 2.301670   6  
  57  4   15   4   1    7  338.513301 1.316493 339.945987 0.417871 340.479081 3.534455   6  
  58  1   15   4   0   -1  344.510592 1.366660 345.993141 0.000000 347.992290 2.018528   6  
  59  3   15   3   1    6  350.507870 1.399986 352.023857 0.586066 352.723530 3.284569   6  
  60  2   15   4   0    3  356.505159 1.833128 358.504261 1.036640 359.653724 2.351663   6  
  61  3   15   3   1    6  362.502441 1.749792 364.368267 1.074847 365.551061 2.451601   6  
  62  1   15   1   1    6  368.499725 1.166904 369.799081 1.195252 371.115211 2.884738   6  
  63  1   15   2   0    2  374.496995 1.949797 376.579386 0.964353 377.662225 2.335006   6  
  64  4   15   4   1    8  380.494278 1.150259 381.777044 0.736757 382.626651 3.367858   6  
  65  1   15   3   0    2  386.508229 1.816419 388.440693 1.018871 389.573497 2.434960   6  
  66  1   15   1   1    5  392.505513 1.866427 394.487946 0.899455 395.504141 2.501621   6  
  67  1   15   4   0    6  398.502799 1.966246 400.585190 0.856392 401.551413 2.451610   6  
  68  2   15   4   0    6  404.500070 1.316618 405.949422 0.870767 406.932317 3.067985   6  
  69  3   15   1   0    2  410.497356 1.566428 412.179930 0.888028 413.179482 2.818093   6  
  70  4   15   4   1    6  416.494649 1.733063 418.377044 1.152080 419.643199 2.351649   6  
  71  2   15   2   1    7  422.491924 1.483327 424.091194 0.714256 424.924157 3.067954   6  
  72  2   15   2   1    7  428.505869 1.233276 429.871918 0.951378 430.938092 3.067948   6  
  73  2   15   2   1    5  434.503143 1.316729 435.935835 1.236337 437.285218 2.718084   6  
  74  2   15   4   0    7  440.500426 1.350033 441.966436 0.916906 442.999296 3.001290   6  
  75  3   15   3   1    3  446.497714 1.583204 448.196946 1.403431 449.712935 2.284922   6  
  76  4   15   4   1    7  452.495008 1.533256 454.144255 0.687437 454.943892 3.051242   6  
  77  3   15   1   0    5  458.492282 1.949623 460.558019 0.947345 461.624196 2.368215   6  
  78  3   15   3   1    6  464.489571 1.583217 466.188794 0.777291 467.071723 2.917941   6  
  79  3   15   3   1    5  470.486852 1.316708 472.052817 1.029940 473.202285 2.784651   6  
  80  4   15   4   1    8  476.500788 1.166827 477.783551 0.583174 478.483235 3.517631   6  
  81  3   15   3   1    6  482.498082 1.933042 484.547055 0.561444 485.213505 2.784631   6  
  82  1   15   1   1    5  488.512008 1.666609 490.294542 0.659193 491.060854 2.951392   6  
  83  3   15   1   0    3  494.509297 1.849811 496.491741 1.627534 498.224290 1.785234   6  
  84  2   15   2   1    2  500.506582 1.983213 502.638910 0.282806 503.038760 2.968045   6  
  85  1   15   2   0    3  506.503868 2.049670 508.702880 0.807738 509.619123 2.384964   6  
  86  4   15   4   1    6  512.501149 1.749903 514.400284 0.739881 515.249901 2.751473   6  
  87  2   15   2   1    5  518.515084 2.232968 520.897344 0.685154 521.696984 2.318343   6  
  88  1   15   3   0    4  524.512379 1.883104 526.544788 1.255725 527.910829 2.101766   6  
  89  1   15   1   1    3  530.509656 1.566590 532.192224 1.093640 533.391684 2.618204   6  
  90  2   15   4   0    7  536.506937 1.266987 537.889550 0.813139 538.822564 3.184604   6  
]; % This session completes at 19-Jan-2019 17:47:11, 544.004s after session start, 540s on 90 trials, totally 558.634s.

