%% MetaTwins_RDMsc_training for 'yuanyupeng': starting at _nofeedback (       49.0000000000).9-Jan-2019 16:46:02 for '7.374447e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  30  3    3   1    0    8    2.498856   0    0  0.950118   3.565050 0.703227   4.381342  0   0    4.381342 0.617726   3  
   2  30  2    4   0    0    7    5.497517   0    0  1.449988   7.063463 0.571344   7.746484  0   0    7.746484 1.251199   4  
   3  30  2    2   1    0    8    9.495711   0    0  1.183350  10.811730 1.156296  12.077855  0   0   12.077855 0.917977   4  
   4  30  1    3   0    0   -1   13.493887   0    0  1.999698  15.659569 0.000000  17.658631  0   0   17.658631 1.335335   6  
   5  30  2    4   0    0    5   19.507820   0    0  1.350052  20.973828 0.602280  21.690167  0   0   21.690167 1.317895   4  
   6  30  3    3   1    0    8   23.506015   0    0  1.516562  25.138611 0.832939  26.088184  0   0   26.088184 0.918061   4  
   7  30  3    3   1    0    8   27.504193   0    0  1.583239  29.203426 1.061146  30.369573  0   0   30.369573 0.634857   4  
   8  27  2   -1   0    0   -1   31.502383   0    0  0.000000  34.017956 0.000000  36.016980  0   0   36.016980 0.985645   6  
   9  27  2    2   1    0    1   37.499665   0    0  2.283461  39.898584 1.837489  41.847713  0   0   41.847713 1.152190   6  
  10  27  1    3   0    0    5   43.496951   0    0  2.282998  45.895876 1.658910  47.661742  0   0   47.661742 1.335412   6  
  11  27  2    4   0    0    6   49.494241   0    0  1.633378  51.243440 0.566903  51.926473  0   0   51.926473 1.067899   4  
  12  30  3    3   1    0    8   53.492433   0    0  0.866960  54.491820 1.033497  55.641458  0   0   55.641458 1.351048   4  
  13  30  1    1   1    0    6   57.507275   0    0  1.200262  58.873292 1.256780  60.239377  0   0   60.239377 0.768130   4  
  14  27  2    2   1    0    5   61.505470   0    0  1.999572  63.637718 1.274617  65.020541  0   0   65.020541 0.985156   5  
  15  27  4    4   1    0    7   66.503219   0    0  1.499929  68.119134 0.555909  68.785507  0   0   68.785507 1.217916   4  
  16  24  4    4   1    0    8   70.501392   0    0  1.133698  71.750828 1.185866  73.050234  0   0   73.050234 0.951375   4  
  17  24  4    4   1    0    8   74.499572   0    0  1.266674  75.882128 0.670938  76.665258  0   0   76.665258 1.334544   4  
  18  21  1    3   0    0    1   78.497763   0    0  2.266349  80.880011 0.484746  81.479747  0   0   81.479747 0.518257   4  
  19  21  4    4   1    0    6   82.495960   0    0  1.433345  84.045251 0.986005  85.144761  0   0   85.144761 0.851406   4  
  20  21  1    3   0    0    6   86.494137   0    0  1.783144  88.393291 1.607861  90.109170  0   0   90.109170 0.885141   5  
  21  21  4    4   1    0    6   91.491871   0    0  1.733140  93.341047 1.159346  94.607135  0   0   94.607135 1.384851   5  
  22  21  3    3   1    0    7   96.506265   0    0  1.749999  98.372103 1.631093 100.121304  0   0  100.121304 0.885214   5  
  23  18  3    3   1    0    6  101.504020   0    0  2.299606 103.952896 1.744927 105.802067  0   0  105.802067 1.202168   6  
  24  18  3    3   1    0    7  107.501287   0    0  1.833125 109.467064 1.268565 110.849778  0   0  110.849778 1.151746   5  
  25  16  1    1   1    0    7  112.499035   0    0  2.116402 114.731298 1.145353 115.980787  0   0  115.980787 1.018470   5  
  26  16  1    2   0    0    3  117.496755   0    0  1.649953 119.312608 0.970164 120.395448  0   0  120.395448 0.601549   4  
  27  16  4    3   0    0    2  121.494945   0    0  2.016453 123.660644 1.158811 124.926732  0   0  124.926732 1.068442   5  
  28  18  3    3   1    0    7  126.492702   0    0  1.466613 128.108629 1.018462 129.241445  0   0  129.241445 0.751401   4  
  29  18  4    4   1    0    6  130.490889   0    0  1.816481 132.423336 1.155357 133.689421  0   0  133.689421 1.301569   5  
  30  16  1    3   0    0    6  135.488613   0    0  1.516639 137.137795 1.090336 138.337332  0   0  138.337332 0.651344   4  
  31  16  1    1   1    0    7  139.503460   0    0  1.466628 141.086039 0.900640 142.102299  0   0  142.102299 0.901382   4  
  32  16  4    4   1    0    7  143.501664   0    0  1.283374 144.917674 0.576716 145.600701  0   0  145.600701 1.401179   4  
  33  14  3    3   1    0    8  147.499846   0    0  1.916389 149.532249 0.326587 149.965393  0   0  149.965393 1.034683   4  
