%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at laimiwen (       50.0000000000).0-Jan-2019 12:17:367.374455e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   11   2   0    7     -1      2.498872 1.766202   4.781159 0.504426   5.397545 2.601545   6  
   2  4   11   3   0    7      5      8.496139 1.949395  10.961686 0.824978  11.894605 2.101775   6  
   3  3   11   3   1    8     -1     14.493421 1.316194  16.325923 0.371300  16.809036 3.184617   6  
   4  4   11   2   0    8      5     20.507358 1.566235  22.589763 0.000487  22.706364 3.301232   6  
   5  4   11   1   0    7      6     26.504637 1.449671  28.470419 1.350173  29.936413 2.068462   6  
   6  3   11   3   1    7      6     32.501913 1.432986  34.451035 0.578848  35.150719 2.851432   6  
   7  1   11   4   0    5      5     38.499204 2.165949  41.181317 0.574941  41.864339 2.135081   6  
   8  1   11   2   0    5      5     44.496479 2.115983  47.128618 0.555586  47.794984 2.201721   6  
   9  2   11   2   1    5      5     50.510426 2.332586  53.359116 0.812368  54.292037 1.718609   6  
  10  4   11   1   0    6      4     56.507692 1.966086  58.989898 0.790618  59.889500 2.118417   6  
  11  3   11   3   1    4      4     62.504974 2.299186  65.320363 0.808951  66.236618 1.768586   6  
  12  3   11  -1   0    4      2     68.502254 2.499093  71.017817 0.590089  71.717466 2.285017   6  
  13  3   11   2   0    6      4     74.499526 1.766173  76.781831 0.988572  77.881339 2.118415   6  
  14  1   11   1   1    6      5     80.513466 1.549575  82.579195 0.770499  83.462137 2.551570   6  
  15  1   11   4   0    1      5     86.510754 2.399104  89.426102 0.198241  89.742621 2.268358   6  
  16  4   11   2   0    7      5     92.508032 1.866138  94.890282 0.593732  95.589973 2.418286   6  
  17  2   11   1   0    2      5     98.505315 2.365867 101.387337 0.009959 101.503947 2.501591   6  
  18  4   11   2   0    3      4    104.502591 2.332601 107.351292 0.001061 107.467908 2.534905   6  
  19  2   11  -1   0    1      2    110.499867 2.498992 113.015417 0.525644 113.648438 2.351650   6  
  20  1   11   1   1    4      5    116.513804 1.849576 118.879405 0.813534 119.812314 2.201719   6  
  21  1   11   3   0    6      5    122.511079 1.916164 124.943316 0.703399 125.759615 2.251702   6  
  22  3   11   4   0    5      5    128.508366 1.849501 130.873963 1.083065 132.073411 1.935182   6  
  23  2   11   2   1    5      5    134.505638 1.899530 136.921214 0.946242 137.987405 2.018458   6  
  24  4   11   1   0    4      4    140.502925 1.866163 142.885187 0.991786 143.984685 2.018460   6  
  25  4   11   3   0    2      5    146.516868 2.415846 149.448869 0.450454 150.015275 2.001814   6  
  26  3   11   2   0    5      5    152.497479 1.966068 154.979689 1.081827 156.179142 1.818399   6  
  27  1   11   1   1    2      5    158.494754 2.032713 161.043595 1.305559 162.459630 1.535206   6  
  28  1   11  -1   0    2      2    164.492049 0.000000 167.024255 1.204551 168.340297 1.651815   6  
  29  1   11   2   0    3      4    170.489322 2.165907 173.171440 0.990723 174.270929 1.718475   6  
