%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at laimiwen (       50.0000000000).0-Jan-2019 12:27:307.374455e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   14   2   0    1    2.498869 1.316710   3.931550 0.469895   4.514625 3.484476   6  
   2  3   14   3   1    6    8.496157 1.499888  10.112081 0.322876  10.545226 3.451144   6  
   3  4   14   4   1    6   14.493440 1.016826  15.626252 0.141898  15.876137 4.117502   6  
   4  4   14   4   1    6   20.490717 1.466614  22.073335 0.113253  22.306560 3.684346   6  
   5  2   14   2   1    6   26.504647 1.283214  27.904015 0.085750  28.103935 3.900910   6  
   6  4   14   3   0    7   32.501931 1.899717  34.517678 0.299763  34.934158 3.067956   6  
   7  4   14   4   1    7   38.499213 1.233292  39.848590 0.312812  40.281737 3.717645   6  
   8  4   14   4   1    1   44.496487 1.766407  46.378960 0.368221  46.862080 3.134578   6  
   9  2   14   4   0   -1   50.493768 1.483226  52.093043 0.000000  52.776069 3.217863   6  
  10  2   14  -1   0    1   56.491042 0.000000  59.056563 0.358399  59.523004 2.468200   6  
  11  4   14   4   1    6   62.504978 1.016808  63.637798 0.256022  64.004306 4.000840   6  
  12  1   14   4   0    7   68.502266 1.349961  69.968268 0.124597  70.201495 3.800913   6  
  13  3   14   3   1    5   74.499539 1.283317  75.898903 0.315169  76.332046 3.667642   6  
  14  3   14   4   0    1   80.496819 1.733118  82.345989 0.209822  82.662516 3.334441   6  
  15  2   14   3   0    7   86.494103 1.299965  87.910122 0.235781  88.259969 3.734254   6  
  16  3   14   3   1    5   92.491382 2.033001  94.640401 0.139157  94.890299 3.101193   6  
  17  2   14   4   0    7   98.488665 1.283166  99.888025 0.797452 100.804269 3.184507   6  
  18  2   14   4   0    7  104.502591 1.249979 105.868651 0.101125 106.085216 3.917481   6  
  19  1   14   4   0    6  110.499880 1.566520 112.182439 0.643658 112.932112 3.067852   6  
  20  4   14   3   0    5  116.497153 1.782998 118.396297 0.288884 118.796107 3.201140   6  
  21  2   14   2   1    1  122.494433 1.449963 124.060286 0.767708 124.943319 3.051189   6  
  22  1   14   1   1    5  128.491721 1.216659 129.824447 0.177252 130.107646 3.884137   6  
  23  4   14   4   1    7  134.488996 1.216622 135.821724 0.146755 136.088270 3.900789   6  
  24  3   14   4   0    8  140.502935 1.033428 141.652415 0.188805 141.952298 4.050866   6  
  25  3   14   2   0    6  146.516872 1.150066 147.782961 0.160051 148.049520 3.967568   6  
  26  3   14   2   0    7  152.514138 1.050108 153.680280 0.013865 153.813557 4.200817   6  
  27  2   14   2   1    7  158.511434 1.200006 159.827502 0.027966 159.960760 4.050909   6  
  28  3   14   4   0    6  164.508705 1.033483 165.658190 0.082533 165.858102 4.150844   6  
  29  3   14   3   1    6  170.505987 1.433330 172.055288 0.007364 172.171890 3.834326   6  
  30  4   14   4   1    6  176.503262 1.233498 177.852646 0.108397 178.069227 3.934261   6  
  31  3   14   4   0    1  182.500539 1.716576 184.333045 0.767056 185.215994 2.784783   6  
  32  1   14   3   0    7  188.514482 1.349821 189.980490 0.191327 190.280350 3.734364   6  
  33  4   14   4   1    5  194.511760 1.766447 196.394251 0.349965 196.860691 3.151296   6  
  34  4   14   4   1    6  200.509036 1.050116 201.675174 0.107920 201.891746 4.117529   6  
  35  4   14   4   1    6  206.506315 1.116899 207.739104 0.077627 207.922354 4.084194   6  
  36  1   14   4   0    6  212.503598 1.533159 214.152845 0.120141 214.386076 3.617755   6  
  37  1   14   4   0    6  218.500882 1.433061 220.050188 0.095531 220.266744 3.734360   6  
  38  1   14   2   0    7  224.498157 1.099927 225.714277 0.174831 225.997476 4.000906   6  
  39  2   14   2   1    7  230.512094 0.900122 231.528307 0.061463 231.694890 4.317436   6  
  40  1   14   1   1    8  236.509377 0.816783 237.442284 0.097969 237.658869 4.350732   6  
  41  4   14   3   0    6  242.506649 1.016806 243.639477 0.078604 243.839391 4.167496   6  
  42  4   14   2   0    7  248.503934 1.033453 249.653413 0.076110 249.836671 4.167491   6  
  43  2   14   4   0    6  254.501218 1.100163 255.717337 0.732170 256.566945 3.434502   6  
  44  4   14   2   0    5  260.498491 1.016915 261.631230 0.455117 262.197727 3.801001   6  
  45  2   14   2   1    7  266.495776 0.933440 267.545299 0.260883 267.911802 4.084191   6  
  46  3   14   3   1    6  272.509712 2.149636 274.775354 0.548801 275.441707 2.568235   6  
  47  1   14   2   0    4  278.506988 1.016810 279.656474 1.131775 280.905903 3.101313   6  
  48  1   14   1   1    3  284.504273 1.666509 286.286785 0.686544 287.086436 2.918062   6  
  49  1   14   2   0    4  290.501555 1.300027 291.917438 0.789371 292.817172 3.184609   6  
  50  2   14   3   0    1  296.498834 1.349933 297.964827 0.657004 298.731141 3.267923   6  
  51  1   14   2   0    7  302.496103 1.100110 303.728878 0.584276 304.428577 3.567768   6  
  52  2   14   2   1    5  308.510039 1.033319 309.659534 0.718416 310.492482 3.517798   6  
  53  3   14   3   1    4  314.507321 1.400069 316.023307 0.621609 316.756299 3.251253   6  
  54  2   14   2   1    7  320.504609 1.316553 321.937286 0.319392 322.370426 3.634413   6  
  55  4   14   2   0    7  326.501884 1.916388 328.534291 0.266355 328.917448 3.084673   6  
  56  1   14   3   0    7  332.499163 1.799847 334.414965 0.137819 334.664856 3.334543   6  
  57  3   14   3   1    7  338.496454 1.399937 340.012422 0.202247 340.328948 3.667735   6  
