%% MetaTwins_RDMsc_training for 'laimixue': starting at _feedback (       50.0000000000).0-Jan-2019 11:26:19 for '7.374455e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  11  4    4   1    0    8    2.499294   0    0  1.884073   4.498397 0.856202   5.464604 0.999560   6.464164   7.463712 0.535817   6  
   2  11  4    4   1    0    7    8.496581   0    0  1.866331  10.479009 0.719068  11.311959 0.999551  12.311510  13.311065 0.685733   6  
   3  10  3    4   0    0    6   14.493861   0    0  2.300373  16.909488 0.250574  17.275946 0.999529  18.275476  19.275013 0.719085   6  
   4  10  4   -1   0    0    4   20.491117   0    0  0.000000  23.006659 0.025632  23.139936 0.999561  24.139497  25.139045 0.852278   6  
   5  10  2    2   1    0    7   26.505084   0    0  1.683664  28.304303 0.444438  28.854019 0.999595  29.853613  30.853097 1.152207   6  
   6  10  2    1   0    0    7   32.502351   0    0  2.366363  35.017884 0.193853  35.317753 0.999527  36.317280  37.316839 0.685665   6  
   7  10  1    1   1    0    8   38.499632   0    0  1.117705  39.732414 0.586405  40.432094 0.999549  41.431643  42.431175 0.568687   5  
   8  10  2    1   0    0    7   43.497364   0    0  1.000443  44.646856 0.391206  45.146617 0.999544  46.146161  47.145720 0.851782   5  
   9  10  4    1   0    0    5   48.495101   0    0  2.300877  50.927359 0.580641  51.627005 0.999559  52.626564  53.626095 1.369243   7  
  10  11  4   -1   0    0    1   55.491913   0    0  0.000000  58.007451 0.017168  58.140714 0.999542  59.140256  60.139805 0.852213   6  
  11  11  4    4   1    0    6   61.489217   0    0  1.700619  63.305117 0.363381  63.788165 0.999596  64.787761  65.787247 1.202182   6  
  12  11  2    2   1    0    6   67.486484   0    0  1.633192  69.252375 0.594535  69.952027 0.999546  70.951572  71.951121 1.035428   6  
  13  10  3   -1   0    0    1   73.500424   0    0  0.000000  76.015952 0.144131  76.265826 0.999555  77.265382  78.264926 0.735696   6  
  14  10  1    1   1    0    6   79.497696   0    0  2.449626  82.079863 0.599731  82.796194 0.999558  83.795751  84.795235 1.202505   7  
  15  10  1    1   1    0    6   86.511191   0    0  1.717247  88.360347 0.420828  88.893444 0.999544  89.892988  90.892521 1.118910   6  
  16   9  2    4   0    0    6   92.508464   0    0  1.899688  94.524205 0.324854  94.957345 0.999547  95.956892  96.956448 1.052251   6  
  17   9  3    2   0    0    6   98.505743   0    0  2.300638 100.954624 0.717764 101.787569 0.999566 102.787135 103.786669 1.219313   7  
  18  10  2    3   0    0    4  105.502550   0    0  2.432868 108.051425 0.011207 108.168021 0.999546 109.167567 110.167113 0.835671   6  
  19  10  1    1   1    0    7  111.499847   0    0  1.601847 113.215718 0.622724 113.948736 0.999547 114.948283 115.947824 1.052253   6  
  20  10  1    1   1    0    5  117.513782   0    0  1.849830 119.512890 0.520239 120.145911 0.999561 121.145472 122.145031 0.868979   6  
