%% MetaTwins_RDMsc_training for 'shenhu': starting at _feedback (       50.0000000000).0-Jan-2019 11:31:04 for '7.374455e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  13  3    3   1    0    7    2.498866   0    0  1.300081   3.931476 0.449994   4.497966 0.999566   5.497532   6.497054 0.502045   5  
   2  13  1   -1   0    0    2    7.496600   0    0  0.000000  10.012170 0.617693  10.745145 0.999549  11.744693  12.744229 1.252601   7  
   3  13  2    3   0    0    6   14.493436   0    0  1.100219  15.742715 0.594712  16.442555 0.999553  17.442109  18.441642 0.551977   5  
   4  13  4    4   1    0    6   19.491164   0    0  2.382869  22.023361 0.073787  22.206623 0.999528  23.206151  24.205702 0.785638   6  
   5  13  2    3   0    0    7   25.488457   0    0  1.416639  27.054416 0.316089  27.487553 0.999547  28.487100  29.486646 0.501957   5  
   6  13  2   -1   0    0    2   30.502857   0    0  0.000000  33.018393 0.562167  33.684740 0.999555  34.684295  35.683839 1.319143   7  
   7  13  2    1   0    0    5   37.499691   0    0  2.266040  39.915255 0.157066  40.181795 0.999561  41.181356  42.180901 0.818888   6  
   8  14  1   -1   0    0    2   43.496968   0    0  0.000000  46.012519 0.343702  46.462293 0.999538  47.461831  48.461386 0.535656   6  
   9  14  4    2   0    0    5   49.494251   0    0  1.083485  50.710223 0.005830  50.826976 0.999552  51.826528  52.826080 1.168236   5  
  10  14  4    3   0    0    5   54.508651   0    0  1.316747  55.991315 0.082361  56.191209 0.999553  57.190762  58.190313 0.818561   5  
  11  15  2   -1   0    0    2   59.506392   0    0  0.000000  62.021920 0.420575  62.555008 0.999540  63.554548  64.554091 1.452522   7  
  12  15  2    2   1    0    5   66.503212   0    0  2.116376  68.768850 0.165967  69.052058 0.999540  70.051598  71.051152 0.952287   6  
  13  15  4   -1   0    0    4   72.500491   0    0  0.000000  75.016034 0.388896  75.515788 0.999549  76.515337  77.514884 1.485832   7  
  14  15  3    3   1    0    6   79.513991   0    0  2.116335  81.812952 0.232945  82.162777 0.999546  83.162323  84.161878 0.852329   6  
  15  14  2   -1   0    0    4   85.511264   0    0  0.000000  88.026819 0.501960  88.643181 0.999543  89.642724  90.642270 1.369234   7  
  16  14  4    4   1    0    6   92.508102   0    0  1.599887  94.257229 0.383705  94.757080 0.999546  95.756626  96.756181 1.252154   6  
  17  14  1    1   1    0    6   98.505381   0    0  1.916569 100.587764 0.353894 101.054229 0.999548 102.053776 103.053319 0.952305   6  
  18  13  1    1   1    0    6  104.502666   0    0  2.299648 106.951558 0.521663 107.584602 0.999545 108.584147 109.583685 1.419205   7  
  19  13  3    3   1    0    5  111.499489   0    0  1.266710 112.898726 0.730771 113.748476 0.999542 114.748018 115.747574 1.252152   6  
  20  12  3   -1   0    0    3  117.496782   0    0  0.000000 120.012319 0.666292 120.795290 0.999539 121.794829 122.794380 1.202623   7  
  21  12  3    3   1    0    6  124.493613   0    0  1.350174 125.976267 0.573970 126.659290 0.999549 127.658839 128.658377 1.335450   6  
  22  12  2    3   0    0    5  130.507565   0    0  1.999793 132.656546 0.352775 133.123025 0.999551 134.122576 135.122117 0.885641   6  
  23  12  1   -1   0    0    4  136.504831   0    0  0.000000 139.020370 0.336810 139.470161 0.999543 140.469704 141.469253 0.535784   6  
  24  12  2    2   1    0    5  142.502111   0    0  1.966337 144.601165 0.498683 145.217548 0.999550 146.217099 147.216648 0.785647   6  
  25  12  4    4   1    0    5  148.499401   0    0  1.866456 150.498495 0.651005 151.264817 0.999535 152.264351 153.263906 0.735644   6  
  26  11  2    2   1    0    6  154.496687   0    0  1.533283 156.162429 0.189091 156.462467 0.999530 157.461997 158.461539 0.535277   5  
  27  11  3    3   1    0    7  159.494423   0    0  1.416660 161.077033 0.825575 162.009935 0.999561 163.009496 164.009039 0.985492   6  
  28  10  4   -1   0    0    1  165.491700   0    0  0.000000 168.007243 0.269577 168.390386 0.999545 169.389930 170.389481 0.602309   6  
  29  10  3   -1   0    0    2  171.488980   0    0  0.000000 174.004546 0.352565 174.470971 0.999551 175.470521 176.470055 0.518999   6  
  30  10  1    2   0    0    5  177.502929   0    0  1.466606 179.102084 0.334208 179.551988 0.999558 180.551545 181.551092 1.452063   6  
  31  10  1    1   1    0    6  183.516864   0    0  1.933069 185.582486 0.389710 186.082372 0.999544 187.081916 188.081467 0.935626   6  
  32  10  3   -1   0    0    1  189.514151   0    0  0.000000 192.029684 0.521827 192.662724 0.999546 193.662269 194.661817 1.352561   7  
  33  10  3    3   1    0    5  196.510985   0    0  1.366679 198.010127 0.892943 199.009853 0.999535 200.009389 201.008944 1.002259   6  
  34   9  2    2   1    0   -1  202.508262   0    0  1.883168 204.507351 0.000000 206.506413 0.999580 207.505993 208.505550 0.502937   7  
  35   9  3    4   0    0   -1  209.505095   0    0  2.266094 211.904016 0.000000 213.903067 0.999570 214.902637 215.902189 1.103138   8  
  36   9  2    3   0    0   -1  217.501467   0    0  2.332842 219.983676 0.000000 221.982714 0.999595 222.982309 223.981867 1.019822   8  
  37   9  2    2   1    0    5  225.497848   0    0  1.899762 227.563577 0.103034 227.780148 0.999540 228.779688 229.779245 1.218835   6  
  38   9  4   -1   0    0    2  231.495132   0    0  0.000000 234.010692 0.000227 234.127276 0.999538 235.126814 236.126372 0.868991   6  
  39   9  4    4   1    0    6  237.509079   0    0  1.333319 238.975075 0.369980 239.458190 0.999543 240.457733 241.457287 0.552014   5  
  40   8  2   -1   0    0    2  242.506805   0    0  0.000000 245.022335 0.692709 245.821964 0.999556 246.821520 247.821065 1.185971   7  
  41   8  1    1   1    0    5  249.503642   0    0  1.566614 251.186213 0.233822 251.536056 0.999545 252.535601 253.535147 1.468722   6  
  42   8  4    1   0    0    5  255.500924   0    0  2.149533 257.783179 0.492592 258.382943 0.999550 259.382493 260.382040 0.619101   6  
  43   8  4    2   0    0    6  261.498200   0    0  2.116349 263.730531 0.377813 264.213642 0.999536 265.213178 266.212735 0.785682   6  
  44   9  4    2   0    0    6  267.495485   0    0  2.432851 270.044330 0.344746 270.494119 0.999560 271.493679 272.493220 0.502437   6  
