%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at shenlong (       50.0000000000).0-Jan-2019 11:57:487.374455e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   11   3   0    7      5      2.498533 1.432417   4.447297 1.015509   5.579891 2.418952   6  
   2  2   11   2   1    7     -1      8.494705 2.281869  11.292930 0.351423  11.759306 2.235729   6  
   3  3   11   3   1    7      6     14.507562 1.748839  16.772781 1.044664  17.938705 2.069174   6  
   4  2   11   4   0    4      5     20.503740 2.065352  23.085434 1.035339  24.234693 1.769365   6  
   5  2   11   2   1    1      4     26.499918 2.448409  29.464708 0.098438  29.681243 2.319010   6  
   6  3   11   3   1    5      7     32.496112 1.465728  34.478170 1.071705  35.660765 2.335672   6  
   7  1   11   4   0    5      6     38.508956 1.998656  41.024026 0.979494  42.123325 1.885950   6  
   8  4   11   1   0    1      5     44.505143 0.000000  47.586517 0.163495  47.869671 2.135794   6  
   9  2   11   4   0    3     -1     50.501325 2.065306  53.083017 1.197872  54.398852 1.602802   6  
  10  2   11  -1   0    1      3     56.514171 0.000000  59.129174 0.882156  60.128543 1.885949   6  
  11  4   11  -1   0    2      4     62.510352 0.000000  65.125364 0.567576  65.808253 2.202424   6  
  12  4   11   2   0    3     -1     68.506545 1.932041  70.954979 0.760969  71.821092 2.185766   6  
  13  4   11   4   1    1     -1     74.486072 0.000000  77.584106 0.311258  78.017158 1.969029   6  
  14  4   11   4   1    2      5     80.498918 2.081840  83.097272 0.473380  83.680227 2.318823   6  
  15  4   11   4   1    2      5     86.495101 2.315161  89.326630 0.000437  89.443225 2.552044   6  
  16  3   11   3   1    2      7     92.491291 1.832093  94.839797 0.328720  95.289502 2.701983   6  
  17  1   11   1   1    1      5     98.504131 0.000000 101.552189 0.292577 101.951936 2.052440   6  
  18  3   11   2   0    2     -1    104.500320 2.098607 107.115325 0.345601 107.581685 2.418882   6  
  19  1   11   4   0    1      5    110.496507 2.281871 113.294718 0.133000 113.544555 2.452240   6  
  20  4   11   4   1    3     -1    116.492683 2.215225 119.224280 0.607638 119.940490 2.052521   6  
  21  1   11  -1   0    2      2    122.505530 0.000000 125.120524 0.463891 125.703502 2.302341   6  
  22  3   11   3   1    3      5    128.501717 0.000000 131.549769 0.186853 131.849579 2.152466   6  
  23  1   11   1   1    2      5    134.497900 2.115275 137.129563 0.000312 137.246149 2.752064   6  
  24  4   11   4   1    5      6    140.510738 1.682240 142.709343 1.096143 143.925238 2.085826   6  
  25  3   11   3   1    5      7    146.506924 1.698871 148.722208 1.251981 150.087982 1.919269   6  
  26  1   11   2   0    3      5    152.503103 2.348465 155.367953 0.737207 156.217419 1.786013   6  
  27  3   11   3   1    6      6    158.499289 1.765505 160.781181 0.996761 161.897130 2.102491   6  
  28  2   11   1   0    2     -1    164.512152 2.431685 167.460264 0.223543 167.793383 2.219074   6  
  29  3   11   4   0    2      5    170.508332 2.398444 173.423142 0.518826 174.056066 1.952573   6  
  30  1   11   2   0    2      5    176.504502 2.131995 179.152832 0.166146 179.435985 2.568844   6  
  31  3   11  -1   0    3      1    182.517345 0.000000 185.132261 1.021209 186.264976 1.752720   6  
  32  1   11   1   1    2      6    188.496884 1.648975 190.662169 0.718788 191.494986 2.501988   6  
  33  3   11   3   1    6      7    194.493079 1.449087 196.458490 0.676580 197.241320 2.751882   6  
  34  4   11   2   0    5      5    200.489265 1.598950 202.604584 0.089941 202.804440 3.184975   6  
  35  1   11   3   0    6      5    206.502098 1.515686 208.534144 0.162671 208.817291 3.185005   6  
  36  3   11   3   1    5      6    212.498283 1.549069 214.563634 0.246011 214.930065 3.068443   6  
  37  2   11   1   0    2     -1    218.494468 1.832171 220.842975 0.179956 221.142781 2.851949   6  
  38  2   11   2   1    5      5    224.490660 1.898727 226.905788 0.582383 227.605336 2.385610   6  
  39  1   11   3   0    2      6    230.503494 2.031863 233.051882 0.273693 233.434960 2.568846   6  
  40  3   11   3   1    6      6    236.499686 1.498972 238.515074 0.423953 239.048063 2.951940   6  
  41  3   11   2   0    2     -1    242.495860 2.148592 245.160846 0.501053 245.777111 2.219076   6  
  42  4   11  -1   0    1      5    248.508709 0.000000 251.123712 0.344683 251.590089 2.418934   6  
