%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhousiqi (       50.0000000000).0-Jan-2019 16:53:317.374457e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   13   2   0    1    2.498990 1.733235   4.381334 1.863134   6.363899 1.635301   6  
   2  2   13   3   0    5    8.496251 1.933009  10.578582 1.232096  11.928035 2.068458   6  
   3  3   13   3   1    7   14.493536 1.899754  16.509284 1.794173  18.425087 1.568680   6  
   4  2   13   2   1    1   20.507477 1.649814  22.339987 0.609254  23.056328 2.951383   6  
   5  3   13   3   1    8   26.504759 1.299940  27.920789 0.703743  28.737076 3.267908   6  
   6  1   13   1   1    1   32.502034 2.166368  34.850901 0.815667  35.783886 2.218387   6  
   7  4   13   3   0    1   38.499321 1.799785  40.415122 0.578027  41.098134 2.901405   6  
   8  4   13   3   0    1   44.496589 2.116292  46.728742 0.715153  47.561878 2.434943   6  
   9  2   13   3   0    1   50.493880 1.733078  52.359706 0.543342  53.009402 2.984708   6  
  10  2   13   3   0    1   56.507809 2.066328  58.706820 0.520927  59.339869 2.668165   6  
  11  1   13   3   0    2   62.505085 2.149518  64.820713 1.060030  65.986854 2.018477   6  
  12  3   13   3   1    1   68.502365 1.966334  70.601409 0.813946  71.534330 2.468272   6  
  13  3   13   4   0    1   74.499660 1.816377  76.482096 0.557717  77.148447 2.851424   6  
  14  4   13   4   1   -1   80.496911 2.016258  82.679274 0.000000  84.678327 1.318832   6  
  15  3   13   3   1    6   86.510873 2.316208  88.959752 1.009767  90.075911 1.935189   6  
  16  1   13   1   1    7   92.508147 2.199548  94.840251 1.182116  96.139832 1.868546   6  
  17  2   13   3   0    3   98.505428 1.966377 100.604399 1.411240 102.137115 1.868538   6  
  18  4   13   4   1    7  104.502699 1.833058 106.468486 0.833620 107.418048 2.584878   6  
  19  1   13   2   0    1  110.499988 1.983024 112.632345 0.558577 113.298726 2.701492   6  
  20  4   13   3   0    1  116.497267 1.699820 118.429730 0.816948 119.362633 2.634866   6  
  21  2   13   2   1    6  122.511201 1.566643 124.210436 1.029851 125.359918 2.651517   6  
  22  2   13   2   1    1  128.508478 2.382974 131.040625 0.823053 131.973586 2.035124   6  
  23  4   13   3   0    6  134.505769 1.966305 136.638029 0.928601 137.687655 2.318348   6  
  24  1   13   1   1    7  140.503047 2.249540 142.935275 1.021394 144.068089 1.935180   6  
  25  1   13   1   1    7  146.500322 2.066224 148.732650 0.957714 149.798816 2.201743   6  
  26  4   13   4   1    7  152.514263 1.616516 154.330099 0.780447 155.229695 2.784791   6  
  27  2   13   2   1    7  158.511544 1.583144 160.277407 0.554207 160.943775 3.067998   6  
  28  1   13   1   1    7  164.508811 1.716441 166.357980 1.033974 167.507462 2.501583   6  
  29  3   13   3   1    7  170.506087 1.583229 172.221981 0.737987 173.071597 2.934733   6  
  30  4   13   3   0    7  176.503394 1.733082 178.402526 1.041909 179.551983 2.451623   6  
  31  4   13   4   1    8  182.500653 1.133405 183.750085 0.763858 184.633024 3.367862   6  
  32  4   13   4   1    7  188.514596 1.166677 189.797356 0.715100 190.630303 3.384515   6  
  33  2   13   2   1    1  194.511865 1.866377 196.544286 0.295280 196.960769 3.051332   6  
  34  2   13   3   0    1  200.509150 1.983207 202.674838 0.414458 203.207930 2.801449   6  
  35  3   13   4   0    1  206.506440 2.216264 209.138582 0.630168 209.888232 2.118422   6  
  36  2   13   4   0    1  212.503706 2.116100 214.802673 0.850537 215.768889 2.235047   6  
  37  2   13   2   1    1  218.500982 1.949749 220.616701 0.803480 221.532953 2.468267   6  
  38  4   13   4   1    1  224.514931 2.116100 226.813886 0.984276 227.913390 2.101770   6  
  39  3   13   3   1    7  230.512206 1.550041 232.178044 1.042688 233.327596 2.684853   6  
