%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhousixian (       50.0000000000).0-Jan-2019 16:53:327.374457e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   13   2   0    5      1      2.499028 1.749634   4.764676 1.574525   6.447247 1.552206   6  
   2  2   13   3   0    2      5      8.496330 1.950673  10.961911 0.277508  11.345040 2.651507   6  
   3  3   13   3   1    4      7     14.493596 1.916132  16.925830 0.861082  17.892049 2.101653   6  
   4  2   13   2   1    5      1     20.490880 1.683303  22.689933 1.344748  24.155883 1.835220   6  
   5  3   13   3   1    6      8     26.504842 1.316214  28.337335 0.931245  29.386835 2.618205   6  
   6  1   13   1   1    2      1     32.502097 2.183554  35.200869 1.444933  36.766842 1.235478   6  
   7  4   13   3   0    4      1     38.499343 1.816501  40.831638 1.205919  42.147706 1.851909   6  
   8  4   13   3   0    3      1     44.496666 2.133815  47.145497 0.761334  48.028385 1.968478   6  
   9  2   13   3   0    5      1     50.493930 1.749430  52.759558 1.123182  53.992344 2.001814   6  
  10  2   13   3   0    4      1     56.491234 2.099705  59.106700 1.092280  60.306162 1.685276   6  
  11  1   13   3   0    3      2     62.505136 2.165939  65.187248 0.763057  66.070208 1.935081   6  
  12  3   13   3   1    4      1     68.502432 1.983553  71.001302 0.796440  71.917590 2.085061   6  
  13  3   13   4   0    6      1     74.516365 1.816194  76.848645 1.544432  78.514548 1.502039   6  
  14  4   13   4   1    3     -1     80.513703 2.016897  83.045969 0.634945  83.795497 2.218365   6  
  15  3   13   3   1    2      6     86.510913 2.332488  89.359628 0.367227  89.842736 2.168413   6  
  16  1   13   1   1    2      7     92.508253 2.216217  95.240345 1.054263  96.406485 1.601936   6  
  17  2   13   3   0    6      3     98.505479 1.982744 101.004340 0.874419 101.987227 2.018471   6  
  18  4   13   4   1    6      7    104.502820 1.850565 106.868364 0.944641 107.917887 2.085113   6  
  19  1   13   2   0    5      1    110.500028 1.999365 113.015555 1.070053 114.198375 1.801850   6  
  20  4   13   3   0    7      1    116.497322 1.717078 118.729641 1.832736 120.678768 1.318787   6  
  21  2   13   2   1    6      6    122.494599 1.599748 124.610272 1.500910 126.226218 1.768460   6  
  22  2   13   2   1    2      1    128.508550 2.399987 131.423887 1.007566 132.540035 1.468724   6  
  23  4   13   3   0    5      6    134.505808 1.982691 137.004675 0.566076 137.687678 2.318355   6  
  24  1   13   1   1    4      7    140.503104 2.267356 143.285179 0.626128 144.018177 1.985145   6  
  25  1   13   1   1    4      7    146.500361 2.082690 149.099199 0.548084 149.765559 2.235041   6  
  26  4   13   4   1    6      7    152.497615 1.649909 154.663350 1.263841 156.046052 1.951807   6  
  27  2   13   2   1    7      7    158.494921 1.616186 160.627294 1.038518 161.776765 2.218386   6  
  28  1   13   1   1    6      7    164.492256 1.749655 166.757856 0.720905 167.590815 2.401630   6  
  29  3   13   3   1    6      7    170.489494 1.616365 172.621860 0.784607 173.521456 2.468162   6  
  30  4   13   3   0    6      7    176.486773 1.766505 178.769122 0.648266 179.535404 2.451577   6  
  31  4   13   4   1    7      8    182.500707 1.149639 184.166611 0.864320 185.149498 2.851444   6  
  32  4   13   4   1    7      7    188.514647 1.183667 190.213797 0.571304 190.896917 3.117956   6  
  33  2   13   2   1    6      1    194.511915 1.882583 196.910835 0.639455 197.660486 2.351663   6  
  34  2   13   3   0    5      1    200.509212 1.999699 203.024729 1.214461 204.357467 1.651950   6  
  35  3   13   4   0    4      1    206.506550 2.232673 209.255249 0.593509 209.954908 2.051794   6  
  36  2   13   4   0    3      1    212.503763 2.133335 215.152616 0.456340 215.718988 2.285008   6  
  37  2   13   2   1    5      1    218.501028 1.966102 220.983237 0.965383 222.066103 1.935093   6  
  38  4   13   4   1    3      1    224.498379 2.150066 227.163785 0.614195 227.896780 2.101760   6  
  39  3   13   3   1    6      7    230.495583 1.582882 232.594646 0.814748 233.527553 2.468103   6  
  40  3   13   1   0    3      7    236.509553 2.083085 239.108369 0.990142 240.207864 1.801914   6  
  41  4   13   3   0    4      1    242.506803 2.165828 245.188932 1.260029 246.554962 1.452069   6  
  42  4   13   4   1    3      1    248.504153 2.083625 251.102921 0.518406 251.735963 2.268348   6  
  43  2   13   2   1    2      7    254.501361 2.132625 257.150181 0.760532 258.016445 1.985146   6  
  44  1   13   1   1    3      1    260.498662 2.116372 263.130804 1.159072 264.396892 1.601991   6  
  45  3   13   3   1    5      7    266.495916 1.916094 268.928161 1.173105 270.210899 1.785237   6  
  46  3   13   3   1    4      1    272.493221 2.016535 275.025407 0.748202 275.891671 2.101808   6  
  47  2   13   2   1    6      1    278.490484 1.932894 280.939360 1.143426 282.188794 1.801791   6  
  48  4   13   3   0    2      1    284.504433 2.299627 287.319813 0.855925 288.286047 1.718609   6  
  49  3   13   3   1    5      1    290.501704 1.916165 292.933936 1.291336 294.333301 1.668619   6  
  50  3   13   1   0    6     -1    296.498991 1.666726 298.681336 1.132099 299.930770 2.068439   6  
  51  4   13  -1   0    2      3    302.496245 0.000000 305.011797 0.797061 305.928047 2.068439   6  
  52  4   13   4   1    5      1    308.510209 1.967513 310.992402 1.028314 312.141897 1.868549   6  
  53  2   13   2   1    7      7    314.507467 1.549418 316.573206 1.420522 318.105846 1.901859   6  
  54  3   13   3   1    7      8    320.504765 1.383484 322.403903 0.626139 323.136897 2.868092   6  
  55  2   13   2   1    2      8    326.502034 1.483019 328.501123 0.538657 329.150824 2.851351   6  
