%% MetaTwins_RDMsc_training for 'quanhonglin': starting at _feedback (       50.0000000000).2-Jan-2019 11:04:31 for '7.374475e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  14  1   -1   0    0    1    2.499052   0    0  0.000000   5.014614 0.767103   5.897518 0.999539   6.897057   7.896605 1.102673   7  
   2  14  4    4   1    0    3    9.495875   0    0  1.650210  11.278414 0.854156  12.261298 0.999532  13.260831  14.260381 0.735683   6  
   3  14  2    2   1    0    5   15.493161   0    0  1.233398  16.859215 0.809015  17.792126 0.999543  18.791669  19.791210 1.202107   6  
   4  13  1    4   0    0    4   21.490441   0    0  1.349949  22.956359 0.987568  24.055956 0.999545  25.055501  26.055042 0.935530   6  
   5  13  1    1   1    0    4   27.487733   0    0  2.199465  29.853335 0.628241  30.602989 0.999551  31.602540  32.602070 1.385754   7  
   6  13  3    2   0    0    1   34.517878   0    0  2.066426  36.700148 1.366084  38.182880 0.999549  39.182428  40.181981 0.836123   7  
   7  13  2    4   0    0    4   41.514700   0    0  1.982971  43.630336 1.087237  44.846530 0.999538  45.846068  46.845620 1.169308   7  
   8  14  2    1   0    0    4   48.511532   0    0  1.866481  50.510468 0.857667  51.493516 0.999553  52.493069  53.492614 0.519151   6  
   9  14  4    4   1    0    3   54.508835   0    0  1.849752  56.541238 0.960705  57.624080 0.999545  58.623626  59.623164 1.385873   7  
  10  14  1    4   0    0    4   61.505650   0    0  1.216648  62.854963 1.342347  64.321043 0.999558  65.320602  66.320133 0.685743   6  
  11  14  3    4   0    0    4   67.502944   0    0  1.383310  69.018831 1.344533  70.484913 0.999549  71.484462  72.484011 0.519155   6  
  12  15  3    1   0    0    4   73.500213   0    0  1.933051  75.582609 0.598434  76.298969 0.999513  77.298482  78.298040 0.702406   6  
  13  15  2    4   0    0    4   79.497497   0    0  1.683346  81.346653 0.694926  82.162962 0.999534  83.162495  84.162049 0.835685   6  
  14  16  3    1   0    0    4   85.494784   0    0  1.666486  87.310470 0.547450  87.976989 0.999552  88.976541  89.976085 1.018925   6  
  15  16  3    1   0    0    4   91.492062   0    0  1.633216  93.257944 1.277823  94.657299 0.999549  95.656849  96.656394 1.335853   7  
  16  18  1    1   1    0    4   98.488924   0    0  1.299977  99.954900 1.518989 101.587501 0.999544 102.587045 103.586590 1.402458   7  
  17  18  4    4   1    0    5  105.502390   0    0  1.299976 106.918300 0.732340 107.768026 0.999544 108.767570 109.767117 1.235377   6  
  18  16  3    1   0    0    4  111.499673   0    0  1.333180 112.982336 1.142489 114.231776 0.999533 115.231309 116.230855 0.768895   6  
  19  16  4    4   1    0    5  117.513603   0    0  1.233387 118.863010 0.829820 119.812569 0.999549 120.812118 121.811666 1.202182   6  
  20  16  2    1   0    0    4  123.510904   0    0  1.683183 125.360053 1.357623 126.842735 0.999533 127.842268 128.841809 1.169318   7  
  21  16  1    4   0    0    3  130.507719   0    0  1.933002 132.590119 1.312527 134.022794 0.999545 135.022339 136.021893 0.986064   7  
  22  18  2    2   1    0    4  137.504567   0    0  2.249646 139.920049 1.023329 141.069613 0.999529 142.069142 143.068698 0.936087   7  
  23  18  4    4   1    0    3  144.501387   0    0  2.116187 146.783681 0.909926 147.816555 0.999540 148.816095 149.815636 1.185974   7  
  24  16  3   -1   0    0    1  151.498215   0    0  0.000000 154.013775 0.743842 154.880026 0.999533 155.879560 156.879102 1.119334   7  
  25  16  2    4   0    0    3  158.495044   0    0  2.032967 160.677387 1.017373 161.810206 0.999538 162.809744 163.809307 1.185969   7  
  26  16  1    4   0    0    3  165.491870   0    0  2.399498 168.057380 0.876961 169.056932 0.999536 170.056468 171.056018 0.936085   7  
  27  18  1    1   1    0    4  172.505373   0    0  2.149631 174.787572 1.386637 176.286979 0.999549 177.286528 178.286081 0.719472   7  
  28  18  4    4   1    0    5  179.502204   0    0  1.399804 181.018045 1.083833 182.217627 0.999548 183.217175 184.216726 0.785627   6  
  29  16  4    4   1    0    5  185.499472   0    0  1.233379 186.882072 1.653344 188.648046 0.999542 189.647588 190.647144 1.352448   7  
  30  16  2    2   1    0    5  192.496309   0    0  2.049636 194.678651 0.547921 195.345024 0.999538 196.344562 197.344108 0.652286   6  
  31  14  2    4   0    0    5  198.510249   0    0  2.049701 200.675927 1.843368 202.641699 0.999550 203.641249 204.640796 1.369684   8  
  32  14  1    1   1    0    4  206.506629   0    0  2.266257 208.888715 1.231992 210.238261 0.999551 211.237813 212.237361 0.769504   7  
  33  14  4    4   1    0    5  213.503449   0    0  1.150131 214.786218 0.292834 215.202689 0.999530 216.202219 217.201790 0.801898   5  
  34  13  1    1   1    0    5  218.501182   0    0  0.950190 219.617352 0.871077 220.600247 0.999548 221.599794 222.599334 1.402098   6  
  35  13  2    1   0    0    4  224.498464   0    0  1.983053 226.680734 1.137705 227.946913 0.999550 228.946463 229.945998 1.052718   7  
  36  13  1    1   1    0    4  231.495317   0    0  1.683012 233.361124 1.127783 234.610566 0.999535 235.610101 236.609649 1.385889   7  
  37  13  3    1   0    0    3  238.508793   0    0  2.416127 241.107615 1.121020 242.357057 0.999531 243.356588 244.356134 0.652890   7  
  38  13  2    4   0    0    5  245.505625   0    0  1.316516 246.971507 1.193141 248.287699 0.999545 249.287243 250.286789 0.719066   6  
  39  14  2    1   0    0    4  251.502905   0    0  2.032946 253.735234 1.036546 254.884705 0.999538 255.884243 256.883814 1.119302   7  
  40  14  4    4   1    0    6  258.499736   0    0  1.217034 259.849122 1.204981 261.181852 0.999553 262.181404 263.180946 0.818963   6  
  41  14  2    4   0    0    4  264.497026   0    0  2.232883 266.895935 0.774368 267.778862 0.999553 268.778415 269.777970 1.219181   7  
  42  14  2    4   0    0    4  271.493852   0    0  2.032950 273.709520 1.266576 275.092219 0.999534 276.091753 277.091311 0.902645   7  
  43  15  4    4   1    0    5  278.490680   0    0  1.016851 279.656818 0.662439 280.439800 0.999539 281.439339 282.438904 0.551850   5  
  44  15  3    3   1    0    5  283.505066   0    0  2.066421 285.703949 1.094353 286.920199 0.999530 287.919729 288.919279 1.086020   7  
  45  14  4    4   1    0    5  290.501906   0    0  1.150019 291.784660 1.101541 293.000777 0.999535 294.000311 294.999865 1.002274   6  
  46  14  3    1   0    0    4  296.499198   0    0  1.866348 298.514944 1.048848 299.681077 0.999551 300.680628 301.680173 1.319234   7  
  47  14  2    4   0    0    4  303.512682   0    0  1.816675 305.461794 0.724655 306.311414 0.999534 307.310948 308.310506 0.702393   6  
  48  15  4    4   1    0    5  309.509968   0    0  1.183301 310.809369 1.052838 311.975506 0.999553 312.975059 313.974607 1.035583   6  
  49  15  1    1   1    0    4  315.507243   0    0  2.099646 317.756233 0.701244 318.572524 0.999550 319.572074 320.571611 1.435863   7  
  50  14  4    4   1    0    5  322.504076   0    0  0.916901 323.536926 1.027460 324.686410 0.999561 325.685971 326.685511 1.318800   6  
  51  14  3    3   1    0    4  328.501347   0    0  2.382917 331.066863 1.012287 332.199683 0.999536 333.199219 334.198775 0.802818   7  
  52  13  3    1   0    0    4  335.498192   0    0  1.833090 337.513811 1.116742 338.746712 0.999549 339.746260 340.745818 1.252563   7  
  53  13  1    1   1    0    5  342.495024   0    0  1.300146 343.960999 1.350806 345.427016 0.999544 346.426560 347.426110 0.569066   6  
  54  13  4    4   1    0    5  348.492302   0    0  0.966855 349.608458 1.814548 351.540924 0.999536 352.540460 353.540015 1.452418   7  
  55  12  3    3   1    0    5  355.489131   0    0  2.332880 357.954683 1.384589 359.454013 0.999536 360.453549 361.453094 0.536119   7  
  56  12  1    1   1    0    5  362.502612   0    0  1.066786 363.701970 1.712269 365.534586 0.999532 366.534118 367.533666 1.469177   7  
  57  11  1    1   1    0    4  369.516104   0    0  1.816427 371.515123 0.715437 372.348165 0.999549 373.347714 374.347254 0.669080   6  
  58  11  3    3   1    0    4  375.513392   0    0  1.966368 377.595785 1.152227 378.861875 0.999547 379.861422 380.860976 1.152642   7  
  59  10  3    1   0    0    5  382.510226   0    0  1.833094 384.542638 0.887160 385.542177 0.999542 386.541718 387.541274 1.469182   7  
  60  10  4    4   1    0    5  389.507044   0    0  1.416812 391.039690 0.816624 391.972607 0.999549 392.972155 393.971694 1.035591   6  
]; % This session completes at 22-Jan-2019 11:11:28, 397.005s after session start, 393s on 60 trials, totally 416.49s, correctness is 53.333%.

