%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at quanhongsen (       50.0000000000).2-Jan-2019 12:34:327.374475e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   11   2   1    5    2.498868 1.667808   4.281403 0.504037   4.897787 3.101310   6  
   2  2   11   2   1    5    8.496156 0.983394   9.612316 0.252481   9.978806 4.017570   6  
   3  1   11   2   0    4   14.493422 1.216593  15.859490 0.717333  16.692439 3.301222   6  
   4  2   11   2   1    5   20.507364 1.816408  22.456435 0.364979  22.939602 3.068006   6  
   5  2   11   4   0    5   26.504650 1.566540  28.287180 0.790967  29.186770 2.818109   6  
   6  1   11   2   0    3   32.501924 1.449903  34.084469 0.538764  34.734261 3.267894   6  
   7  4   11   4   1    8   38.499207 1.183502  39.848605 0.310768  40.265082 3.734355   6  
   8  2   11   2   1    5   44.496491 1.316717  45.995793 0.503388  46.612203 3.384508   6  
   9  4   11   4   1    5   50.493765 1.549907  52.226324 0.339445  52.676104 3.317886   6  
  10  3   11   4   0    5   56.507701 1.583178  58.256791 0.406125  58.773344 3.234593   6  
  11  3   11   2   0    3   62.504988 1.250148  63.921017 0.645858  64.687328 3.317880   6  
  12  1   11   2   0    2   68.502272 1.649891  70.401353 0.667810  71.184388 2.818104   6  
  13  4   11   4   1    5   74.499554 1.416564  76.065505 0.412838  76.598588 3.401180   6  
  14  3   11   2   0    5   80.496828 1.283356  81.996148 0.484308  82.595875 3.401171   6  
  15  4   11   4   1    7   86.510757 1.349903  88.043284 0.608082  88.759739 3.251250   6  
  16  1   11   4   0    2   92.508032 1.499945  94.173982 0.946417  95.240139 2.768138   6  
  17  1   11   1   1    5   98.505317 1.616434 100.321163 1.366977 101.803822 2.201726   6  
  18  3   11   4   0    2  104.502592 1.816401 106.584938 1.191439 107.884397 2.118424   6  
  19  3   11   4   0    5  110.499875 2.149644 112.765517 1.138858 114.014959 1.985146   6  
  20  4   11   1   0    5  116.497165 1.283308 117.996465 1.159859 119.262561 2.734824   6  
  21  4   11   4   1    5  122.511099 1.516350 124.210323 0.569982 124.893348 3.117978   6  
  22  1   11   4   0    3  128.508375 1.433463 130.074249 1.211232 131.390402 2.618196   6  
  23  1   11   2   0    2  134.505651 2.266188 136.954403 0.651323 137.720861 2.285014   6  
  24  3   11   3   1    5  140.502928 1.533190 142.235493 0.677938 143.018456 2.984701   6  
  25  2   11   4   0    5  146.500220 1.916339 148.549139 0.625792 149.282283 2.718153   6  
  26  3   11   3   1    5  152.514150 1.899730 154.529897 0.788768 155.429502 2.584872   6  
  27  4   11   4   1    5  158.511435 1.799848 160.443889 0.442903 160.993638 3.018013   6  
  28  1   11   4   0    5  164.508712 1.566652 166.257808 0.396198 166.774355 3.234573   6  
  29  2   11   4   0    5  170.505983 1.549863 172.171798 0.398361 172.688328 3.317894   6  
  30  2   11   1   0    8  176.503271 1.183427 177.852585 0.828675 178.802230 3.201270   6  
  31  3   11   3   1    5  182.500551 1.883098 184.516225 0.524699 185.149351 2.851443   6  
  32  4   11   4   1    7  188.514489 1.366673 190.030458 0.654615 190.796788 3.217922   6  
  33  2   11   2   1    8  194.511766 0.966859 195.644594 0.488099 196.244313 3.767675   6  
  34  2   11   1   0    5  200.509042 1.200061 201.858441 0.755597 202.724716 3.284560   6  
  35  2   11   3   0    1  206.506321 1.533211 208.205557 0.779827 209.105145 2.901396   6  
  36  1   11   1   1    7  212.503597 0.883488 213.503150 0.806907 214.419399 3.584437   6  
  37  4   11   1   0    6  218.517539 1.499916 220.183460 0.693104 220.983086 3.034695   6  
  38  3   11   1   0    3  224.498161 1.250155 225.947504 0.929117 226.997025 3.001203   6  
  39  4   11   4   1    4  230.495443 1.683092 232.394587 0.690995 233.194211 2.801296   6  
  40  1   11   1   1    5  236.492725 1.599841 238.258491 0.550965 238.924952 3.067838   6  
  41  1   11   3   0    3  242.489993 0.916847 243.672787 1.187284 244.972206 3.017884   6  
  42  2   11   1   0    5  248.487284 1.666496 250.319780 0.409715 250.836216 3.151159   6  
  43  4   11   4   1    8  254.501214 1.150076 255.833939 0.360176 256.300399 3.700921   6  
  44  3   11   4   0    3  260.498507 1.333334 261.981152 0.773185 262.864093 3.134508   6  
  45  1   11   1   1    5  266.495778 1.333319 267.995097 0.602847 268.711433 3.284457   6  
  46  3   11   1   0    5  272.493061 1.399881 274.092329 0.861554 275.058560 2.934626   6  
  47  2   11   3   0    1  278.490337 1.866376 280.472727 0.741824 281.322376 2.668086   6  
  48  4   11   2   0    5  284.504265 1.783281 286.520019 0.774748 287.402964 2.601453   6  
  49  2   11   2   1    5  290.501564 1.266523 291.934100 0.537862 292.583940 3.417751   6  
  50  1   11   1   1    5  296.498833 1.566412 298.198066 0.633272 298.947711 3.051277   6  
  51  3   11   1   0    4  302.496103 1.849754 304.528446 1.286127 305.927887 2.068386   6  
  52  2   11   2   1    5  308.493388 1.550606 310.209230 0.476242 310.792354 3.201208   6  
  53  4   11   2   0    5  314.490664 1.533349 316.189896 0.517009 316.822948 3.167889   6  
  54  3   11   1   0    3  320.504605 2.049634 322.786918 0.771347 323.669840 2.334945   6  
  55  2   11   2   1    5  326.501880 1.466519 328.134486 0.474845 328.717554 3.284519   6  
  56  2   11   2   1    5  332.499176 1.483303 334.131752 0.272284 334.514917 3.484446   6  
  57  1   11   1   1    5  338.496451 1.783221 340.445535 1.076151 341.628368 2.368285   6  
  58  2   11   2   1    6  344.493715 1.216502 345.859771 0.647899 346.626097 3.367833   6  
  59  4   11   2   0    5  350.491000 1.249879 351.907032 0.373379 352.390146 3.601067   6  
  60  1   11   3   0    5  356.504938 1.966345 358.737266 0.616538 359.470273 2.534900   6  
  61  1   11   2   0    5  362.502218 1.166688 363.801627 0.317857 364.234768 3.767678   6  
  62  1   11   1   1    6  368.499507 1.449781 370.115436 0.649863 370.881753 3.117969   6  
  63  4   11   1   0    5  374.496772 1.433313 376.079312 0.407564 376.595835 3.401163   6  
  64  2   11   1   0    6  380.494063 1.300004 381.960066 0.732302 382.809669 3.184621   6  
  65  1   11   3   0    5  386.507995 2.016205 388.756803 1.054998 389.923117 2.085114   6  
  66  3   11   1   0    3  392.505276 1.599657 394.271138 0.722779 395.104103 2.901411   6  
  67  1   11   2   0    2  398.502566 1.982890 400.701560 0.714357 401.534512 2.468285   6  
  68  4   11   2   0    2  404.499844 2.032929 406.698844 0.835906 407.648410 2.351663   6  
  69  3   11   1   0    5  410.497119 1.599735 412.246185 0.399729 412.762751 3.234587   6  
  70  2   11   2   1    5  416.494382 1.716432 418.376889 0.370412 418.859980 3.134648   6  
  71  3   11   2   0    5  422.508331 1.483161 424.174249 0.429633 424.723995 3.284561   6  
  72  2   11   2   1    5  428.505619 1.783083 430.504704 0.369090 430.987815 3.018020   6  
  73  1   11   1   1    5  434.502885 1.766376 436.401856 0.369719 436.885143 3.117970   6  
  74  3   11   1   0    5  440.500171 1.483274 442.116114 0.535344 442.765820 3.234565   6  
  75  2   11   1   0    5  446.497454 1.583122 448.263247 0.616886 448.996316 3.001368   6  
  76  4   11   4   1    5  452.511385 1.799745 454.477015 0.437138 455.026920 2.984701   6  
  77  1   11   1   1    5  458.508667 1.783086 460.441008 0.510676 461.057504 2.951399   6  
  78  2   11   1   0    5  464.505949 1.399971 466.055127 0.455329 466.621653 3.384526   6  
  79  4   11   2   0    5  470.503222 1.916354 472.635591 0.470920 473.218670 2.784786   6  
  80  4   11   1   0    5  476.500506 1.233187 477.933181 0.636399 478.682852 3.317885   6  
  81  3   11   2   0    5  482.497802 1.749741 484.413578 0.307414 484.830057 3.167948   6  
  82  3   11   4   0    3  488.511729 2.316177 491.077233 1.118084 492.310007 1.701937   6  
  83  3   11   3   1    5  494.508993 1.649948 496.341515 0.774737 497.224432 2.784795   6  
  84  1   11   1   1    5  500.506274 1.716471 502.372103 0.339035 502.821889 3.184613   6  
  85  4   11   4   1    5  506.503561 2.032964 508.685847 0.465581 509.268981 2.734798   6  
  86  3   11   2   0    5  512.500837 1.999649 514.633053 0.606728 515.349545 2.651522   6  
  87  1   11   1   1    3  518.514771 1.633164 520.297176 0.815354 521.230223 2.784776   6  
  88  4   11   2   0    5  524.512052 1.516560 526.177903 0.298369 526.594433 3.417855   6  
  89  3   11   1   0    5  530.509343 1.866548 532.525095 0.394115 533.024861 2.984706   6  
  90  4   11   4   1    7  536.506618 1.233274 537.855850 0.360518 538.322463 3.684376   6  
]; % This session completes at 22-Jan-2019 12:43:57, 544.006s after session start, 540s on 90 trials, totally 564.626s.

