%% MetaTwins_RDMsc_training for 'quanhongsen': starting at _nofeedback (       50.0000000000).2-Jan-2019 11:16:07 for '7.374475e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  10  1    2   0    0   -1    2.498978   0    0  1.150143   3.764947 0.000000   4.348144  0   0    4.348144 0.651057   3  
   2  10  1    2   0    0    5    5.497615   0    0  1.400049   7.030259 0.650369   7.796591  0   0    7.796591 1.201226   4  
   3  10  3    3   1    0    5    9.495810   0    0  2.299540  11.911360 0.509393  12.527768  0   0   12.527768 1.468230   5  
   4  10  3    3   1    0    5   14.493531   0    0  1.699719  16.376035 0.500671  16.992416  0   0   16.992416 1.001274   4  
   5   9  3    2   0    0    5   18.491732   0    0  1.399916  20.024360 0.504909  20.640759  0   0   20.640759 1.351125   4  
   6   9  2    3   0    0    5   22.489921   0    0  1.599869  24.239009 0.269147  24.622281  0   0   24.622281 1.367741   4  
   7  10  2    2   1    0    2   26.488097   0    0  1.449889  28.054061 0.686581  28.853687  0   0   28.853687 1.134503   4  
   8  10  3    3   1    0    8   30.486291   0    0  1.383315  31.985607 0.822354  32.918517  0   0   32.918517 1.067831   4  
   9   9  3    2   0    0    2   34.501133   0    0  1.666496  36.283660 0.642826  37.033320  0   0   37.033320 0.968052   4  
  10   9  4    4   1    0    8   38.515985   0    0  1.349861  39.981993 0.381342  40.481757  0   0   40.481757 0.534448   3  
  11   9  1    3   0    0    5   41.514615   0    0  1.933012  43.563682 0.550351  44.230047  0   0   44.230047 0.784795   4  
  12   9  3    2   0    0    2   45.512812   0    0  1.599873  47.262001 0.633852  48.011663  0   0   48.011663 1.001362   4  
  13  10  4    4   1    0    8   49.510987   0    0  1.749925  51.376803 0.263694  51.759968  0   0   51.759968 1.251251   4  
  14  10  1    1   1    0    6   53.509173   0    0  1.916413  55.574913 0.653111  56.341213  0   0   56.341213 0.668185   4  
  15   9  2    2   1    0    6   57.507361   0    0  1.183460  58.806776 0.639407  59.556441  0   0   59.556441 1.451139   4  
  16   9  1    1   1    0    7   61.505532   0    0  1.449932  63.071504 0.297354  63.487976  0   0   63.487976 0.517792   3  
  17   8  4    4   1    0    6   64.504183   0    0  1.449772  66.070134 0.320633  66.503276  0   0   66.503276 0.501140   3  
  18   8  4    2   0    0    6   67.502818   0    0  1.250046  68.868868 0.500139  69.485280  0   0   69.485280 0.517765   3  
  19   8  4    4   1    0    6   70.501458   0    0  1.349974  71.967465 0.165340  72.250679  0   0   72.250679 0.751014   3  
  20   8  2    1   0    0    7   73.500108   0    0  1.516549  75.132704 0.290831  75.532514  0   0   75.532514 1.467813   4  
  21   8  4    4   1    0    7   77.498288   0    0  1.100090  78.714400 0.844515  79.663980  0   0   79.663980 1.334534   4  
  22   8  3    4   0    0    5   81.496470   0    0  1.750344  83.378883 0.624767  84.111953  0   0   84.111953 0.884748   4  
  23   8  3    3   1    0    6   85.494671   0    0  2.132921  87.776966 0.163697  88.060169  0   0   88.060169 0.934702   4  
  24   8  4    4   1    0    7   89.492853   0    0  1.249868  90.858890 0.183754  91.158762  0   0   91.158762 0.834255   3  
  25   7  3    4   0    0    5   92.491486   0    0  1.516544  94.124087 0.368557  94.607198  0   0   94.607198 1.384453   4  
  26   7  1    2   0    0    2   96.489693   0    0  1.383307  98.005663 0.543757  98.655349  0   0   98.655349 1.334467   4  
  27   8  2    2   1    0    6  100.487866   0    0  1.583250 102.220418 0.318918 102.653547  0   0  102.653547 1.334430   4  
  28   8  2    2   1    0    5  104.502708   0    0  1.183176 105.818782 0.357737 106.285234  0   0  106.285234 0.717571   3  
  29   7  3    2   0    0    1  107.501340   0    0  1.449904 109.067310 0.388553 109.567080  0   0  109.567080 1.434345   4  
  30   7  1    3   0    0    2  111.499532   0    0  2.082867 113.748511 0.702645 114.564806  0   0  114.564806 1.434781   5  
  31   8  1    2   0    0    5  116.513928   0    0  1.633633 118.296454 0.424349 118.829534  0   0  118.829534 1.184620   4  
  32   8  2    2   1    0    5  120.512103   0    0  1.516793 122.161371 0.480028 122.761092  0   0  122.761092 1.251248   4  
  33   8  3    2   0    0    5  124.510302   0    0  1.483226 126.126130 0.325331 126.559373  0   0  126.559373 1.451159   4  
  34   8  3    2   0    0    5  128.508485   0    0  1.333438 129.957746 0.293933 130.357645  0   0  130.357645 0.651060   3  
  35   9  1    2   0    0    2  131.507118   0    0  1.566525 133.206350 0.712973 134.039304  0   0  134.039304 0.968052   4  
  36   9  2    1   0    0    7  135.505309   0    0  1.533243 137.171050 0.270825 137.554384  0   0  137.554384 1.451148   4  
