%% MetaTwins_RDMsc_training for 'chenkexin': starting at _nofeedback (       50.0000000000).2-Jan-2019 11:54:33 for '7.374475e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  3    1   0    0    5    2.499308   0    0  2.117516   4.731676 0.892311   5.747921  0   0    5.747921 1.251603   5  
   2  15  1    1   1    0    7    7.497017   0    0  1.183432   8.796444 0.227354   9.146376  0   0    9.146376 0.850815   3  
   3  15  1    3   0    0    7   10.495665   0    0  1.916353  12.528134 0.271338  12.927962  0   0   12.927962 1.067896   4  
   4  15  2    2   1    0    7   14.493848   0    0  1.516579  16.126460 0.376793  16.626212  0   0   16.626212 1.367718   4  
   5  15  1    1   1    0    7   18.508696   0    0  1.033327  19.658110 0.185785  19.958065  0   0   19.958065 1.050868   3  
   6  14  3    3   1    0    5   21.507349   0    0  1.583262  23.206548 0.368127  23.689681  0   0   23.689681 1.317886   4  
   7  14  4    3   0    0    5   25.505527   0    0  2.033051  27.654609 1.214560  28.987282  0   0   28.987282 1.018477   5  
   8  14  4    1   0    0    7   30.503239   0    0  1.217316  31.836007 0.362478  32.319088  0   0   32.319088 0.684393   3  
   9  15  3    3   1    0    5   33.501890   0    0  1.416685  35.034597 0.434531  35.584347  0   0   35.584347 1.417776   4  
  10  15  1    1   1    0    8   37.500076   0    0  0.950153  38.566270 0.313006  38.999395  0   0   38.999395 1.000911   3  
  11  14  1    2   0    0    6   40.498705   0    0  1.832985  42.447858 0.625053  43.197556  0   0   43.197556 0.801400   4  
  12  14  1    1   1    0    6   44.496906   0    0  1.216654  45.846280 0.995181  46.962449  0   0   46.962449 1.034657   4  
  13  14  3    3   1    0    7   48.495152   0    0  1.617696  50.227637 0.343498  50.694149  0   0   50.694149 1.301188   4  
  14  13  4    4   1    0    7   52.493335   0    0  1.334565  53.942677 0.267586  54.325801  0   0   54.325801 0.667686   3  
  15  13  4    1   0    0    5   55.491968   0    0  1.434117  57.041260 0.697729  57.857542  0   0   57.857542 1.134591   4  
  16  13  2    3   0    0    4   59.506726   0    0  1.533297  61.155996 0.793119  62.072282  0   0   62.072282 0.934716   4  
  17  14  3    2   0    0    4   63.504935   0    0  1.949723  65.570684 0.669785  66.353642  0   0   66.353642 0.651538   4  
  18  14  1    1   1    0    7   67.503173   0    0  0.916692  68.552595 0.350446  69.019102  0   0   69.019102 0.984250   3  
  19  14  2    3   0    0    5   70.501789   0    0  1.700175  72.317547 0.888119  73.333905  0   0   73.333905 0.668103   4  
  20  14  1    1   1    0    8   74.499954   0    0  1.200044  75.816030 0.359107  76.299133  0   0   76.299133 0.701057   3  
  21  14  2    2   1    0    8   77.498593   0    0  1.100019  78.714776 0.225773  79.064607  0   0   79.064607 0.934222   3  
  22  13  1    1   1    0    5   80.497293   0    0  1.967663  82.596297 0.748017  83.462617  0   0   83.462617 0.534850   4  
  23  13  2    3   0    0    6   84.495487   0    0  1.485274  86.094631 0.674011  86.894354  0   0   86.894354 1.101358   4  
  24  13  1    1   1    0    8   88.493661   0    0  1.084558  89.693139 0.294064  90.109553  0   0   90.109553 0.884340   3  
  25  13  3    3   1    0    5   91.492302   0    0  2.100280  93.707881 1.333720  95.157313  0   0   95.157313 0.835224   5  
  26  12  2    1   0    0    4   96.489971   0    0  1.283407  97.889357 1.157328  99.172127  0   0   99.172127 0.818092   4  
  27  12  4    1   0    0    6  100.504876   0    0  1.000908 101.637642 0.650351 102.403993  0   0  102.403993 0.601066   3  
  28  13  3    2   0    0    6  103.503519   0    0  1.367659 104.986091 1.310795 106.418824  0   0  106.418824 0.584877   4  
  29  13  3    3   1    0    6  107.501710   0    0  1.451182 109.067596 0.611583 109.800615  0   0  109.800615 1.201265   4  
