%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at chenkeyi (       50.0000000000).2-Jan-2019 12:34:397.374475e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   13   3   0    6      4      2.498749 1.499392   4.514142 0.921508   5.546819 2.452244   6  
   2  1   13   2   0    6      4      8.494935 1.199236  10.210511 1.380112  11.709554 2.285699   6  
   3  4   13   3   0    7      4     14.507777 1.399053  16.423224 0.976782  17.505868 2.502230   6  
   4  3   13   4   0    6      1     20.503967 1.832097  22.852459 0.480800  23.452093 2.552177   6  
   5  4   13   3   0    7      4     26.500146 1.648915  28.665444 0.645182  29.431623 2.568818   6  
   6  1   13   2   0    6      4     32.496344 1.598852  34.611657 0.843896  35.577713 2.418915   6  
   7  1   13   3   0    6      4     38.492523 1.565623  40.574511 0.581022  41.274070 2.718735   6  
   8  3   13   4   0    7      5     44.505360 1.382396  46.404157 0.657015  47.170339 2.835286   6  
   9  3   13   2   0    6      5     50.501554 1.548887  52.566910 0.644622  53.333083 2.668733   6  
  10  2   13   1   0    7      5     56.497746 1.332401  58.346558 0.435498  58.896211 3.101771   6  
  11  2   13   3   0    7      5     62.493925 1.449008  64.459330 0.659802  65.225517 2.768654   6  
  12  3   13   2   0    7      4     68.490113 1.765419  70.771984 0.776790  71.654758 2.335576   6  
  13  2   13   3   0    7      4     74.502955 1.349057  76.368431 0.500561  76.984707 3.018472   6  
  14  1   13   1   1    7      4     80.499141 1.332439  82.347967 0.422193  82.880958 3.118397   6  
  15  1   13   3   0    6      4     86.495323 1.582188  88.593994 0.900044  89.610002 2.385524   6  
  16  1   13   2   0    7      4     92.491520 1.698736  94.706769 0.936464  95.756098 2.235607   6  
  17  2   13   2   1    6      1     98.504347 1.665537 100.686290 0.422238 101.219296 2.785251   6  
  18  3   13   3   1    6      4    104.500541 1.582215 106.599196 0.419228 107.132195 2.868522   6  
  19  1   13   2   0    7      5    110.496717 1.149194 112.162322 1.152928 113.428193 2.568703   6  
  20  1   13   3   0    6      3    116.492904 1.682212 118.691514 1.325672 120.123930 1.869141   6  
  21  4   13   1   0    6      4    122.489097 1.365726 124.371229 0.398049 124.887559 3.101693   6  
  22  4   13   3   0    7      4    128.501934 1.265805 130.284129 0.562880 130.967043 3.035042   6  
  23  4   13   2   0    6      4    134.498119 1.598864 136.613442 0.367153 137.096472 2.901790   6  
  24  3   13   3   1    6      4    140.494308 1.598871 142.609621 0.954834 143.675616 2.318830   6  
  25  3   13   1   0    6      3    146.490486 1.598956 148.605813 0.574934 149.288716 2.701906   6  
  26  3   13   2   0    7      5    152.486683 1.332442 154.335498 1.137173 155.584712 2.402084   6  
  27  4   13   2   0    5      5    158.499526 1.782023 160.798065 0.727565 161.647525 2.352105   6  
  28  2   13   3   0    6      5    164.495714 1.465606 166.477779 1.201503 167.793616 2.202194   6  
