%% MetaTwins_RDMsc_training for 'chenkeyi': starting at _nofeedback (       50.0000000000).2-Jan-2019 11:48:01 for '7.374475e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  25  2    2   1    0    6    2.498419   0    0  2.182478   4.796966 1.198110   6.112782  0   0    6.112782 0.885951   5  
   2  25  4   -1   0    0    3    7.495247   0    0  0.000000  10.010316 0.025687  10.143554  0   0   10.143554 0.852001   4  
   3  25  4    4   1    0    6   11.492693   0    0  1.582733  13.191627 1.093558  14.390859  0   0   14.390859 0.602135   4  
   4  22  3    3   1    0    8   15.506808   0    0  1.249603  16.872606 0.492884  17.472220  0   0   17.472220 0.534875   3  
   5  22  3    2   0    0    5   18.504902   0    0  2.132467  20.753469 1.051760  21.919400  0   0   21.919400 1.085774   5  
   6  22  1    3   0    0    5   23.501718   0    0  1.965968  25.583721 0.546068  26.249973  0   0   26.249973 0.752015   4  
   7  25  2    4   0    0    7   27.499185   0    0  1.965869  29.581185 1.114020  30.813752  0   0   30.813752 1.185684   5  
   8  25  4    4   1    0    6   32.496010   0    0  1.699410  34.311612 0.403329  34.827861  0   0   34.827861 1.168383   4  
   9  25  1    1   1    0    8   36.493462   0    0  1.599511  38.225618 0.524013  38.858625  0   0   38.858625 1.135061   4  
  10  22  2    4   0    0    7   40.490932   0    0  1.283015  41.890033 0.384434  42.389716  0   0   42.389716 0.601412   3  
  11  22  4    4   1    0    8   43.489013   0    0  1.216346  44.821499 0.260191  45.187938  0   0   45.187938 0.801294   3  
  12  22  1    1   1    0    8   46.503788   0    0  1.416206  48.102748 0.240679  48.452526  0   0   48.452526 0.551460   3  
  13  19  2    4   0    0    8   49.501850   0    0  1.516165  51.134145 0.275729  51.517234  0   0   51.517234 1.484846   4  
  14  19  1    1   1    0    8   53.499323   0    0  1.149877  54.831801 0.210335  55.148259  0   0   55.148259 0.851260   3  
  15  19  1    1   1    0    8   56.497422   0    0  1.632756  58.279618 0.327211  58.712655  0   0   58.712655 1.284948   4  
