%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at xutongfei (       50.0000000000).6-Jan-2019 12:55:067.374515e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   9    3   1    7      5      2.498842 1.816822   4.831129 0.511427   5.464171 2.534892   6  
   2  1   9    1   1    7      5      8.496131 1.483315  10.495220 0.522670  11.128259 2.868065   6  
   3  2   9    4   0    7      5     14.493406 1.483079  16.492493 0.382962  16.992277 3.001282   6  
   4  4   9    3   0    7      7     20.490693 2.016180  23.022871 1.773265  24.905361 1.085478   6  
   5  3   9    4   0    7      7     26.487973 1.316414  28.320460 0.289464  28.720288 3.267801   6  
   6  2   9    4   0    7      6     32.501907 1.682967  34.700902 0.358124  35.167368 2.834624   6  
   7  1   9    1   1    7      7     38.499179 1.083170  40.098451 0.375723  40.581568 3.417680   6  
   8  1   9    4   0    7      7     44.513116 1.716177  46.745441 0.293286  47.145264 2.868086   6  
   9  4   9    1   0    7      5     50.510395 1.566108  52.592784 1.035121  53.742274 2.268368   6  
  10  2   9    4   0    6      5     56.507682 1.632973  58.656691 0.713084  59.489665 2.518236   6  
  11  2   9    4   0    7      5     62.504961 1.466147  64.487373 0.420876  65.020489 2.984697   6  
  12  3   9    4   0    7      5     68.502232 1.399626  70.418035 0.168783  70.701250 3.301203   6  
  13  1   9    4   0    7      5     74.499522 1.649663  76.665169 0.806858  77.581450 2.418290   6  
  14  2   9    4   0    7      5     80.496790 1.749432  82.762435 1.088137  83.961902 2.035119   6  
  15  2   9    4   0    7      5     86.510728 1.816387  88.843018 0.796125  89.759261 2.251695   6  
  16  4   9    4   1    7      5     92.508002 1.982706  95.006875 0.398485  95.523304 2.484953   6  
  17  1   9    1   1    7      5     98.505301 1.283003 100.304478 0.632855 101.054130 2.951393   6  
  18  4   9    3   0    7      5    104.502576 1.466213 106.485005 0.742638 107.334617 2.668191   6  
  19  3   9    3   1    7      6    110.499847 1.616064 112.632202 0.362003 113.115330 2.884730   6  
  20  3   9    1   0    7      6    116.497134 1.899484 118.912694 0.847081 119.878927 2.118381   6  
  21  2   9    4   0    7      5    122.494402 2.265965 125.276465 0.448490 125.842896 2.151665   6  
  22  4   9    4   1    7      5    128.491683 1.982685 130.990556 1.516437 132.623148 1.368670   6  
  23  2   9   -1   0    8      3    134.488966 0.000000 137.004511 1.692964 138.803683 1.185387   6  
  24  3   9    3   1   -1      7    140.486253 1.782756 142.785201 0.000000 144.784238 1.202083   6  
  25  1   9    2   0    2      7    146.516826 1.816054 148.849118 0.358866 149.315572 2.701496   6  
  26  1   9    2   0    7      7    152.514128 1.916154 154.946359 0.209228 155.262881 2.751466   6  
  27  4   9    1   0    2      7    158.511412 2.032634 161.060256 0.476046 161.643322 2.368319   6  
  28  3   9    1   0    7      7    164.508668 2.182859 167.207446 0.095427 167.424025 2.584895   6  
  29  1   9    2   0    3      7    170.505969 1.932658 172.954858 1.377012 174.437518 1.568661   6  
  30  4   9   -1   0    1     -1    176.503235 2.499244 179.018802 0.982237 180.118279 1.885193   6  
  31  2   9    2   1    2      7    182.500520 1.449800 184.466299 0.000838 184.582902 3.417848   6  
  32  1   9    3   0    7      8    188.497805 1.732921 190.746778 0.339183 191.196589 2.801433   6  
  33  2   9    3   0    2      6    194.495077 0.000000 197.527041 0.303819 197.943514 2.051799   6  
