%% MetaTwins_RDMsc_training for 'xutongfei': starting at _feedback (       50.0000000000).6-Jan-2019 11:28:52 for '7.374515e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  2    1   0    0   -1    2.498860   0    0  1.683490   4.348032 0.000000   6.347082 0.999583   7.346665   8.346221 0.652862   7  
   2  90  3    3   1    0   -1    9.495695   0    0  1.283321  10.911714 0.000000  12.910769 0.999577  13.910346  14.909906 1.085957   7  
   3  90  4   -1   0    0    4   16.492523   0    0  0.000000  19.008046 0.901161  20.024270 0.999515  21.023785  22.023339 0.969320   7  
   4  90  3    3   1    0    8   23.489340   0    0  1.067118  24.705464 1.982530  26.804506 0.999539  27.804046  28.803593 1.185874   7  
   5  90  1    1   1    0    8   30.486167   0    0  1.067419  31.735591 1.026538  32.868412 0.999543  33.867955  34.867516 1.118725   6  
   6  81  2    2   1    0    8   36.516758   0    0  0.950017  37.632926 0.959972  38.699108 0.999547  39.698656  40.698185 1.318813   6  
   7  81  1    1   1    0    8   42.514052   0    0  1.283281  43.979889 0.469448  44.563120 0.999555  45.562675  46.562211 1.452053   6  
   8  72  2    2   1    0    8   48.511315   0    0  1.166659  49.843949 0.554896  50.510415 0.999548  51.509963  52.509504 0.502280   5  
   9  72  2    2   1    0    8   53.509056   0    0  1.549724  55.224955 0.481640  55.824669 0.999551  56.824220  57.823764 1.185519   6  
  10  64  4    4   1    0    8   59.506338   0    0  1.599767  61.222180 0.707736  62.038505 0.999554  63.038059  64.037623 0.968951   6  
  11  64  1    1   1    0    8   65.503606   0    0  1.000113  66.636436 0.512838  67.269477 0.999546  68.269023  69.268573 0.735265   5  
  12  57  1    1   1    0    8   70.501345   0    0  1.399910  72.033987 0.336772  72.483772 0.999551  73.483323  74.482878 0.518696   5  
  13  57  4    4   1    0    8   75.499083   0    0  2.199572  77.814624 0.470065  78.397759 0.999544  79.397303  80.396862 0.602444   6  
  14  51  2    2   1    0    8   81.496366   0    0  2.349547  83.978424 0.520149  84.611613 0.999536  85.611149  86.610686 1.385900   7  
  15  51  2    2   1    0    8   88.493176   0    0  0.916882  89.542717 0.418288  90.075795 0.999548  91.075343  92.074887 0.918539   5  
  16  45  1    1   1    0    8   93.490920   0    0  0.966661  94.590420 0.414207  95.123504 0.999549  96.123053  97.122598 0.868521   5  
  17  45  2    2   1    0    8   98.505319   0    0  1.383253 100.004625 0.396565 100.521064 0.999528 101.520592 102.520165 1.485318   6  
  18  40  4    4   1    0    8  104.502594   0    0  1.199990 105.818663 0.347931 106.285119 0.999550 107.284668 108.284217 0.718522   5  
  19  40  1    1   1    0    8  109.500326   0    0  1.266730 110.916266 0.506685 111.532715 0.999568 112.532283 113.531817 1.468629   6  
  20  36  2    2   1    0    8  115.497605   0    0  1.266554 116.913622 0.361143 117.380081 0.999533 118.379614 119.379172 0.618531   5  
  21  36  1    1   1    0    8  120.495334   0    0  1.083277 121.711455 0.401808 122.227879 0.999547 123.227425 124.226977 0.768427   5  
  22  32  3    3   1    0    8  125.509724   0    0  1.250017 126.875771 0.240618 127.225608 0.999549 128.225157 129.224710 0.785249   5  
  23  32  4    4   1    0    8  130.507455   0    0  1.133360 131.756893 0.566506 132.439919 0.999538 133.439457 134.439001 0.568686   5  
  24  28  2    2   1    0    8  135.505196   0    0  0.900218 136.521390 0.408753 137.037817 0.999551 138.037368 139.036913 0.968507   5  
  25  28  3    3   1    0    8  140.502914   0    0  1.349910 141.968947 0.319529 142.402056 0.999559 143.401615 144.401153 0.601994   5  
  26  25  3    3   1    0    8  145.500654   0    0  1.633294 147.249869 0.180404 147.549726 0.999546 148.549272 149.548796 1.452091   6  
  27  25  2    2   1    0    8  151.497919   0    0  0.883456 152.564119 0.117756 152.797355 0.999540 153.796895 154.796435 1.201725   5  
  28  22  3    3   1    0    8  156.495681   0    0  1.016589 157.628494 0.218771 157.961673 0.999546 158.961219 159.960766 1.035128   5  
  29  22  4    4   1    0    8  161.510058   0    0  0.983492 162.609559 0.171808 162.892766 0.999537 163.892303 164.891863 1.118426   5  
  30  19  3    3   1    0    8  166.507789   0    0  0.816840 167.440711 0.095136 167.657269 0.999540 168.656809 169.656356 1.351669   5  
  31  19  1    4   0    0    8  171.505532   0    0  2.482724 174.120828 0.422289 174.654098 0.999544 175.653642 176.653191 1.352588   7  
  32  19  3    3   1    0    7  178.502337   0    0  1.283713 179.901599 0.334983 180.351513 0.999540 181.351054 182.350601 0.651973   5  
  33  19  1    1   1    0    8  183.500080   0    0  1.099975 184.716210 0.688861 185.515844 0.999543 186.515387 187.514918 1.485359   6  
  34  17  3    3   1    0    8  189.497370   0    0  1.116722 190.746795 0.636232 191.496450 0.999550 192.496000 193.495554 0.501992   5  
  35  17  4    4   1    0    8  194.495101   0    0  1.134152 195.744537 0.164485 196.027732 0.999546 197.027278 198.026827 0.968423   5  
  36  15  3    3   1    0    8  199.492834   0    0  2.016285 201.625189 0.622918 202.358192 0.999553 203.357746 204.357289 0.635660   6  
  37  15  1    1   1    0    8  205.490122   0    0  1.449741 207.056067 0.342568 207.505858 0.999555 208.505413 209.504954 1.485238   6  
  38  14  1    1   1    0    8  211.487388   0    0  1.316561 212.936621 0.524139 213.569783 0.999539 214.569321 215.568858 1.418582   6  
  39  14  4    4   1    0    8  217.501313   0    0  1.699920 219.317183 0.498479 219.933541 0.999552 220.933093 221.932653 1.068899   6  
  40  13  2    4   0    0    8  223.515272   0    0  1.932965 225.564323 0.512196 226.197381 0.999543 227.196924 228.196479 0.819011   6  
  41  13  4    2   0    0    8  229.512532   0    0  1.583067 231.278361 0.444159 231.828156 0.999543 232.827699 233.827251 1.185513   6  
  42  14  4    4   1    0    8  235.509830   0    0  1.932853 237.558901 0.658472 238.325213 0.999551 239.324764 240.324306 0.685749   6  
  43  14  4    4   1    0    8  241.507101   0    0  2.166221 243.789366 0.813692 244.722299 0.999555 245.721854 246.721399 1.285936   7  
  44  13  2    4   0    0    7  248.503922   0    0  1.782935 250.403068 0.571739 251.086102 0.999529 252.085631 253.085170 0.918993   6  
  45  13  1    4   0    0    8  254.501195   0    0  2.082966 256.700203 0.457757 257.266619 0.999542 258.266160 259.265717 0.735715   6  
  46  14  1    2   0    0    6  260.498481   0    0  1.633228 262.281022 0.425729 262.814098 0.999555 263.813652 264.813193 1.185529   6  
  47  14  4    4   1    0    8  266.495758   0    0  1.116879 267.728534 0.654527 268.494866 0.999538 269.494404 270.493959 0.502031   5  
  48  14  3    4   0    0    8  271.493492   0    0  2.149533 273.759141 0.431431 274.308893 0.999524 275.308417 276.307975 0.685709   6  
  49  14  3    3   1    0    6  277.490769   0    0  2.332893 279.956245 0.495561 280.556062 0.999537 281.555599 282.555141 1.435819   7  
  50  14  3    1   0    0    8  284.504271   0    0  2.399319 287.053121 0.617504 287.786115 0.999537 288.785652 289.785193 1.219210   7  
  51  14  4    2   0    0    8  291.501083   0    0  2.182969 293.849942 0.509017 294.466417 0.999531 295.465948 296.465509 0.535670   6  
  52  15  2    3   0    0    8  297.498368   0    0  2.216211 299.880615 0.232732 300.230456 0.999546 301.230002 302.229552 0.768893   6  
  53  15  2    4   0    0    8  303.512313   0    0  2.182841 305.811148 0.582346 306.510954 0.999526 307.510480 308.510043 0.502502   6  
  54  16  3    4   0    0   -1  309.509583   0    0  2.432656 312.058394 0.000000 314.057486 0.999568 315.057054 316.056604 0.953208   8  
  55  16  4    4   1    0    8  317.505952   0    0  1.449976 319.071905 0.946339 320.138102 0.999541 321.137643 322.137185 0.869000   6  
  56  16  2    2   1    0    1  323.503243   0    0  2.349447 326.018763 1.334895 327.468110 0.999532 328.467642 329.467190 0.536281   7  
  57  14  3   -1   0    0    4  330.500059   0    0  0.000000 333.015604 0.124229 333.248806 0.999544 334.248351 335.247908 0.752371   6  
  58  14  1   -1   0    0    3  336.497336   0    0  0.000000 339.012886 0.095781 339.212776 0.999542 340.212319 341.211872 0.785701   6  
  59  14  4    2   0    0    8  342.494625   0    0  1.999637 344.643657 0.925070 345.676516 0.999540 346.676056 347.675615 1.319239   7  
  60  14  1    1   1    0    2  349.508110   0    0  2.432628 352.056936 1.695760 353.872784 0.999566 354.872350 355.871884 1.136445   8  
]; % This session completes at 26-Jan-2019 11:35:11, 359.006s after session start, 355s on 60 trials, totally 378.979s, correctness is 71.667%.

