%% MetaTwins_RDMsc_training for 'xutongfei': starting at _nofeedback (       50.0000000000).6-Jan-2019 12:12:16 for '7.374515e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  16  1    3   0    0    2    2.498897   0    0  1.916361   4.531281 0.943964   5.580830  0   0    5.580830 1.418282   5  
   2  16  4    4   1    0    8    7.496635   0    0  0.984051   8.596127 0.261177   8.962623  0   0    8.962623 1.034230   3  
   3  16  4    2   0    0    8   10.495265   0    0  1.766294  12.444382 0.108079  12.660961  0   0   12.660961 1.334532   4  
   4  16  2    1   0    0    6   14.510119   0    0  1.766508  16.392593 0.920841  17.425476  0   0   17.425476 0.584857   4  
   5  18  2    2   1    0    7   18.508301   0    0  1.766522  20.390782 0.038025  20.540714  0   0   20.540714 1.467805   4  
   6  18  3    3   1    0    8   22.506486   0    0  1.982900  24.605535 0.442294  25.155286  0   0   25.155286 0.851434   4  
   7  16  3    3   1    0    8   26.504675   0    0  2.466292  29.086834 0.257623  29.453341  0   0   29.453341 0.551554   4  
   8  16  4    1   0    0    2   30.502856   0    0  2.149561  32.768505 0.467495  33.351569  0   0   33.351569 0.651511   4  
   9  16  4    3   0    0    8   34.501054   0    0  1.866442  36.483484 0.184686  36.783347  0   0   36.783347 1.217927   4  
  10  18  3    3   1    0    7   38.515878   0    0  1.982871  40.614921 0.156915  40.881489  0   0   40.881489 1.134612   4  
  11  18  1    1   1    0    8   42.497420   0    0  2.399313  45.012949 0.139000  45.262828  0   0   45.262828 0.734649   4  
  12  16  1   -1   0    0   -1   46.495609   0    0  0.000000  49.011137 0.000000  51.010179  0   0   51.010179 0.985496   6  
  13  16  4    4   1    0    8   52.492880   0    0  1.933038  54.541958 0.277195  54.925099  0   0   54.925099 1.067914   4  
  14  16  2    2   1    0    8   56.491060   0    0  1.483079  58.090345 0.062866  58.273585  0   0   58.273585 0.717624   3  
  15  14  1    1   1    0    8   59.489699   0    0  2.482737  62.088539 0.283941  62.488356  0   0   62.488356 0.501517   4  
  16  14  1    2   0    0    7   63.504556   0    0  1.549655  65.170457 0.234347  65.520317  0   0   65.520317 1.484418   4  
  17  14  2    1   0    0    2   67.502746   0    0  1.883062  69.501833 0.337791  69.951627  0   0   69.951627 1.051332   4  
  18  15  3    3   1    0    7   71.500921   0    0  1.816348  73.433373 0.181320  73.733237  0   0   73.733237 1.267918   4  
  19  15  2    2   1    0    7   75.499119   0    0  2.133466  77.748059 0.374091  78.231199  0   0   78.231199 0.768143   4  
  20  14  1    1   1    0    2   79.497280   0    0  2.283018  81.896212 0.195947  82.212736  0   0   82.212736 0.784798   4  
  21  14  1    3   0    0    7   83.495467   0    0  1.616497  85.228027 0.203672  85.544554  0   0   85.544554 1.451155   4  
  22  14  3    2   0    0    6   87.510322   0    0  2.232825  89.875917 0.325401  90.309062  0   0   90.309062 0.701495   4  
  23  15  3    1   0    0    7   91.508510   0    0  2.416410  94.040693 0.192899  94.340573  0   0   94.340573 0.668159   4  
  24  15  1   -1   0    0    2   95.506692   0    0  0.000000  98.022236 0.149574  98.288767  0   0   98.288767 0.718167   4  
  25  15  4    2   0    0    7   99.504883   0    0  2.316118 101.937123 0.256705 102.303623  0   0  102.303623 0.701487   4  
  26  16  3    2   0    0    7  103.503071   0    0  1.966232 105.585477 0.289821 105.985278  0   0  105.985278 1.018023   4  
  27  16  3    1   0    0    2  107.501252   0    0  1.916250 109.550327 0.728045 110.383287  0   0  110.383287 0.618192   4  
  28  18  2    2   1    0    7  111.499454   0    0  1.200102 112.815512 0.039397 112.965441  0   0  112.965441 1.034065   3  
  29  18  1    1   1    0    7  114.498086   0    0  2.232893 116.847023 0.230299 117.196853  0   0  117.196853 0.801321   4  
  30  16  1   -1   0    0    3  118.496275   0    0  0.000000 121.011807 0.111619 121.228354  0   0  121.228354 0.768029   4  
  31  16  1    1   1    0    7  122.494462   0    0  1.849639 124.460240 0.014547 124.593505  0   0  124.593505 1.401105   4  
  32  16  4    3   0    0    2  126.492646   0    0  1.699796 128.308493 0.756266 129.174764  0   0  129.174764 0.818047   4  
  33  16  4    4   1    0    2  130.490828   0    0  2.199519 132.806449 0.678175 133.606074  0   0  133.606074 1.384954   5  
  34  16  3    1   0    0    2  135.505225   0    0  2.182765 137.820844 0.165370 138.104030  0   0  138.104030 0.901404   4  
  35  16  2    2   1    0    7  139.503403   0    0  1.716514 141.352577 0.065271 141.535810  0   0  141.535810 1.467830   4  
  36  16  4    4   1    0    7  143.501603   0    0  1.100156 144.734369 0.083141 144.934282  0   0  144.934282 1.067540   3  
