%% MetaTwins_RDMsc_training for 'xutongxiang': starting at _feedback (       50.0000000000).6-Jan-2019 11:31:52 for '7.374515e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  18  3    3   1    0    5    2.498455   0    0  1.216568   3.880940 0.191607   4.180739 0.999358   5.180097   6.179463 0.819323   5  
   2  18  3    3   1    0    6    7.495296   0    0  1.532771   9.210877 0.341439   9.660587 0.999338  10.659925  11.659293 1.336308   6  
   3  16  1    3   0    0    5   13.491484   0    0  1.782673  15.440242 1.064989  16.622816 0.999369  17.622185  18.621541 1.370227   7  
   4  16  4    3   0    0    5   20.503679   0    0  1.599455  22.252581 0.238759  22.602348 0.999355  23.601702  24.601069 1.402910   6  
   5  18  1    3   0    0    5   26.499856   0    0  1.799290  28.498599 1.469242  30.080929 0.999356  31.080285  32.079644 0.920499   7  
   6  18  1    3   0    0    5   33.495408   0    0  2.498898  36.160397 0.955661  37.226377 0.999368  38.225745  39.225094 0.770591   7  
   7  20  3    3   1    0    6   40.490973   0    0  1.899333  42.589640 0.660463  43.355820 0.999346  44.355166  45.354531 0.636691   6  
   8  20  2    2   1    0    5   46.503819   0    0  2.382361  49.068782 0.953617  50.134828 0.999356  51.134184  52.133557 0.870504   7  
   9  18  2    2   1    0    5   53.499363   0    0  2.115822  55.847865 1.647663  57.613420 0.999354  58.612774  59.612143 1.387467   8  
  10  18  1    2   0    0    6   61.494284   0    0  2.082539  63.742709 1.793549  65.658276 0.999372  66.657648  67.657008 1.337479   8  
  11  18  3    3   1    0    7   69.489183   0    0  1.582771  71.188105 0.840710  72.137511 0.999358  73.136869  74.136223 0.853200   6  
  12  18  1    3   0    0    5   75.502030   0    0  2.099068  77.800578 1.078809  78.999796 0.999366  79.999162  80.998539 1.003726   7  
  13  18  2    3   0    0    5   82.497584   0    0  2.215741  84.929380 1.164969  86.211880 0.999364  87.211244  88.210610 0.787192   7  
  14  20  4    3   0    0    5   89.493128   0    0  2.133112  91.824990 1.259097  93.190783 0.999371  94.190155  95.189499 0.803850   7  
  15  20  3    3   1    0    7   96.488683   0    0  0.933249  97.604647 0.350560  98.071004 0.999366  99.070370 100.069732 0.919152   5  
  16  20  1    1   1    0    8  101.502178   0    0  0.833310 102.484879 0.263509 102.867949 0.999368 103.867317 104.866675 1.135691   5  
  17  18  1    3   0    0    5  106.498986   0    0  1.982553 108.697591 1.011616 109.830195 0.999357 110.829552 111.828928 1.170251   7  
  18  18  2    3   0    0    8  113.494508   0    0  1.266353 114.960261 0.326689 115.393354 0.999338 116.392692 117.392057 0.602663   5  
  19  20  4    3   0    0    5  118.491347   0    0  2.498848 121.172994 0.771079 122.055760 0.999351 123.055111 124.054480 0.937056   7  
  20  20  3    4   0    0    5  125.503551   0    0  2.282373 127.918694 1.098354 129.134584 0.999349 130.133933 131.133313 0.870414   7  
  21  22  4    4   1    0    6  132.499102   0    0  2.032561 134.680964 0.592623 135.380620 0.999349 136.379969 137.379337 0.619931   6  
  22  22  4    2   0    0    6  138.495282   0    0  1.549351 140.227528 1.670381 142.009733 0.999346 143.009079 144.008455 0.986988   7  
  23  22  1    1   1    0    8  145.490842   0    0  0.799986 146.423581 0.221002 146.756711 0.999354 147.756065 148.755426 1.235557   5  
  24  22  2    2   1    0    8  150.487674   0    0  1.166384 151.820057 0.260805 152.186587 0.999349 153.185936 154.185319 0.802489   5  
  25  19  4    4   1    0    8  155.501144   0    0  1.149883 156.816982 0.083878 157.016848 0.999348 158.016195 159.015578 0.985692   5  
  26  19  1    1   1    0    8  160.497971   0    0  0.616784 161.264154 0.113792 161.497319 0.999376 162.496696 163.496061 0.502024   4  
  27  17  4    4   1    0    8  164.495425   0    0  1.083864 165.694664 0.135385 165.944491 0.999375 166.943866 167.943220 1.052311   5  
  28  17  2    2   1    0    8  169.492258   0    0  1.582781 171.207824 0.519806 171.840751 0.999351 172.840102 173.839477 1.152873   6  
  29  15  3    4   0    0    8  175.488434   0    0  0.849967 176.471020 0.236570 176.820920 0.999352 177.820272 178.819652 1.168883   5  
  30  15  3    3   1    0    6  180.501906   0    0  1.332956 181.967653 0.624347 182.700507 0.999360 183.699867 184.699236 1.302997   6  
  31  15  2    3   0    0    6  186.514743   0    0  0.816650 187.480758 1.545787 189.146416 0.999369 190.145785 191.145128 0.869939   6  
  32  15  2    3   0    0    5  192.510930   0    0  1.815916 194.493014 1.526079 196.125309 0.999354 197.124663 198.124026 0.887243   7  
  33  16  1    1   1    0    6  199.506488   0    0  1.382924 201.072169 0.546295 201.738400 0.999360 202.737760 203.737115 1.269696   6  
  34  16  3    3   1    0    6  205.502663   0    0  0.983191 206.651948 0.063581 206.835161 0.999347 207.834508 208.833880 1.169107   5  
  35  14  1    1   1    0    6  210.516154   0    0  0.716612 211.398939 0.434050 211.948575 0.999357 212.947932 213.947306 1.069161   5  
  36  14  2    2   1    0    7  215.512967   0    0  0.683369 216.329120 0.226210 216.662237 0.999371 217.661608 218.660951 1.352344   5  
  37  13  4    4   1    0    6  220.509788   0    0  2.315678 222.974897 0.222298 223.308007 0.999363 224.307370 225.306740 0.703369   6  
  38  13  4    4   1    0    6  226.505976   0    0  1.432920 228.104962 1.068973 229.287539 0.999356 230.286895 231.286264 0.720041   6  
  39  12  1    4   0    0    8  232.502162   0    0  1.016717 233.651236 0.097473 233.867963 0.999364 234.867327 235.866690 1.135796   5  
  40  12  3    4   0    0    8  237.515642   0    0  1.666013 239.297827 0.048701 239.464398 0.999385 240.463783 241.463123 0.552840   5  
  41  13  1    4   0    0    8  242.512457   0    0  1.899281 244.527850 0.202642 244.844309 0.999355 245.843664 246.843033 1.169759   6  
  42  13  1    4   0    0    8  248.508636   0    0  0.783196 249.408084 0.040232 249.557978 0.999362 250.557340 251.556687 1.452287   5  
  43  14  4    4   1    0    8  253.505470   0    0  0.733256 254.388250 0.000444 254.504833 0.999373 255.504206 256.503565 0.502229   4  
  44  14  3    4   0    0    3  257.502921   0    0  0.967571 258.635555 0.526696 259.268485 0.999350 260.267836 261.267201 0.736042   5  
  45  14  2    2   1    0    6  262.499755   0    0  2.299473 264.981522 0.425279 265.514498 0.999362 266.513860 267.513225 1.486844   7  
  46  14  4    4   1    0    8  269.511958   0    0  0.966433 270.611264 0.145698 270.877762 0.999351 271.877112 272.876479 1.135800   5  
  47  13  2    2   1    0    6  274.508779   0    0  2.199005 276.823978 0.497043 277.440245 0.999353 278.439599 279.438971 0.570121   6  
  48  13  2    3   0    0    6  280.504956   0    0  1.715888 282.387112 0.040024 282.537001 0.999375 283.536376 284.535734 1.469550   6  
  49  13  4    4   1    0    7  286.501148   0    0  1.516889 288.166704 0.502119 288.783032 0.999362 289.782394 290.781758 1.219704   6  
  50  13  3    3   1    0    5  292.514001   0    0  2.482265 295.162314 0.122496 295.395495 0.999363 296.394858 297.394214 0.620106   6  
  51  12  2    4   0    0    5  298.510182   0    0  2.298751 300.941972 0.221257 301.275085 0.999350 302.274435 303.273804 0.736693   6  
  52  12  3    3   1    0    6  304.506361   0    0  1.999157 306.688214 0.091031 306.888187 0.999363 307.887550 308.886907 1.119770   6  
  53  12  1    1   1    0    6  310.502534   0    0  1.016480 311.685142 0.198971 312.001597 0.999375 313.000972 314.000316 1.002557   5  
  54  11  4    4   1    0    6  315.499372   0    0  0.949864 316.615346 0.046706 316.781883 0.999364 317.781247 318.780611 1.219082   5  
  55  11  3    2   0    0    6  320.512841   0    0  1.399447 322.045214 0.272698 322.428298 0.999367 323.427665 324.427027 0.586160   5  
  56  11  4    4   1    0    6  325.509656   0    0  1.682736 327.308344 0.108535 327.525053 0.999367 328.524420 329.523783 1.486207   6  
  57  11  2    1   0    0    6  331.505855   0    0  1.201094 332.838166 0.171870 333.121493 0.999375 334.120868 335.120217 0.885964   5  
  58  11  3    4   0    0    5  336.502675   0    0  2.198964 338.884328 0.234807 339.234271 0.999358 340.233629 341.232995 0.770002   6  
  59  12  2    1   0    0    6  342.498856   0    0  1.266348 343.931251 0.299728 344.347684 0.999358 345.347042 346.346425 0.652764   5  
  60  12  4    4   1    0    6  347.495694   0    0  1.532791 349.177953 0.071308 349.361169 0.999361 350.360530 351.359906 0.636110   5  
]; % This session completes at 26-Jan-2019 11:37:57, 354.003s after session start, 350s on 60 trials, totally 364.699s, correctness is 55.000%.

