%% MetaTwins_RDMsc_training for 'xutongxiang': starting at _nofeedback (       50.0000000000).6-Jan-2019 11:46:57 for '7.374515e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  11  2    2   1    0    1    2.498405   0    0  1.849367   4.563585 1.044793   5.729691  0   0    5.729691 1.269028   5  
   2  11  1    2   0    0    5    7.495222   0    0  1.865927   9.527273 0.120384   9.760443  0   0    9.760443 1.235106   4  
   3  11  1    2   0    0    6   11.492683   0    0  2.032523  13.707955 0.291257  14.107686  0   0   14.107686 0.885309   4  
   4  12  4    4   1    0    6   15.506793   0    0  0.983168  16.622600 0.300571  17.039164  0   0   17.039164 0.967958   3  
   5  12  1    1   1    0    8   18.504869   0    0  1.199693  19.837379 0.160320  20.103871  0   0   20.103871 0.901340   3  
   6  11  1    2   0    0    6   21.502979   0    0  2.249808  23.934788 0.000490  24.051357  0   0   24.051357 0.951960   4  
   7  11  4    4   1    0    7   25.500446   0    0  1.366236  27.032799 0.000609  27.149403  0   0   27.149403 0.851356   3  
   8  11  2    1   0    0    5   28.498535   0    0  2.182462  30.880283 0.184967  31.180156  0   0   31.180156 0.818714   4  
   9  11  3    2   0    0    6   32.496002   0    0  2.232335  34.844433 0.072619  35.027715  0   0   35.027715 0.968607   4  
  10  12  1    4   0    0    5   36.493448   0    0  1.749250  38.425564 0.126402  38.658752  0   0   38.658752 1.335028   4  
  11  12  3    3   1    0    6   40.507556   0    0  2.399120  43.055938 0.253768  43.422436  0   0   43.422436 0.585462   4  
  12  12  4    4   1    0    5   44.505027   0    0  2.165602  46.870183 0.036541  47.020083  0   0   47.020083 0.985259   4  
  13  11  3    3   1    0    7   48.502535   0    0  1.349512  50.001534 0.290997  50.401278  0   0   50.401278 0.601528   3  
  14  11  2    4   0    0    5   51.500561   0    0  2.382298  54.032105 0.329311  54.481998  0   0   54.481998 0.518901   4  
  15  11  1    2   0    0    6   55.498019   0    0  2.315481  58.013090 0.224938  58.346225  0   0   58.346225 0.652126   4  
  16  12  3    3   1    0    7   59.495484   0    0  1.282942  60.927902 0.082269  61.127774  0   0   61.127774 0.868040   3  
  17  12  3    3   1    0    7   62.493582   0    0  2.082448  64.742160 0.419521  65.275146  0   0   65.275146 0.718757   4  
  18  11  4    4   1    0    6   66.507694   0    0  2.032592  68.706246 0.546449  69.372536  0   0   69.372536 0.635479   4  
  19  11  1   -1   0    0    3   70.505141   0    0  0.000000  73.020232 0.122929  73.253401  0   0   73.253401 0.752160   4  
  20  11  3    3   1    0    6   74.502602   0    0  1.716095  76.368092 0.121172  76.601257  0   0   76.601257 1.401676   4  
  21  10  4    4   1    0    7   78.500068   0    0  1.266388  79.915647 0.256108  80.282264  0   0   80.282264 0.718129   3  
  22  10  1    2   0    0    7   81.498160   0    0  1.566089  83.247042 0.191689  83.546857  0   0   83.546857 1.451625   4  
  23  10  2    4   0    0    7   85.495608   0    0  2.065617  87.727522 0.124500  87.960722  0   0   87.960722 1.035214   4  
  24  11  4    4   1    0    7   89.509720   0    0  2.365493  92.041340 0.175317  92.324609  0   0   92.324609 0.685441   4  
  25  11  3    3   1    0    7   93.507184   0    0  2.132401  95.805729 0.123044  96.038910  0   0   96.038910 0.968594   4  
