%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhangxiaolin (       50.0000000000).6-Jan-2019 12:35:187.374515e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   14   2   1    4      7      2.499036 1.283431   4.298228 1.745263   6.180705 1.818562   6  
   2  3   14   1   0    1      7      8.496304 1.566040  10.578707 0.709616  11.411655 2.584871   6  
   3  3   14   3   1    2      6     14.493602 1.800275  16.809214 0.668475  17.608856 2.384979   6  
   4  3   14   3   1    3      6     20.490887 1.782854  22.789833 0.941024  23.839355 2.151683   6  
   5  4   14   4   1    7      6     26.504823 1.150855  28.170731 1.659969  29.953306 2.051741   6  
   6  2   14   1   0   -1      7     32.502083 1.699569  34.717754 0.000000  36.417011 1.585219   6  
   7  1   14   3   0    3      2     38.499372 1.966502  40.981578 0.704908  41.814544 2.185069   6  
   8  1   14   1   1    3      7     44.496648 1.949511  46.962194 0.945937  48.028374 1.968384   6  
   9  2   14   3   0    7      6     50.493938 1.366607  52.376419 1.166594  53.659166 2.334982   6  
  10  3   14   3   1    4      7     56.491210 1.482968  58.490318 1.928973  60.539373 1.451893   6  
  11  1   14   1   1    5      6     62.488500 1.567067  64.570889 1.078246  65.770333 2.218354   6  
  12  1   14   1   1    5      7     68.502423 1.632943  70.651441 1.294805  72.067476 1.935172   6  
  13  3   14   3   1    5      7     74.516375 1.683323  76.715381 1.487658  78.331299 1.685321   6  
  14  4   14   1   0    6      6     80.513641 1.599613  82.629342 1.424841  84.178639 1.835220   6  
  15  4   14   4   1   -1      6     86.510924 1.450052  88.476704 0.000000  90.475723 1.535437   6  
  16  3   14   1   0    3      7     92.508191 1.682931  94.707204 0.327717  95.157005 2.851421   6  
  17  2   14   2   1    4      7     98.505479 1.383380 100.404627 1.447350 101.970584 2.035147   6  
  18  4   14   4   1    5      7    104.502746 1.849514 106.868350 1.074490 108.067801 1.935181   6  
  19  3   14  -1   0    1      1    110.500094 2.216283 112.732357 0.299935 113.148844 2.851447   6  
  20  2   14   2   1    6      6    116.497324 1.682906 118.696318 1.028319 119.845791 2.151749   6  
  21  1   14   1   1    6      2    122.511260 1.566882 124.593645 0.891914 125.609854 2.401634   6  
  22  3   14   3   1    1      7    128.508528 1.616312 130.640904 1.238888 132.006946 2.001807   6  
  23  1   14   1   1    6      2    134.505823 2.033234 137.054659 1.053726 138.237461 1.768574   6  
  24  2   14   2   1    6      6    140.503080 2.049292 143.068593 1.029292 144.218061 1.785261   6  
  25  2   14   3   0    6      2    146.500381 1.883466 148.899286 1.070660 150.082081 1.918513   6  
  26  1   14   1   1    3      7    152.497640 1.666077 154.679988 1.064561 155.862808 2.135071   6  
  27  3   14   2   0    3      7    158.494987 1.866381 160.877186 1.219749 162.209911 1.785257   6  
  28  1   14   1   1    6      6    164.492210 1.899560 166.907773 1.463548 168.490390 1.502012   6  
  29  4   14   2   0    6      7    170.506164 2.116709 173.138298 0.867632 174.121186 1.885198   6  
  30  1   14   1   1    2      3    176.503416 2.082646 179.102264 1.328013 180.551584 1.452013   6  
  31  2   14   2   1    6      6    182.500708 1.866550 184.882968 0.785718 185.799210 2.201726   6  
  32  4   14   3   0    8      7    188.497973 1.616286 190.630351 0.764523 191.513281 2.484838   6  
  33  1   14   3   0    3      7    194.495269 1.849962 196.860871 0.999691 197.977029 2.018472   6  
  34  4   14   3   0    7      4    200.492539 2.032756 203.041386 0.776996 203.940970 2.051674   6  
  35  1   14  -1   0    1      1    206.489838 2.216310 208.722137 0.637749 209.488457 2.501591   6  
  36  2   14   1   0   -1      2    212.487095 1.666104 214.669445 0.000000 215.619009 2.368156   6  
  37  1   14   2   0    5      3    218.501054 1.949841 220.966592 1.453437 222.549199 1.452027   6  
  38  1   14   1   1   -1      7    224.514909 1.432996 226.464126 0.000000 227.680206 2.334970   6  
  39  1   14   3   0    1      2    230.512245 1.533056 232.561314 0.683497 233.360971 2.651505   6  
  40  2   14   2   1    6      6    236.509541 1.733097 238.758524 1.148828 240.024618 1.985160   6  
  41  2   14   2   1    4      7    242.506804 1.116563 244.139408 1.392495 245.655383 2.351650   6  
  42  1   14   1   1    7      7    248.504095 1.683572 250.703095 1.293689 252.119123 1.885205   6  
  43  3   14   3   1    8      7    254.501348 1.016591 256.034008 0.857662 257.016894 2.984703   6  
  44  4   14   4   1    7      7    260.498653 1.116493 262.131240 0.627263 262.880927 3.117954   6  
  45  1   14   4   0    3      7    266.512603 1.949735 268.978134 1.358246 270.460797 1.552024   6  
  46  3   14   3   1    5      7    272.509863 1.533120 274.558959 0.546861 275.225293 2.784797   6  
  47  2   14   4   0    6      7    278.507148 1.816805 280.839428 0.783786 281.739020 2.268362   6  
