%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at yangfeng (       50.0000000000).6-Jan-2019 17:42:167.374517e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   11   2   0    7      3      2.498863 1.816255   4.831139 0.585668   5.530823 2.468267   6  
   2  4   11   4   1    1      4      8.496150 2.066025  11.078298 1.488682  12.677594 1.318737   6  
   3  1   11   4   0    6      4     14.493423 2.099219  17.108914 0.232565  17.458743 2.534849   6  
   4  2   11   1   0    5      6     20.490703 1.949502  22.956245 1.306189  24.372286 1.618557   6  
   5  4   11   1   0    3      3     26.487995 2.299186  29.303370 1.137974  30.552811 1.435289   6  
   6  1   11   3   0    7      3     32.501929 2.432517  35.450587 1.716042  37.283090 0.718917   6  
   7  2   11  -1   0    5      4     38.515852 2.499151  41.031425 0.751375  41.897653 2.118446   6  
   8  3   11   3   1    5      3     44.513143 2.149266  47.178592 1.528664  48.827844 1.185528   6  
   9  1   11   2   0    4      6     50.510423 2.265963  53.292489 1.346544  54.758484 1.252155   6  
  10  4   11   3   0    6      3     56.507703 2.282635  59.306428 0.535421  59.956136 2.051790   6  
  11  2   11   3   0    3      3     62.504977 2.332587  65.353678 1.596986  67.069569 0.935641   6  
  12  2   11   1   0    5      3     68.502247 2.199260  71.217689 1.757074  73.083508 0.918969   6  
  13  2   11   4   0    6      6     74.499528 2.165905  77.181651 0.423732  77.714746 2.285020   6  
  14  2   11   4   0    6      5     80.496821 1.949262  82.962355 1.375113  84.445030 1.552008   6  
  15  1   11   3   0    6      5     86.494085 1.982836  88.992961 1.505979  90.608897 1.385427   6  
  16  4   11   4   1    3      5     92.508037 1.816115  94.840319 1.009659  95.956464 2.051798   6  
  17  3   11   3   1    6      5     98.505393 2.199204 101.220749 1.453399 102.786709 1.218817   6  
  18  3   11   4   0    3      4    104.502601 1.849439 106.868178 1.066322 108.050974 1.951800   6  
  19  1   11   4   0    6      5    110.499870 2.265932 113.281945 0.575219 113.964961 2.035063   6  
  20  3   11   1   0    5      4    116.497148 2.332391 119.345864 0.997614 120.462025 1.535269   6  
  21  4   11   4   1    2      6    122.494422 1.666040 124.676781 0.265919 125.059925 2.934606   6  
  22  2   11   4   0    2      3    128.491718 2.265956 131.273778 1.192868 132.573193 1.418580   6  
  23  3   11   2   0    5      3    134.505652 2.399027 137.420995 1.987114 139.520047 0.485827   6  
  24  4   11  -1   0    5      2    140.502925 2.499220 143.018483 0.741268 143.868070 2.135081   6  
  25  3   11   2   0   -1      3    146.500214 1.749389 148.765836 0.000000 150.764879 1.235548   6  
  26  4   11   4   1   -1      4    152.514153 2.032699 155.062986 0.000000 157.062037 0.952331   6  
  27  2   11   3   0    6      3    158.511413 2.332552 161.360133 0.583355 162.059815 1.951839   6  
  28  2   11   2   1    2      5    164.508703 1.766224 166.791004 0.119893 167.024221 2.984714   6  
  29  2   11   2   1    6      5    170.505989 1.649574 172.671660 0.438273 173.221412 2.784800   6  
  30  3   11   4   0    4      3    176.503262 2.315812 179.335308 1.050550 180.501448 1.502051   6  
  31  1   11   1   1    6      6    182.500535 1.816076 184.832808 1.018643 185.965630 2.035151   6  
  32  1   11   2   0    6      5    188.497822 2.132528 191.146614 0.041270 191.296546 2.701507   6  
  33  2   11   2   1    5      3    194.495101 2.382517 197.393776 0.492158 197.993514 2.001783   6  
