%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at yangfeng (       50.0000000000).6-Jan-2019 17:31:527.374517e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   11   2   0    8    2.498826 2.199596   4.814448 0.089846   5.014357 2.984699   6  
   2  3   11   2   0    2    8.496114 2.249623  10.861708 0.274389  11.244860 2.751471   6  
   3  1   11   1   1    8   14.493380 2.332949  16.942276 0.033586  17.092212 2.901393   6  
   4  3   11   3   1    8   20.507318 1.316965  21.940002 0.000825  22.056627 3.950926   6  
   5  2   11   2   1    7   26.504602 2.232914  28.853544 0.010365  28.970157 3.034667   6  
   6  3   11   1   0    1   32.501890 2.332762  34.950779 0.070493  35.134025 2.868079   6  
   7  2   11   2   1    6   38.499159 1.483308  40.098433 0.338615  40.548238 3.451150   6  
   8  4   11   2   0    5   44.496448 1.466529  46.079062 0.283040  46.478875 3.517781   6  
   9  2   11   2   1    3   50.493721 1.982993  52.609429 0.472338  53.192499 2.801449   6  
  10  3   11   3   1    5   56.507666 2.016618  58.640018 0.087388  58.839929 3.167947   6  
  11  1   11   1   1    5   62.504935 1.350042  63.970945 0.035363  64.120881 3.884279   6  
  12  2   11   2   1    7   68.502216 1.133406  69.751663 0.149860  70.018196 3.984235   6  
  13  4   11   4   1    6   74.499495 2.216087  76.848431 0.077212  77.031686 2.968030   6  
  14  1   11  -1   0    2   80.496783 0.000000  83.012316 0.003608  83.128919 2.868069   6  
  15  1   11   1   1    7   86.494062 1.266899  87.893427 0.000719  88.010037 3.984235   6  
  16  3   11   2   0    7   92.491332 1.533183  94.140592 0.147269  94.407136 3.584407   6  
  17  4   11   4   1    7   98.505266 2.116277 100.737591 0.063733 100.920845 3.084639   6  
  18  3   11   3   1    6  104.502550 2.432854 107.051397 0.033125 107.201326 2.801438   6  
  19  2   11   2   1    6  110.499848 2.366088 112.982030 0.038643 113.131980 2.868065   6  
  20  2   11   2   1    7  116.497112 1.933061 118.546136 0.051078 118.712778 3.284557   6  
  21  4   11   4   1    4  122.494387 1.633165 124.243603 0.043735 124.393536 3.601057   6  
