%% MetaTwins_RDMsc_training for 'yangfeng': starting at _feedback (       50.0000000000).6-Jan-2019 17:04:29 for '7.374517e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1   8  3    3   1    0    7    2.498982   0    0  1.999687   4.614686 0.097261   4.831262 0.999549   5.830811   6.830355 1.168849   6  
   2   8  1    2   0    0    8    8.496262   0    0  1.466566  10.078879 0.032347  10.228814 0.999556  11.228370  12.227912 0.768575   5  
   3   8  1    2   0    0    7   13.493993   0    0  1.683328  15.293186 0.107315  15.509747 0.999551  16.509298  17.508842 1.485371   6  
   4   9  2    1   0    0    6   19.491276   0    0  1.533139  21.190518 0.095779  21.390415 0.999546  22.389960  23.389499 0.601963   5  
   5   9  4    2   0    0    7   24.505671   0    0  1.200066  25.821664 0.149936  26.088285 0.999553  27.087837  28.087375 0.918481   5  
   6  10  2    2   1    0    7   29.503408   0    0  1.533424  31.152648 0.122864  31.385881 0.999544  32.385424  33.384968 0.618613   5  
   7  10  2    2   1    0    6   34.501132   0    0  1.200075  35.833870 0.196104  36.150390 0.999536  37.149926  38.149471 0.851830   5  
   8   9  3    1   0    0    6   39.498870   0    0  2.349645  41.997576 0.880995  42.997289 0.999533  43.996822  44.996370 1.002659   7  
   9   9  1    1   1    0    6   46.495697   0    0  1.183396  47.795104 0.164071  48.078311 0.999540  49.077851  50.077400 0.918447   5  
  10   9  4    2   0    0    7   51.493436   0    0  1.816405  53.425881 0.065881  53.609139 0.999538  54.608677  55.608223 1.385348   6  
  11   9  2    2   1    0    7   57.490713   0    0  1.533207  59.156616 0.083608  59.356529 0.999538  60.356066  61.355612 0.635224   5  
  12   9  4    4   1    0    5   62.488447   0    0  1.749621  64.354104 0.133302  64.604145 0.999537  65.603681  66.603237 1.385326   6  
  13   8  3    2   0    0    7   68.502377   0    0  1.916332  70.534783 0.108973  70.751358 0.999550  71.750907  72.750444 1.252035   6  
  14   8  1    3   0    0    3   74.499652   0    0  2.399536  77.015186 0.094548  77.215085 0.999558  78.214643  79.214181 0.785567   6  
  15   9  1    1   1    0    7   80.496937   0    0  1.250070  81.862990 0.453175  82.429385 0.999548  83.428933  84.428487 0.568533   5  
  16   9  1    2   0    0    7   85.494670   0    0  2.082922  87.693668 0.101387  87.910236 0.999545  88.909781  89.909330 1.085420   6  
  17   9  3    3   1    0    6   91.491949   0    0  2.282951  93.890863 0.002946  94.007477 0.999537  95.007015  96.006570 0.985446   6  
  18   9  4   -1   0    0    2   97.489222   0    0  0.000000 100.004756 0.876440 100.987636 0.999548 101.987183 102.986724 1.002560   7  
  19   9  4    2   0    0    2  104.502703   0    0  2.166252 106.785014 0.100209 107.001578 0.999538 108.001117 109.000681 1.002245   6  
  20   9  2    2   1    0    7  110.516651   0    0  1.233376 111.866028 0.101431 112.082610 0.999545 113.082155 114.081703 0.935177   5  
  21   9  4    3   0    0    7  115.514374   0    0  1.516594 117.163556 0.046835 117.330227 0.999547 118.329773 119.329320 0.685296   5  
  22   9  1    2   0    0    7  120.512120   0    0  1.849798 122.477883 0.039745 122.627829 0.999547 123.627376 124.626922 1.385419   6  
  23  10  4   -1   0    0    4  126.509395   0    0  0.000000 129.024924 0.012648 129.141531 0.999547 130.141079 131.140626 0.868994   6  
  24  10  2   -1   0    0    2  132.506680   0    0  0.000000 135.022212 0.850236 135.988427 0.999549 136.987977 137.987526 1.019369   7  
  25  10  3   -1   0    0    7  139.503491   0    0  0.000000 142.019056 1.105281 143.235148 0.999531 144.234679 145.234231 0.769499   7  
  26  10  2    4   0    0    7  146.500329   0    0  1.983083 148.649356 0.024231 148.782633 0.999530 149.782163 150.781723 1.218834   6  
  27  10  3    3   1    0    7  152.514264   0    0  1.649658 154.280127 0.012648 154.413405 0.999546 155.412951 156.412498 0.601996   5  
  28  10  3    3   1    0    7  157.511991   0    0  1.982970 159.611047 0.041456 159.760972 0.999554 160.760525 161.760070 1.252146   6  
  29   9  1    2   0    0    8  163.509270   0    0  1.199887 164.825351 0.012831 164.958622 0.999547 165.958169 166.957712 1.051790   5  
  30   9  3    3   1    0    8  168.507010   0    0  1.549937 170.172912 0.013249 170.306185 0.999556 171.305741 172.305282 0.701955   5  
  31   9  2    2   1    0    8  173.504728   0    0  1.233431 174.854132 0.064484 175.037375 0.999557 176.036932 177.036483 0.968499   5  
  32   8  3   -1   0    0    3  178.502474   0    0  0.000000 181.018031 0.001373 181.134623 0.999537 182.134160 183.133708 0.868985   6  
  33   8  4    2   0    0    8  184.499753   0    0  2.332782 186.998634 0.049525 187.165204 0.999561 188.164765 189.164316 0.835658   6  
  34   8  3   -1   0    0    8  190.497040   0    0  0.000000 193.012591 0.982855 194.112049 0.999558 195.111608 196.111151 0.886104   7  
  35   8  1    3   0    0    8  197.510517   0    0  1.266741 198.893223 0.023317 199.026497 0.999546 200.026043 201.025592 0.985156   5  
  36   9  4    4   1    0    1  202.508253   0    0  1.899718 204.523999 0.067757 204.707261 0.999532 205.706792 206.706335 1.302142   6  
  37   9  3    4   0    0    8  208.505523   0    0  1.883079 210.504618 0.000776 210.621243 0.999550 211.620793 212.620330 1.385423   6  
  38   9  1    4   0    0    8  214.502809   0    0  2.099655 216.718464 0.115844 216.951699 0.999535 217.951234 218.950790 1.052253   6  
  39  10  3    4   0    0    8  220.500095   0    0  2.382801 222.998949 0.703045 223.815252 0.999552 224.814805 225.814338 1.185987   7  
  40  10  2   -1   0    0    2  227.496908   0    0  0.000000 230.012453 0.506505 230.628834 0.999543 231.628377 232.627916 1.369232   7  
  41  10  1   -1   0    0    8  234.493750   0    0  0.000000 237.009297 0.960390 238.075443 0.999546 239.074989 240.074548 0.919418   7  
  42  10  2    1   0    0    8  241.507232   0    0  2.182788 243.822832 0.004184 243.939456 0.999542 244.938999 245.938554 1.068903   6  
  43  11  2    2   1    0    8  247.504501   0    0  2.049685 249.670191 0.023339 249.803464 0.999536 250.803000 251.802554 1.202164   6  
  44  11  4    4   1    0    8  253.501780   0    0  1.916388 255.534189 0.075226 255.717447 0.999543 256.716990 257.716539 1.285457   6  
  45  10  4   -1   0    0    4  259.499060   0    0  0.000000 262.014596 0.035341 262.164523 0.999542 263.164065 264.163612 0.835636   6  
  46  10  2    4   0    0    8  265.496347   0    0  1.566648 267.178909 0.027918 267.312176 0.999559 268.311735 269.311270 0.685259   5  
  47  10  2    4   0    0    2  270.494071   0    0  1.849579 272.459862 0.477660 273.042918 0.999545 274.042463 275.042015 0.952225   6  
  48  11  2    2   1    0    2  276.491349   0    0  2.083041 278.690356 0.256587 279.056855 0.999548 280.056404 281.055954 0.935569   6  
  49  11  1    1   1    0    8  282.505298   0    0  1.799946 284.421081 0.142184 284.670979 0.999539 285.670518 286.670066 1.335371   6  
  50  10  2    2   1    0    8  288.502569   0    0  1.283124 289.901940 0.193168 290.201802 0.999552 291.201354 292.200889 0.801837   5  
  51  10  1    4   0    0    8  293.500313   0    0  2.499874 296.132437 0.124767 296.365667 0.999548 297.365215 298.364767 0.635687   6  
  52  10  1    1   1    0    8  299.497587   0    0  1.250074 300.880291 0.078695 301.063541 0.999538 302.063080 303.062633 0.935072   5  
  53  10  3    3   1    0    8  304.495314   0    0  1.899769 306.511058 0.069853 306.694318 0.999544 307.693862 308.693410 1.302017   6  
  54   9  4    2   0    0    8  310.492598   0    0  1.616532 312.225150 0.168838 312.508353 0.999535 313.507888 314.507433 1.485270   6  
  55   9  1    2   0    0    8  316.489875   0    0  1.649864 318.255741 0.057361 318.422333 0.999543 319.421876 320.421424 0.568544   5  
  56  10  4    2   0    0    8  321.487608   0    0  2.166157 323.786564 0.047934 323.953152 0.999549 324.952701 325.952238 1.035453   6  
  57  10  4    2   0    0    8  327.501542   0    0  2.016327 329.633914 0.270591 330.017066 0.999549 331.016614 332.016160 0.985450   6  
  58  11  3    3   1    0    8  333.498827   0    0  2.049651 335.664511 0.062730 335.847752 0.999552 336.847305 337.846852 1.152049   6  
  59  11  4    2   0    0    8  339.512762   0    0  1.599862 341.228647 0.193714 341.528516 0.999559 342.528075 343.527602 1.485385   6  
  60  11  3    3   1    0    8  345.510025   0    0  1.849686 347.475811 0.058538 347.642416 0.999536 348.641952 349.641503 1.368759   6  
]; % This session completes at 26-Jan-2019 17:10:30, 353.005s after session start, 349s on 60 trials, totally 360.755s, correctness is 38.333%.

