%% MetaTwins_RDMsc_training for 'xugang': starting at _nofeedback (       50.0000000000).6-Jan-2019 16:41:36 for '7.374517e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  18  4    4   1    0    7    2.498969   0    0  1.450504   4.064830 0.757596   4.947871  0   0    4.947871 1.051317   4  
   2  18  4    4   1    0    7    6.497145   0    0  1.033530   7.646625 0.554152   8.329662  0   0    8.329662 0.667722   3  
   3  16  3    3   1    0    6    9.495787   0    0  1.649907  11.278333 0.810511  12.211232  0   0   12.211232 0.784797   4  
   4  16  4    4   1    0    6   13.493985   0    0  0.983546  14.593479 0.757131  15.476408  0   0   15.476408 0.517795   3  
   5  14  2    2   1    0    6   16.509285   0    0  2.033011  18.674967 1.132621  19.924384  0   0   19.924384 1.085153   5  
   6  14  3    4   0    0   -1   21.507005   0    0  2.049695  23.672686 0.000000  25.671791  0   0   25.671791 1.335449   6  
   7  14  3    2   0    0    6   27.504300   0    0  1.550695  29.170214 0.720147  30.003158  0   0   30.003158 1.001366   4  
   8  14  3    4   0    0    3   31.502490   0    0  1.617313  33.235018 1.774876  35.134165  0   0   35.134165 0.868531   5  
   9  15  1    2   0    0   -1   36.500208   0    0  1.599777  38.232756 0.000000  40.231867  0   0   40.231867 0.768561   5  
  10  15  1    2   0    0    3   41.497946   0    0  1.967499  43.580296 1.417568  45.112974  0   0   45.112974 0.885194   5  
  11  15  4    4   1    0    6   46.512325   0    0  1.366511  47.995020 0.896242  49.011199  0   0   49.011199 1.001388   4  
  12  15  1    1   1    0    6   50.510529   0    0  1.617408  52.259737 1.009694  53.392514  0   0   53.392514 0.618236   4  
  13  14  4    4   1    0    7   54.508707   0    0  1.050950  55.674837 0.577315  56.374533  0   0   56.374533 0.634418   3  
  14  14  1    1   1    0    6   57.507355   0    0  1.351245  59.006663 0.504750  59.639720  0   0   59.639720 1.367872   4  
