%% MetaTwins_RDMsc_training for 'xuwan': starting at _nofeedback (       50.0000000000).6-Jan-2019 16:59:58 for '7.374517e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  3    3   1    0    6    2.498867   0    0  2.133055   4.747855 0.037660   4.897782  0   0    4.897782 1.101298   4  
   2  20  3    2   0    0    6    6.497061   0    0  1.799798   8.412767 0.019012   8.546127  0   0    8.546127 1.451084   4  
   3  20  3   -1   0    0    3   10.495248   0    0  0.000000  13.010781 0.050030  13.177358  0   0   13.177358 0.818018   4  
   4  20  1    1   1    0    8   14.493436   0    0  1.583146  16.192616 0.223430  16.542506  0   0   16.542506 1.451012   4  
   5  20  4    2   0    0    8   18.508284   0    0  1.733055  20.374112 0.032658  20.524034  0   0   20.524034 1.484470   4  
   6  20  3    3   1    0    8   22.506460   0    0  1.733641  24.355628 0.178545  24.655497  0   0   24.655497 1.351203   4  
   7  20  2    2   1    0    8   26.504651   0    0  1.816466  28.453657 0.004772  28.570383  0   0   28.570383 1.434507   4  
   8  18  4    1   0    0    8   30.502849   0    0  2.182913  32.835006 0.035344  32.985054  0   0   32.985054 1.018017   4  
   9  18  4    4   1    0    8   34.501023   0    0  1.399951  36.050351 0.759738  36.933266  0   0   36.933266 1.067993   4  
  10  18  1    1   1    0    6   38.499217   0    0  1.966427  40.581609 1.033995  41.731098  0   0   41.731098 1.268356   5  
  11  16  3    3   1    0    8   43.496960   0    0  1.933211  45.546032 0.273261  45.945845  0   0   45.945845 1.051343   4  
  12  16  1    1   1    0    8   47.495153   0    0  1.333345  48.944497 0.906493  49.977348  0   0   49.977348 1.017973   4  
  13  14  3    2   0    0    7   51.493339   0    0  1.916713  53.542303 0.642248  54.308727  0   0   54.308727 0.684763   4  
  14  14  3    4   0    0    8   55.491532   0    0  1.283259  56.924213 0.397533  57.440638  0   0   57.440638 0.550987   3  
  15  15  2    1   0    0    8   58.490176   0    0  1.733314  60.339336 1.193918  61.655401  0   0   61.655401 1.334816   5  
  16  15  2    2   1    0    6   63.504569   0    0  2.449401  66.136651 1.059237  67.319488  0   0   67.319488 0.685304   5  
  17  15  2    2   1    0    8   68.502304   0    0  2.066281  70.767850 1.234982  72.117328  0   0   72.117328 0.885200   5  
  18  14  2   -1   0    0    7   73.500037   0    0  0.000000  76.015569 0.000438  76.132145  0   0   76.132145 0.868118   4  
  19  14  2    2   1    0    7   77.498226   0    0  1.616587  79.264075 0.014008  79.397371  0   0   79.397371 0.601069   3  
  20  14  1    1   1    0    8   80.496857   0    0  1.183249  81.796279 0.063131  81.979521  0   0   81.979521 1.017566   3  
  21  13  2    2   1    0    7   83.495500   0    0  1.066720  84.711621 0.049391  84.878208  0   0   84.878208 1.117531   3  
  22  13  4    4   1    0    8   86.494152   0    0  1.616501  88.226695 0.241689  88.593200  0   0   88.593200 1.401159   4  
  23  12  4    1   0    0    8   90.492346   0    0  1.499673  92.108267 0.319408  92.541405  0   0   92.541405 1.451104   4  
  24  12  3    3   1    0    7   94.490520   0    0  1.716497  96.356356 0.129822  96.606231  0   0   96.606231 1.384438   4  
  25  12  3    2   0    0    8   98.488720   0    0  1.383422  99.987968 0.155106 100.271238  0   0  100.271238 0.717571   3  
  26  12  2    2   1    0    8  101.487371   0    0  1.300032 102.903289 0.098042 103.119948  0   0  103.119948 0.867454   3  
  27  12  2    4   0    0    8  104.502642   0    0  1.849794 106.501749 0.099592 106.718317  0   0  106.718317 1.284576   4  
  28  12  3    3   1    0    8  108.500842   0    0  1.849736 110.466622 0.215215 110.799798  0   0  110.799798 1.201268   4  
  29  12  2    1   0    0    7  112.499037   0    0  1.649800 114.264905 1.580364 115.964126  0   0  115.964126 1.035138   5  
  30  12  1    1   1    0    8  117.496763   0    0  1.066918 118.679570 0.428450 119.229316  0   0  119.229316 0.767680   3  
  31  12  2    2   1    0    3  120.495408   0    0  1.550004 122.177977 1.506782 123.810573  0   0  123.810573 1.185064   5  
  32  11  4   -1   0    0    3  125.493142   0    0  0.000000 128.008676 0.000407 128.125291  0   0  128.125291 0.868075   4  
