%% MetaTwinsTri_behave_Conf for '_notguess': starting at liurui (       50.0000000000).7-Jan-2019 12:51:427.374525e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   10   1   0    6    2.498879 1.799749   4.431305 0.660532   5.197664 2.801436   6  
   2  1   10   3   0    6    8.496153 1.933143  10.595220 1.783600  12.494340 1.502008   6  
   3  2   10   1   0    4   14.493424 2.399540  17.042275 1.121294  18.275059 1.718539   6  
   4  1   10   2   0    2   20.490717 2.466199  23.122861 0.667151  23.905837 2.085019   6  
   5  2   10   1   0    2   26.488001 2.049750  28.653687 0.635675  29.403348 2.584757   6  
   6  3   10   3   1    6   32.501946 1.966394  34.634308 1.220008  35.967028 2.034989   6  
   7  2   10   2   1    5   38.515878 1.716513  40.381701 1.807379  42.297493 1.718624   6  
   8  1   10  -1   0    1   44.513174 0.000000  47.028699 0.000662  47.145292 2.868088   6  
   9  4   10   4   1    2   50.510442 2.166288  52.842692 0.773584  53.725642 2.285019   6  
  10  1   10   1   1    1   56.507716 2.083165  58.756666 0.664697  59.539672 2.468274   6  
  11  1   10   2   0    3   62.504978 2.332984  64.987036 1.322165  66.419876 1.585349   6  
  12  3   10   3   1    6   68.502262 2.449537  71.101093 1.135664  72.350537 1.651966   6  
  13  4   10  -1   0    4   74.499546 0.000000  77.015101 0.252792  77.381576 2.618199   6  
  14  2   10   2   1    7   80.496826 1.466635  82.112762 0.909236  83.128966 2.868085   6  
  15  2   10   3   0    5   86.494113 2.083061  88.726353 1.475079  90.309049 1.685297   6  
  16  2   10   2   1    6   92.491384 1.816455  94.423856 1.036120  95.573318 2.418273   6  
  17  4   10   4   1    2   98.505334 2.399436 101.037502 0.928005 102.070372 1.935152   6  
  18  4   10   2   0    5  104.502613 2.266210 106.884707 0.810745 107.801105 2.201661   6  
  19  4   10   2   0    1  110.499876 2.466163 113.081898 0.679590 113.881685 2.118337   6  
  20  4   10  -1   0    4  116.497158 0.000000 119.012716 0.285556 119.412509 2.584769   6  
  21  3   10   1   0    6  122.494444 1.300038 123.910348 0.664871 124.693451 3.301074   6  
  22  1   10   2   0    5  128.508370 1.449768 130.074336 1.091221 131.273795 2.734811   6  
  23  3   10   3   1    7  134.505658 1.732991 136.388152 0.931764 137.437665 2.568221   6  
  24  3   10   2   0    4  140.502946 1.633126 142.252139 1.356153 143.718141 2.285027   6  
  25  4   10   4   1    5  146.500212 1.649863 148.282745 1.207147 149.598815 2.401641   6  
  26  2   10   4   0    6  152.497498 2.299410 154.929736 0.511282 155.546127 2.451594   6  
  27  3   10  -1   0    3  158.511440 0.000000 161.026977 0.020515 161.160225 2.851446   6  
  28  2   10   4   0    7  164.508714 1.466473 166.107981 0.318067 166.541129 3.467813   6  
  29  3   10   1   0    5  170.505987 1.533215 172.171903 0.903201 173.188118 2.818097   6  
  30  2   10   2   1    4  176.503275 1.633243 178.252478 1.102390 179.468608 2.534903   6  
  31  1   10   1   1    3  182.500557 2.099556 184.732706 1.171513 186.015630 1.985147   6  
  32  1   10   1   1    1  188.497825 2.249541 190.896750 0.668216 191.679724 2.318301   6  
  33  2   10   2   1    2  194.495118 2.499463 197.127141 0.439136 197.677006 2.318270   6  
  34  4   10   2   0    5  200.492387 2.282983 202.891303 1.214881 204.224023 1.768523   6  
  35  4   10   1   0    4  206.489665 2.099561 208.705248 1.261236 210.071398 1.918378   6  
  36  4   10   4   1    5  212.486955 2.266174 214.919190 1.104222 216.135296 1.851744   6  
  37  1   10  -1   0    1  218.500892 0.000000 221.016431 0.021305 221.149684 2.851272   6  
  38  2   10   1   0    2  224.514819 1.949765 226.630539 0.680159 227.430165 2.584890   6  
  39  4   10   3   0    5  230.512116 1.949743 232.611152 1.369107 234.093818 1.918515   6  
  40  3   10   2   0    7  236.509386 1.733215 238.391873 0.621171 239.124867 2.884741   6  
  41  1   10   1   1    5  242.506662 2.449481 245.138816 1.281475 246.538167 1.468727   6  
  42  4   10   4   1    3  248.503933 2.399502 251.069446 0.745018 251.935719 2.068454   6  
  43  3   10   4   0    6  254.501227 1.999702 256.650216 0.881565 257.649783 2.351668   6  
  44  3   10   3   1    4  260.498502 2.033050 262.680840 1.008706 263.797032 2.201707   6  
  45  1   10   3   0    4  266.495789 1.999639 268.628071 0.734353 269.477771 2.518241   6  
  46  4   10   4   1    2  272.493059 1.549806 274.192297 0.960244 275.258484 2.734805   6  
  47  2   10   1   0    6  278.507015 1.849746 280.506089 1.270711 281.888807 2.118402   6  
  48  4   10   4   1    7  284.504275 1.433268 286.086893 0.716122 286.919856 3.084603   6  
  49  1   10   1   1    3  290.501558 1.833156 292.533968 1.440147 294.083265 1.918445   6  
  50  2   10  -1   0    3  296.498840 0.000000 299.014393 0.017764 299.147629 2.851323   6  
]; % This session completes at 27-Jan-2019 12:57:06, 306.254s after session start, 300s on 50 trials, totally 323.273s.

