%% MetaTwins_RDMsc_training for 'liurui': starting at _feedback (       50.0000000000).7-Jan-2019 11:43:12 for '7.374525e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1   7  4    4   1    0    6    2.499003   0    0  2.166139   4.814618 0.915911   5.847476 0.999553   6.847029   7.846559 1.152651   7  
   2   7  1   -1   0    0    4    9.495823   0    0  0.000000  12.011394 0.296201  12.427837 0.999533  13.427370  14.426911 0.569063   6  
   3   7  2    2   1    0    2   15.493103   0    0  2.282895  17.925342 0.578189  18.608362 0.999542  19.607904  20.607434 1.385752   7  
   4   6  3   -1   0    0    4   22.506577   0    0  0.000000  25.022154 0.028232  25.155390 0.999529  26.154919  27.154477 0.852348   6  
   5   6  4    4   1    0    6   28.503871   0    0  1.516458  30.169654 0.708674  30.986082 0.999539  31.985621  32.985173 1.018929   6  
   6   6  2    4   0    0    6   34.501149   0    0  2.066337  36.716822 0.895560  37.733030 0.999526  38.732556  39.732100 1.269273   7  
   7   6  3    4   0    0    6   41.497977   0    0  1.933029  43.580299 1.480374  45.179635 0.999549  46.179184  47.178734 0.819459   7  
   8   7  2    2   1    0   -1   48.494806   0    0  1.783189  50.393940 0.000000  52.392973 0.999600  53.392573  54.392124 0.602840   7  
   9   7  4    4   1    0    6   55.491623   0    0  1.549918  57.207522 0.974678  58.290354 0.999534  59.289888  60.289446 0.702273   6  
  10   7  2   -1   0    0    4   61.505564   0    0  0.000000  64.021101 0.152076  64.287645 0.999519  65.287164  66.286722 0.719065   6  
  11   7  3    4   0    0    7   67.502837   0    0  1.266990  68.885552 0.985378  69.985051 0.999542  70.984593  71.984131 1.018948   6  
  12   7  3    1   0    0    6   73.500110   0    0  2.049538  75.699137 0.500859  76.315519 0.999542  77.315061  78.314590 0.685767   6  
  13   8  4    4   1    0    6   79.497397   0    0  1.366623  80.980073 1.329903  82.429413 0.999536  83.428949  84.428500 0.569133   6  
  14   8  3    4   0    0    7   85.494687   0    0  1.899681  87.527103 0.295481  87.943573 0.999534  88.943108  89.942663 1.052235   6  
  15   8  2    4   0    0    2   91.491966   0    0  2.149424  93.774263 0.811758  94.690501 0.999554  95.690055  96.689599 1.302514   7  
  16   9  3    3   1    0    5   98.488801   0    0  2.416138 101.054303 0.461779 101.620700 0.999546 102.620246 103.619777 1.369105   7  
  17   9  1    4   0    0    8  105.502259   0    0  1.999688 107.617947 0.732704 108.467601 0.999520 109.467122 110.466679 0.535825   6  
  18   9  2   -1   0    0    2  111.499554   0    0  0.000000 114.015083 0.175090 114.298292 0.999538 115.297830 116.297394 0.702381   6  
  19   9  2    4   0    0    6  117.496823   0    0  1.250018 118.862876 1.031643 120.012359 0.999545 121.011904 122.011441 0.985630   6  
  20  10  3    4   0    0    2  123.494098   0    0  2.282817 125.892929 0.962796 126.975862 0.999529 127.975391 128.974948 1.019405   7  
  21  10  4    4   1    0    7  130.490930   0    0  1.416619 132.023553 1.066591 133.206374 0.999528 134.205901 135.205450 0.785662   6  
  22  10  2    2   1    0    6  136.488212   0    0  1.783177 138.387346 0.797075 139.303606 0.999533 140.303139 141.302691 0.685644   6  
  23   9  2   -1   0    0    2  142.502154   0    0  0.000000 145.017695 0.214785 145.350864 0.999545 146.350409 147.349939 0.652435   6  
  24   9  4    4   1    0    2  148.499432   0    0  1.449966 150.065388 1.884261 152.064474 0.999537 153.064012 154.063566 0.936093   7  
  25   9  1    4   0    0    7  155.512914   0    0  2.183148 157.811802 0.459939 158.378306 0.999527 159.377833 160.377372 0.635781   6  
  26   9  3   -1   0    0    3  161.510192   0    0  0.000000 164.025735 0.068549 164.208976 0.999537 165.208513 166.208068 0.802365   6  
  27   9  4    4   1    0    3  167.507479   0    0  1.200639 168.823464 0.626150 169.556544 0.999545 170.556089 171.555625 1.452083   6  
  28   9  4    4   1    0    3  173.504751   0    0  1.733161 175.353922 0.955398 176.420103 0.999537 177.419640 178.419180 0.585747   6  
  29   8  4    4   1    0    7  179.502038   0    0  1.316702 180.934716 0.526061 181.567770 0.999545 182.567315 183.566853 1.435293   6  
  30   8  4    4   1    0    6  185.515975   0    0  1.166716 186.798727 0.642035 187.548387 0.999527 188.547914 189.547477 1.468737   6  
