%% MetaTwins_RDMsc_training for 'liurui': starting at _nofeedback (       50.0000000000).7-Jan-2019 11:54:59 for '7.374525e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  8   1    1   1    0    7    2.498856   0    0  1.150204   3.764943 0.468934   4.348013  0   0    4.348013 0.651071   3  
   2  8   2    3   0    0    7    5.497487   0    0  1.799811   7.413286 0.374924   7.896417  0   0    7.896417 1.101302   4  
   3  8   1    1   1    0    4    9.495674   0    0  2.033067  11.644712 0.286120  12.044525  0   0   12.044525 0.951375   4  
   4  8   2    1   0    0    4   13.493863   0    0  1.049935  14.660013 0.563986  15.343027  0   0   15.343027 0.651035   3  
   5  8   2    1   0    0    4   16.492512   0    0  1.166680  17.775262 0.479713  18.374990  0   0   18.374990 0.617704   3  
   6  9   4    4   1    0    6   19.491142   0    0  1.667118  21.273670 0.539705  21.923382  0   0   21.923382 1.067950   4  
   7  9   3    3   1    0    5   23.505996   0    0  1.566573  25.188561 0.375970  25.671685  0   0   25.671685 1.334477   4  
   8  8   1    1   1    0    5   27.504185   0    0  1.016618  28.637003 0.666060  29.419975  0   0   29.419975 0.584364   3  
   9  8   1    1   1    0    7   30.502824   0    0  1.150130  31.768911 0.794657  32.685160  0   0   32.685160 1.317810   4  
  10  7   2    1   0    0    3   34.501011   0    0  0.783632  35.417262 0.731032  36.266863  0   0   36.266863 0.734290   3  
  11  7   1    1   1    0    3   37.499639   0    0  0.983617  38.632468 0.605739  39.348815  0   0   39.348815 0.650979   3  
  12  7   1    1   1    0    5   40.498288   0    0  1.150142  41.764279 0.855389  42.730599  0   0   42.730599 1.267833   4  
  13  6   2    1   0    0    5   44.496462   0    0  1.299991  45.912488 0.832045  46.862063  0   0   46.862063 1.134535   4  
  14  6   4    4   1    0    6   48.494659   0    0  2.216074  50.826948 0.326744  51.260088  0   0   51.260088 0.734694   4  
  15  6   1    1   1    0    7   52.492841   0    0  1.666510  54.292027 0.175242  54.575234  0   0   54.575234 1.417728   4  
  16  5   3    1   0    0    4   56.491024   0    0  1.700017  58.306882 0.552715  58.973230  0   0   58.973230 1.017898   4  
  17  5   2    4   0    0    1   60.489222   0    0  1.566613  62.205106 0.289041  62.604920  0   0   62.604920 1.384391   4  
  18  6   4    4   1    0    7   64.487402   0    0  1.882968  66.503075 0.346091  66.969606  0   0   66.969606 1.017873   4  
  19  6   4    4   1    0    8   68.485588   0    0  1.216677  69.834944 0.359452  70.301427  0   0   70.301427 0.684234   3  
  20  5   2    4   0    0    8   71.500889   0    0  1.949685  73.566445 0.475242  74.149688  0   0   74.149688 0.851263   4  
  21  5   4    1   0    0    3   75.499077   0    0  2.232973  77.881324 0.610548  78.597669  0   0   78.597669 1.401459   5  
  22  6   2    3   0    0    6   80.513469   0    0  2.416026  83.045636 0.507131  83.662027  0   0   83.662027 1.351667   5  
  23  6   4    1   0    0    4   85.511194   0    0  1.249916  86.910446 0.595510  87.610240  0   0   87.610240 1.401195   4  
  24  7   4    4   1    0    7   89.509375   0    0  1.283350  90.908753 0.253520  91.275258  0   0   91.275258 0.734356   3  
  25  7   4   -1   0    0    4   92.508032   0    0  0.000000  95.023555 0.021674  95.156828  0   0   95.156828 0.851415   4  
  26  7   2    2   1    0    1   96.506209   0    0  1.916394  98.538624 0.226706  98.871810  0   0   98.871810 1.134625   4  
  27  6   3    3   1    0    2  100.504410   0    0  2.132970 102.753382 0.523589 103.386426  0   0  103.386426 0.618188   4  
  28  6   4    4   1    0    7  104.502581   0    0  1.300054 105.918445 1.256544 107.284654  0   0  107.284654 0.718147   4  
  29  5   1    4   0    0    8  108.500772   0    0  1.266662 109.883472 0.326044 110.316614  0   0  110.316614 0.684388   3  
  30  5   3    4   0    0    8  111.499405   0    0  1.783071 113.398547 0.504101 114.014940  0   0  114.014940 0.984696   4  
  31  6   3    3   1    0    1  115.514250   0    0  2.049669 117.679793 0.436871 118.229690  0   0  118.229690 0.784798   4  
  32  6   1    1   1    0    5  119.512434   0    0  1.749665 121.411578 0.683963 122.211209  0   0  122.211209 0.801458   4  
  33  5   1    1   1    0    2  123.510619   0    0  1.616693 125.276496 0.748904 126.142763  0   0  126.142763 0.868086   4  
  34  5   4    3   0    0    7  127.508819   0    0  2.016344 129.641018 0.724825 130.474121  0   0  130.474121 0.534920   4  
  35  5   1    1   1    0    2  131.506998   0    0  2.066298 133.705950 0.500458 134.322378  0   0  134.322378 0.684849   4  
  36  5   3    3   1    0    5  135.505181   0    0  1.833016 137.454302 0.458387 138.020710  0   0  138.020710 0.984708   4  
  37  4   3    3   1    0    7  139.503357   0    0  2.049729 141.669057 0.579990 142.368731  0   0  142.368731 0.634864   4  
  38  4   1    1   1    0    2  143.501549   0    0  1.333278 144.950900 0.740965 145.800510  0   0  145.800510 1.201277   4  
