%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at niuyutong (       50.0000000000).7-Jan-2019 18:17:207.374528e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   15   2   1    4      5      2.498872 0.933213   3.948210 0.842037   4.897785 3.101311   6  
   2  2   15   2   1    6      5      8.496157 0.850511   9.862206 0.676644  10.645186 3.351196   6  
   3  1   15   1   1    4      5     14.493431 1.366368  16.375912 0.457808  16.942336 3.051289   6  
   4  2   15   2   1    4      5     20.490712 1.100227  22.106650 0.736163  22.956266 3.034684   6  
   5  1   15   1   1    3      5     26.504642 1.516305  28.537061 0.332046  28.986857 3.017971   6  
   6  1   15   1   1    4      5     32.501930 1.316778  34.334424 0.832134  35.284014 2.718156   6  
   7  4   15   4   1    2      5     38.499201 1.732859  40.748178 0.334018  41.197972 2.801385   6  
   8  1   15   1   1    6      5     44.496491 1.350039  46.362316 0.404180  46.878735 3.117984   6  
   9  1   15   1   1    3      5     50.493756 1.649416  52.659470 0.304363  53.075929 2.917980   6  
  10  1   15   1   1    3      5     56.491046 1.766598  58.773340 0.769144  59.656272 2.335001   6  
  11  3   15   2   0    2      5     62.488330 1.499641  64.504072 0.283959  64.903884 3.084576   6  
  12  2   15   2   1    4      5     68.502261 1.233413  70.251474 1.059681  71.417603 2.584892   6  
  13  4   15   4   1    5      2     74.499541 1.566283  76.581928 0.539044  77.231623 2.768014   6  
  14  2   15   2   1    3      5     80.496815 1.566972  82.579212 0.506821  83.195609 2.801465   6  
  15  4   15   4   1    4      4     86.494085 1.366306  88.376577 0.438945  88.926328 3.067865   6  
  16  1   15   1   1    2      5     92.491381 1.849839  94.856976 0.270329  95.240128 2.751471   6  
  17  3   15   3   1    1      5     98.488648 2.399283 101.403998 0.021852 101.537281 2.451438   6  
  18  3   15   4   0    5      5    104.485939 1.266687 106.268458 0.731058 107.118084 2.868041   6  
  19  2   15   2   1    6      5    110.499865 1.449737 112.465660 0.832157 113.415210 2.584718   6  
  20  2   15   3   0    7      1    116.513809 1.100594 118.129751 0.469114 118.712811 3.301226   6  
  21  4   15   4   1    4      5    122.511083 1.649598 124.676771 0.529586 125.326479 2.684836   6  
  22  2   15   2   1    6      5    128.508368 1.050474 130.074328 0.380415 130.574159 3.434429   6  
  23  1   15   1   1    4      5    134.505637 1.333072 136.354802 0.934102 137.404329 2.601538   6  
  24  3   15   2   0    3      1    140.502927 1.783146 142.801894 0.464112 143.384955 2.618216   6  
