%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at niuyutong (       50.0000000000).7-Jan-2019 17:54:157.374527e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   10   1   1    3      7      2.498857 1.716156   4.731175 0.301629   5.147650 2.851425   6  
   2  3   10   3   1    4      5      8.496156 1.599894  10.611855 0.694486  11.411493 2.584881   6  
   3  4   10   4   1    5      8     14.493414 1.216538  16.225964 0.408060  16.742399 3.251134   6  
   4  1   10   1   1    3      6     20.507363 1.849928  22.872965 0.545098  23.539328 2.468282   6  
   5  4   10   2   0    4      6     26.504641 1.816177  28.836919 0.401856  29.353363 2.651492   6  
   6  1   10   1   1    5      3     32.501925 1.466573  34.484363 0.552347  35.150722 2.851449   6  
   7  3   10   3   1    4      2     38.499185 1.916124  40.931424 0.478724  41.514486 2.484933   6  
   8  2   10   2   1    5      6     44.496486 1.733340  46.745458 0.456083  47.311876 2.684815   6  
   9  1   10   1   1    7      7     50.493749 1.366373  52.376225 0.390261  52.876009 3.117975   6  
  10  3   10   2   0    2      3     56.491037 1.933122  58.939937 0.036397  59.089862 2.901402   6  
  11  1   10   4   0    6      8     62.488315 1.183106  64.187559 0.555714  64.853901 3.134551   6  
  12  1   10   1   1    5      2     68.502270 1.800179  70.817861 0.456537  71.384295 2.618171   6  
  13  2   10   2   1    4      7     74.516185 1.549651  76.581917 0.319521  77.015057 3.001353   6  
  14  2   10   2   1    3      1     80.513467 1.999811  83.028994 0.477053  83.612075 2.401613   6  
  15  2   10   2   1    2      2     86.510746 2.232661  89.259491 0.156381  89.526038 2.484936   6  
  16  1   10  -1   0    1      1     92.508037 2.499385  95.023554 0.509006  95.639944 2.368312   6  
  17  4   10   4   1    6      8     98.505297 1.099599 100.121235 0.451794 100.687645 3.317885   6  
  18  2   10   2   1    7      3    104.502584 1.799894 106.818211 0.274860 107.201364 2.801451   6  
  19  3   10   3   1    5      4    110.499867 1.466362 112.482286 0.479870 113.082022 2.918012   6  
  20  2   10   4   0    6      6    116.497157 1.366576 118.379622 0.358915 118.846093 3.151290   6  
  21  3   10   4   0    3      5    122.494415 1.732881 124.743401 0.220626 125.076575 2.917915   6  
  22  3   10   3   1    1      4    128.508360 2.416443 131.440371 0.105430 131.656940 2.351642   6  
  23  4   10   4   1    6      8    134.505631 1.116534 136.138230 0.762783 137.021164 2.984699   6  
  24  4   10   1   0    5      7    140.502928 1.649847 142.668597 0.363782 143.151714 2.851425   6  
  25  3   10   4   0    4      6    146.500196 1.283090 148.299372 0.609777 149.015723 2.984703   6  
  26  3   10   3   1    5      6    152.497490 1.733368 154.746460 0.426379 155.279560 2.718169   6  
  27  3   10   3   1    2      3    158.494750 2.365894 161.376769 0.120198 161.610009 2.384950   6  
