%% MetaTwins_RDMsc_training for 'niuyutong': starting at _feedback (       50.0000000000).7-Jan-2019 16:12:30 for '7.374527e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  4    4   1    0   -1    2.498931   0    0  2.467899   5.081086 0.000000   7.080175 0.999539   8.079714   9.079275 0.919886   8  
   2  90  1    1   1    0    7   10.495288   0    0  1.216748  11.828023 0.679885  12.627658 0.999549  13.627207  14.626764 1.368683   6  
   3  90  3    4   0    0    8   16.492585   0    0  0.734511  17.342196 1.069301  18.524995 0.999549  19.524544  20.524066 1.468742   6  
   4  90  2   -1   0    0   -1   22.489846   0    0  0.000000  25.005392 0.000000  27.004487 0.999542  28.004029  29.003574 0.986358   8  
   5  90  2    2   1    0    7   30.502870   0    0  1.416559  32.035553 1.659574  33.801386 0.999549  34.800934  35.800481 1.202630   7  
   6  90  1    1   1    0    7   37.499699   0    0  0.683911  38.299352 0.848932  39.265577 0.999554  40.265131  41.264664 0.735274   5  
   7  81  4    4   1    0    7   42.497446   0    0  1.234365  43.846839 0.491965  44.446569 0.999534  45.446103  46.445647 0.552045   5  
   8  81  3    4   0    0    7   47.511826   0    0  0.616928  48.244833 0.703681  49.061135 0.999537  50.060672  51.060236 0.951815   5  
   9  81  3    3   1    0    7   52.509568   0    0  1.434048  54.058866 1.311957  55.491559 0.999525  56.491084  57.490621 0.519174   6  
  10  81  4    4   1    0   -1   58.506838   0    0  1.549913  60.172756 0.000000  62.171723 0.999691  63.171414  64.170946 0.836120   7  
  11  81  2    2   1    0    7   65.503677   0    0  0.916803  66.553210 0.919629  67.586052 0.999549  68.585601  69.585156 1.418747   6  
  12  72  2    2   1    0    7   71.500941   0    0  0.783584  72.433893 0.511048  73.050255 0.999529  74.049784  75.049348 0.951838   5  
  13  72  3    3   1    0    7   76.498689   0    0  0.917808  77.531549 0.471798  78.114619 0.999543  79.114162  80.113694 0.885215   5  
  14  64  4    3   0    0    8   81.496404   0    0  1.133491  82.762507 0.813755  83.695408 0.999546  84.694954  85.694525 1.302005   6  
