%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at heruiqi (       50.0000000000).7-Jan-2019 17:46:037.374527e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   12   1   0   -1      8      2.498748 2.116036   5.130395 0.000000   7.128983 0.870077   6  
   2  2   12   2   1   -1      8      8.494930 1.066200  10.077242 0.000000  12.075890 1.919279   6  
   3  1   12   1   1    5      1     14.491115 1.099399  16.106742 0.108141  16.323299 3.667965   6  
   4  4   12   3   0   -1      2     20.503958 1.532550  22.552653 0.000000  24.551294 1.452997   6  
   5  3   12   1   0    5      1     26.500149 1.649101  28.665434 0.942691  29.714772 2.285697   6  
   6  2   12   2   1    3      8     32.496331 1.116132  34.128621 0.403884  34.644974 3.351701   6  
   7  3   12   3   1    6      1     38.509192 1.948735  40.974266 0.754859  41.840394 2.169105   6  
   8  3   12   2   0    8      1     44.505361 1.299281  46.320870 0.824839  47.253616 2.752082   6  
   9  3   12   3   1    6      1     50.501553 1.582509  52.600212 0.816606  53.532945 2.468854   6  
  10  1   12   1   1    6      1     56.497736 1.532647  58.546412 0.537550  59.196035 2.801868   6  
  11  2   12   2   1    8      6     62.510568 1.249215  64.276106 0.466585  64.859089 3.151808   6  
  12  4   12   3   0    8      1     68.506750 1.316009  70.338921 0.001094  70.455543 3.551550   6  
  13  1   12   3   0    8      1     74.502941 1.549203  76.568303 0.801388  77.484388 2.518884   6  
  14  3   12   1   0    8      1     80.499130 1.665917  82.681072 0.782711  83.580503 2.418966   6  
  15  4   12   4   1    8      4     86.495309 1.782360  88.793851 0.686742  89.593355 2.402273   6  
  16  2   12   2   1    8      3     92.491502 1.149466  94.157113 0.194491  94.473584 3.518183   6  
  17  3   12   3   1    8      4     98.487698 1.299332 100.303197 0.325464 100.736260 3.251630   6  
  18  1   12   1   1    8      5    104.500530 1.732341 106.749104 0.408841 107.265446 2.735187   6  
  19  2   12   2   1    8      1    110.513363 1.099481 112.129014 0.094842 112.345552 3.668147   6  
  20  4   12   3   0    8      3    116.509567 1.182689 118.208478 0.519472 118.841413 3.168470   6  
  21  4   12   3   0    8      1    122.505739 1.449232 124.471178 0.562879 125.154062 2.852012   6  
  22  4   12   1   0    8      1    128.501948 1.299274 130.317433 0.496663 130.933726 3.068542   6  
  23  1   12   3   0    8      4    134.498103 1.482538 136.496839 0.510543 137.113136 2.885260   6  
  24  1   12   2   0    8      1    140.494307 1.399268 142.409745 0.313834 142.842826 3.151688   6  
  25  1   12   3   0    8      3    146.490492 1.665681 148.672404 0.382751 149.172117 2.818496   6  
  26  1   12   3   0    8      4    152.503318 1.615660 154.635313 0.374319 155.118349 2.885313   6  
  27  2   12   2   1    8      8    158.499514 1.132786 160.148468 0.424376 160.681469 3.318376   6  
  28  1   12   3   0    8      1    164.495707 1.515802 166.527741 0.422025 167.060731 2.935296   6  
  29  1   12   1   1    8      3    170.508541 1.365866 172.390674 0.370040 172.873720 3.135159   6  
  30  1   12   3   0    8      4    176.504724 1.798887 178.819911 0.375472 179.303037 2.702000   6  
  31  1   12   1   1    8      1    182.500917 1.532576 184.549609 0.484521 185.149232 2.851921   6  
  32  3   12   1   0    8      1    188.497110 1.249299 190.262650 0.763564 191.145429 2.851820   6  
  33  4   12   4   1    8      4    194.509946 1.515749 196.541992 0.417298 197.074991 2.935283   6  
  34  1   12   4   0    8      4    200.506123 1.565834 202.588143 0.001000 202.704732 3.301739   6  
  35  2   12   2   1    8      8    206.502310 0.916060 207.934743 0.812176 208.867500 3.135148   6  
  36  2   12   2   1    8      8    212.498493 0.849626 213.864296 0.310901 214.280708 3.718131   6  
  37  3   12   3   1    8      3    218.494671 1.482566 220.493413 0.395403 221.009761 2.985261   6  
  38  3   12   3   1    8      4    224.490873 1.532558 226.539578 0.283925 226.939319 3.051799   6  
  39  4   12   3   0    8      4    230.487078 1.382616 232.385842 0.390786 232.885545 3.101680   6  
  40  1   12   3   0    8      4    236.516546 1.382611 238.415406 0.374581 238.898387 3.118501   6  
  41  4   12   4   1    8      4    242.512715 1.482658 244.511476 0.348241 244.977842 3.035224   6  
  42  2   12   2   1    8      8    248.508934 0.899608 249.924703 0.417740 250.457699 3.551557   6  
  43  4   12   2   0    8      1    254.505101 1.515892 256.537151 0.314807 256.970245 3.035205   6  
  44  4   12   4   1    8      4    260.501301 1.615693 262.633272 0.399018 263.149629 2.852010   6  
  45  2   12   3   0    8      1    266.497480 0.932894 267.946579 0.484961 268.546208 3.451553   6  
  46  2   12   3   0    8      1    272.493674 1.382727 274.392461 0.298136 274.808865 3.185002   6  
  47  3   12   4   0    8      4    278.489863 1.632358 280.638491 0.342283 281.088222 2.901739   6  
  48  3   12   1   0    8      1    284.502700 0.999415 286.018417 0.350542 286.484777 3.518251   6  
  49  1   12   4   0    8      1    290.498877 1.599049 292.614191 0.356510 293.080583 2.918632   6  
  50  1   12   3   0    8      1    296.495075 1.465719 298.477115 0.259865 298.843584 3.151817   6  
  51  1   12   1   1    8      1    302.507910 1.482594 304.506646 0.420710 305.039651 2.968612   6  
  52  2   12   2   1    8      8    308.504100 0.966311 309.986497 0.403286 310.502846 3.501556   6  
  53  2   12   4   0    8      1    314.500282 1.465810 316.482361 0.471505 317.065336 2.935174   6  
  54  4   12   4   1    8      4    320.496471 1.349092 322.361952 0.718365 323.194762 2.801861   6  
  55  4   12   1   0    8      1    326.509326 1.232613 328.258203 0.737850 329.107668 2.901965   6  
  56  4   12   3   0    8      2    332.505516 1.299359 334.321014 0.924311 335.353698 2.652134   6  
  57  3   12   3   1    8      3    338.501685 1.615761 340.633664 0.395206 341.149999 2.852012   6  
  58  4   12   4   1    8      4    344.497872 1.665591 346.679812 0.384004 347.179511 2.818698   6  
  59  2   12   4   0    8      4    350.494064 1.699287 352.709323 0.285407 353.109063 2.885308   6  
  60  4   12   3   0    8      1    356.490248 1.549149 358.555591 0.367738 359.038628 2.951855   6  
  61  1   12   1   1    8      1    362.486433 1.399160 364.401877 0.001094 364.518477 3.468106   6  
  62  1   12   3   0    8      3    368.515927 1.515779 370.547969 0.340366 370.997688 3.018584   6  
  63  2   12   2   1    8      3    374.512115 1.082849 376.111080 0.377102 376.594143 3.418317   6  
]; % This session breaks at 27-Jan-2019 17:53:06, 397.823s after session start, 378s on 63 trials, totally 422.354s.

