%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at heruiqi (       50.0000000000).7-Jan-2019 18:27:027.374528e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   12   2   0    5      3      2.498515 1.682672   4.697102 0.634325   5.446646 2.552172   6  
   2  3   12   1   0    4      4      8.494709 1.315968  10.326862 0.107135  10.543407 3.451546   6  
   3  2   12   4   0    2      2     14.490879 0.749762  15.756746 0.258456  16.123243 3.867868   6  
   4  1   12   4   0    5      5     20.487078 0.866152  21.869519 0.000995  21.986119 4.001124   6  
   5  4   12   2   0    5      3     26.499915 0.849739  27.865702 0.085246  28.065588 3.934449   6  
   6  2   12   4   0    5      7     32.512755 0.732995  33.761963 0.005356  33.878557 4.134528   6  
   7  4   12   4   1    5      6     38.508930 0.799509  39.824771 0.050801  39.991332 4.017930   6  
   8  2   12   2   1    4      4     44.505111 1.066063  46.087459 0.575775  46.770356 3.235090   6  
   9  2   12   2   1    3      1     50.501316 1.565820  52.583309 0.322397  53.016374 2.985264   6  
  10  4   12   4   1    5      7     56.497492 0.666262  57.680072 0.498130  58.296358 3.701458   6  
  11  3   12   4   0    3      3     62.510333 1.582557  64.608997 0.462974  65.191964 2.818713   6  
  12  2   12   4   0    5      6     68.506532 0.582966  69.605820 0.930230  70.655172 3.351681   6  
  13  4   12   4   1    6      2     74.502711 0.733014  75.751916 0.447396  76.318221 3.684811   6  
  14  4   12   4   1    6      2     80.498889 0.583130  81.598202 0.317612  82.031265 3.967901   6  
  15  1   12   4   0    6      6     86.495088 0.649880  87.661006 0.262884  88.044099 3.951215   6  
  16  2   12   4   0    1      1     92.491275 2.215458  95.222860 0.382052  95.722543 2.268923   6  
  17  2   12   4   0    5      3     98.487449 0.649782  99.653371 0.979610 100.752693 3.234908   6  
  18  3   12   3   1    1      1    104.516946 2.148823 107.181896 0.262930 107.565012 2.452265   6  
  19  4   12   4   1    5      6    110.513149 0.849712 111.878939 0.761841 112.761718 3.251749   6  
  20  4   12   4   1    6      6    116.509318 0.699786 117.725214 0.568990 118.408140 3.601513   6  
  21  3   12   3   1    5      6    122.505517 0.832915 123.854651 0.522034 124.487595 3.518236   6  
  22  1   12   1   1    3      5    128.501703 1.082814 130.100696 0.712441 130.933487 3.068535   6  
