%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at heruisi (       50.0000000000).7-Jan-2019 17:54:217.374527e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   12   4   0    4    2.498868 1.716509   4.364689 1.106920   5.597464 2.401616   6  
   2  3   12   2   0    1    8.496145 1.333135   9.995474 1.002334  11.111636 2.884669   6  
   3  3   12   3   1    1   14.493436 1.283356  15.909365 0.720761  16.742410 3.251132   6  
   4  3   12   2   0    8   20.490727 1.349770  22.006708 0.815522  22.939617 3.051149   6  
   5  3   12   2   0    1   26.504651 1.300152  27.953900 0.548810  28.620370 3.384517   6  
   6  4   12   4   1    4   32.501945 1.650216  34.317786 0.385843  34.817561 3.184620   6  
   7  2   12   2   1    8   38.499227 1.016886  39.648716 0.362419  40.131826 3.867637   6  
   8  3   12   3   1    4   44.496512 1.383243  46.012443 0.932166  47.062015 2.934727   6  
   9  2   12   4   0    4   50.493786 1.316688  51.943058 0.260084  52.326303 3.667724   6  
  10  2   12   2   1    1   56.491074 1.333251  57.973654 0.721289  58.823350 3.167918   6  
  11  1   12   3   0    1   62.488364 1.666566  64.287556 0.806511  65.220464 2.768029   6  
  12  3   12   1   0    1   68.485646 1.399926  70.034860 0.373838  70.534724 3.450994   6  
  13  1   12   3   0    3   74.516238 1.333291  75.982251 0.535383  76.631974 3.384492   6  
  14  3   12   1   0    1   80.513538 1.116817  81.762960 0.416309  82.296061 3.717699   6  
  15  1   12   1   1    8   86.510801 1.316663  87.976637 0.492003  88.593200 3.417837   6  
  16  1   12   3   0    1   92.508091 1.183361  93.840714 0.937401  94.890345 3.117986   6  
  17  4   12   4   1    4   98.505375 1.483289 100.154580 0.253182 100.521139 3.484469   6  
  18  1   12   2   0    6  104.502667 0.866905 105.535507 0.927549 106.585047 3.417824   6  
  19  3   12   3   1    4  110.499944 1.266838 111.932626 1.104772 113.165407 2.834685   6  
  20  2   12   2   1    8  116.497221 0.900155 117.563414 0.561169 118.246438 3.750879   6  
  21  3   12   3   1    1  122.511165 1.200120 123.843809 0.457199 124.426976 3.584422   6  
  22  2   12   2   1    8  128.508453 1.016799 129.674599 0.481762 130.274317 3.734354   6  
  23  2   12   4   0    1  134.505735 1.133373 135.755175 0.769360 136.638101 3.367865   6  
  24  2   12   2   1    1  140.503010 1.016689 141.685817 0.522519 142.335520 3.667724   6  
  25  2   12   2   1    6  146.500295 1.049978 147.716326 1.005657 148.849235 3.151292   6  
  26  3   12   3   1    4  152.497575 1.316712 153.946799 1.340580 155.412927 2.584870   6  
  27  4   12   2   0    2  158.494857 0.983434 159.627685 1.219809 160.960412 3.034626   6  
  28  3   12   3   1    8  164.492154 1.016930 165.658297 0.962725 166.741132 3.251136   6  
  29  2   12   2   1    8  170.489426 0.766827 171.405688 0.473189 172.005409 3.984079   6  
  30  1   12   1   1    1  176.503384 1.283316 177.902742 0.459465 178.485812 3.517788   6  
  31  4   12   2   0    6  182.500658 0.966737 183.650146 0.778711 184.549728 3.451152   6  
  32  2   12   2   1    7  188.497931 0.733540 189.364215 0.730587 190.213842 3.784330   6  
  33  4   12   4   1    5  194.495218 1.333320 195.944570 0.702571 196.760862 3.234583   6  
  34  1   12   4   0    5  200.492502 1.416646 202.041801 0.466240 202.624881 3.367850   6  
  35  4   12   1   0    1  206.506438 1.716531 208.372176 0.754858 209.255200 2.751429   6  
  36  2   12   2   1    3  212.503731 1.116728 213.786484 1.006926 214.919301 3.084578   6  
  37  4   12   3   0    4  218.501013 1.599742 220.233462 1.349924 221.699558 2.301535   6  
  38  4   12   1   0    1  224.514948 1.499861 226.164214 0.847065 227.130442 2.884737   6  
  39  3   12   3   1    3  230.512239 1.383235 232.044879 1.415713 233.577521 2.434946   6  
  40  4   12   2   0    6  236.509530 1.250024 237.925548 1.349392 239.391554 2.618195   6  
  41  1   12   1   1    3  242.506796 1.599928 244.272672 1.448129 245.838628 2.168417   6  
  42  4   12   4   1    4  248.504077 1.683259 250.336546 0.249539 250.703097 3.301224   6  
  43  2   12   2   1    6  254.501362 1.216731 255.850597 0.924181 256.900279 3.101304   6  
  44  2   12   4   0    3  260.498655 1.249885 261.881218 0.689940 262.697654 3.301148   6  
  45  2   12   3   0    4  266.495941 1.599869 268.245151 1.323674 269.694497 2.301540   6  
  46  3   12   1   0    1  272.509874 1.549886 274.242445 0.568152 274.925445 3.084664   6  
  47  2   12   2   1    8  278.507165 0.933311 279.589890 0.850039 280.556230 3.451160   6  
  48  1   12   3   0    3  284.504449 1.366724 286.003597 0.915842 287.036629 2.968044   6  
  49  4   12   2   0    1  290.501719 1.666398 292.350897 0.983288 293.450389 2.551565   6  
  50  2   12   3   0    1  296.499015 1.933073 298.581275 0.760590 299.464338 2.534910   6  
  51  4   12   3   0    1  302.496298 1.433406 304.112238 0.648334 304.878550 3.117992   6  
  52  4   12   4   1    4  308.493575 1.633323 310.309422 0.328191 310.759233 3.234525   6  
  53  2   12   2   1    8  314.490854 0.900214 315.557048 0.599966 316.273387 3.717604   6  
  54  4   12   4   1    4  320.488135 1.749766 322.370631 0.304319 322.803760 3.184458   6  
  55  4   12   3   0    1  326.502092 1.649918 328.301274 0.882712 329.300816 2.701501   6  
  56  1   12   4   0    4  332.499379 1.683141 334.331714 0.195311 334.648390 3.351198   6  
  57  2   12   1   0    1  338.496646 1.733001 340.395754 0.345190 340.862241 3.134634   6  
  58  2   12   2   1    8  344.510584 0.966776 345.643329 0.521595 346.293118 3.717708   6  
  59  4   12   4   1    4  350.507870 1.166787 351.790633 0.249768 352.157132 3.850974   6  
  60  1   12   4   0    1  356.505161 1.516602 358.187733 1.002998 359.303891 2.701465   6  
  61  4   12   4   1    4  362.502441 1.399924 364.051740 0.196271 364.368270 3.634326   6  
  62  4   12   4   1    4  368.499726 1.449701 370.082316 0.230241 370.432187 3.567634   6  
  63  3   12   1   0    4  374.513659 1.533033 376.179586 1.209799 377.512302 2.501590   6  
  64  3   12   3   1    4  380.510952 1.799815 382.543371 0.799731 383.476269 2.534919   6  
  65  1   12   2   0    4  386.508233 1.199895 387.874242 0.983314 388.973782 3.034684   6  
  66  1   12   1   1    1  392.505510 1.200168 393.888228 0.760977 394.771157 3.234583   6  
  67  1   12   3   0    1  398.502794 1.616325 400.285330 1.073944 401.484779 2.518256   6  
  68  1   12   1   1    1  404.500084 1.866342 406.549160 0.399105 407.065584 2.934715   6  
  69  3   12   3   1    3  410.497364 1.433132 412.079895 0.561774 412.763007 3.234520   6  
  70  3   12   1   0    1  416.494653 1.316702 417.977307 0.448579 418.543728 3.451041   6  
  71  3   12   1   0    1  422.491932 1.499903 424.157856 0.367515 424.640974 3.351018   6  
  72  1   12   1   1    1  428.505870 1.616594 430.305054 0.793282 431.221304 2.784804   6  
  73  1   12   4   0    4  434.503147 1.766371 436.418960 0.290707 436.818780 3.184597   6  
  74  1   12   2   0    1  440.500447 1.816454 442.482803 0.618335 443.215869 2.784805   6  
  75  3   12   4   0    4  446.497724 1.950491 448.613435 0.194337 448.929958 3.067989   6  
  76  3   12   4   0    4  452.495007 1.733272 454.360835 0.342362 454.827278 3.167949   6  
  77  2   12   2   1    8  458.492291 0.833374 459.491839 0.418145 460.024925 3.967541   6  
  78  2   12   1   0    1  464.489571 1.949664 466.605283 0.756957 467.488216 2.501489   6  
  79  1   12   4   0    2  470.486858 1.733152 472.369335 1.386160 473.868659 2.118274   6  
  80  1   12   2   0    6  476.500804 0.983439 477.616854 0.694361 478.433252 3.567774   6  
  81  2   12   2   1    7  482.514741 1.050010 483.697405 0.936039 484.747058 3.267909   6  
  82  4   12   4   1    6  488.512019 1.383365 490.044660 0.717823 490.877618 3.134656   6  
  83  4   12   4   1    4  494.509312 1.483221 496.125240 1.363023 497.607893 2.401635   6  
  84  1   12   4   0    1  500.506579 1.866334 502.522346 0.571122 503.222024 2.784793   6  
  85  1   12   1   1    1  506.503875 1.899868 508.586227 0.393076 509.102701 2.901372   6  
  86  4   12   4   1    1  512.501158 1.399915 514.050372 0.928414 515.099972 2.901337   6  
  87  3   12   1   0    1  518.498428 1.300003 519.964430 0.248642 520.330941 3.667605   6  
  88  4   12   4   1    4  524.512373 1.333269 525.961720 1.077782 527.161187 2.851424   6  
  89  3   12   3   1    3  530.509654 1.616863 532.258867 1.087095 533.474984 2.534902   6  
  90  4   12   4   1    5  536.506948 1.033416 537.723068 0.749960 538.589334 3.417840   6  
]; % This session completes at 27-Jan-2019 18:03:51, 546.257s after session start, 540s on 90 trials, totally 570.045s.

