%% MetaTwins_RDMsc_training for 'heruisi': starting at _feedback (       50.0000000000).7-Jan-2019 16:52:35 for '7.374527e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  31  2    2   1    0    8    2.499066   0    0  1.716558   4.381549 1.219735   5.714283 0.999545   6.713828   7.713367 1.285929   7  
   2  31  3    4   0    0    8    9.495899   0    0  2.249601  11.894779 0.863469  12.877704 0.999541  13.877245  14.876789 1.119316   7  
   3  31  4    4   1    0    8   16.492736   0    0  2.116270  18.741610 0.894278  19.757915 0.999549  20.757464  21.757021 1.235891   7  
   4  31  3    3   1    0    8   23.489563   0    0  2.133033  25.771863 0.529596  26.421559 0.999553  27.421112  28.420667 0.569049   6  
   5  27  1    1   1    0    8   29.503506   0    0  1.666530  31.336006 0.425418  31.885756 0.999545  32.885301  33.884856 1.118789   6  
   6  27  2    2   1    0    8   35.500789   0    0  1.383332  37.033282 0.925977  38.082955 0.999544  39.082499  40.082036 0.918868   6  
   7  24  1    1   1    0    8   41.498066   0    0  1.333260  43.030708 0.353116  43.497154 0.999557  44.496711  45.496261 0.501901   5  
   8  24  1    1   1    0    8   46.495800   0    0  1.666573  48.361627 0.278540  48.761451 0.999528  49.760979  50.760545 1.235330   6  
   9  21  4    4   1    0    8   52.493089   0    0  1.533238  54.175512 0.372615  54.675423 0.999562  55.674986  56.674523 1.318618   6  
  10  21  4    4   1    0    8   58.507026   0    0  1.833272  60.472757 0.270386  60.855971 0.999545  61.855516  62.855055 1.152201   6  
  11  18  4   -1   0    0    3   64.504305   0    0  0.000000  67.019844 0.090295  67.236404 0.999548  68.235953  69.235497 0.769043   6  
  12  18  4    4   1    0    8   70.501585   0    0  2.266175  72.933822 0.274761  73.333639 0.999549  74.333188  75.332736 0.669085   6  
  13  18  2    2   1    0    8   76.498868   0    0  1.149938  77.798285 0.268686  78.181448 0.999544  79.180992  80.180535 0.818568   5  
  14  16  3    3   1    0    8   81.513271   0    0  2.416204  84.078770 0.288413  84.495253 0.999542  85.494795  86.494347 0.519159   6  
  15  16  4   -1   0    0    3   87.510557   0    0  0.000000  90.026108 0.330155  90.475880 0.999541  91.475421  92.474979 0.535800   6  
  16  16  2    2   1    0    8   93.507846   0    0  1.766487  95.390151 0.441827  95.956738 0.999535  96.956273  97.955818 1.052242   6  
