%% MetaTwinsTri_behave_Conf for '_guess': starting at zhanglu (       50.0000000000).5-Feb-2019 17:28:477.374817e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   9    2   1    5      7      2.498865 1.316432   4.331379 0.346312   4.797828 3.201266   6  
   2  2   9    2   1    6      8      8.496160 0.833928   9.845551 0.264697  10.228721 3.767661   6  
   3  4   9    4   1    6      6     14.493430 1.599638  16.609137 0.126788  16.842366 3.151291   6  
   4  2   9    2   1    5      3     20.507354 1.949845  22.972925 0.121223  23.206163 2.801437   6  
   5  1   9    1   1    5      4     26.504652 1.866080  28.886904 0.715417  29.719867 2.285012   6  
   6  3   9    3   1    5      5     32.501941 1.666875  34.684233 0.287117  35.084101 2.918052   6  
   7  3   9    3   1    5      6     38.499220 1.399681  40.415009 0.381924  40.914783 3.084663   6  
   8  4   9    4   1    5      6     44.496515 1.650002  46.662194 0.242033  47.012027 2.984701   6  
   9  1   9    1   1    6      6     50.510437 1.332983  52.359608 0.000909  52.476223 3.534453   6  
  10  3   9    2   0    7      8     56.507726 1.016839  58.040363 0.863974  59.023260 2.984688   6  
  11  3   9    3   1    6      5     62.504995 1.249802  64.270891 0.023801  64.404167 3.601068   6  
  12  4   9    4   1    6      6     68.502301 1.183390  70.201519 0.924824  71.234379 2.768141   6  
  13  1   9    1   1    7      6     74.499570 1.033145  76.048866 1.105074  77.264978 2.734811   6  
  14  3   9    3   1    5      3     80.496842 1.699542  82.712514 0.371823  83.195628 2.801473   6  
  15  4   9    4   1   -1      2     86.510801 1.999656  89.026309 0.000000  90.075833 1.935206   6  
  16  2   9    2   1    4      3     92.508061 1.966069  94.990287 0.796464  95.906528 2.101764   6  
  17  4   9    4   1    4      2     98.505361 1.999816 101.020890 0.440564 101.570637 2.434943   6  
  18  2   9    2   1    5      3    104.502632 1.816033 106.834902 0.290073 107.234714 2.768144   6  
  19  1   9    1   1    5      4    110.499918 1.450007 112.465668 0.009574 112.582319 3.417820   6  
  20  1   9    1   1    6      6    116.513853 1.133182 118.163102 0.629186 118.912767 3.101312   6  
  21  1   9    1   1    6      5    122.511136 1.383394 124.410284 0.712741 125.243236 2.768149   6  
  22  1   9    1   1    7      7    128.508409 1.199750 130.224315 0.529920 130.874006 3.134630   6  
  23  4   9    4   1    6      6    134.505704 1.167018 136.188272 0.488182 136.788007 3.217933   6  
  24  2   9    2   1    7      7    140.502984 0.783285 141.802414 0.618827 142.535396 3.467796   6  
  25  1   9    1   1    5      7    146.516910 1.532888 148.565989 0.216571 148.899165 3.117985   6  
  26  1   9    1   1    6      7    152.514204 1.266897 154.296726 0.772747 155.179656 2.834805   6  
  27  4   9    4   1    6      8    158.494822 0.916642 159.927511 0.608845 160.643836 3.351052   6  
  28  3   9    3   1    7      6    164.492099 1.049894 166.058058 0.597681 166.774390 3.217920   6  
  29  2   9    2   1    5      6    170.489397 1.366752 172.371873 0.122028 172.605103 3.384507   6  
  30  3   9    3   1    5      7    176.486658 1.132943 178.135927 0.693933 178.935554 3.051224   6  
  31  1   9    1   1    4      6    182.500633 1.666731 184.682973 0.804399 185.599214 2.401598   6  
  32  4   9    4   1    5      7    188.497881 1.382840 190.397022 0.154324 190.663565 3.334435   6  
  33  2   9    2   1    5      7    194.495172 1.233745 196.244383 0.186349 196.544242 3.451153   6  
  34  4   9    4   1    4      3    200.492449 1.799450 202.808087 0.086304 203.007978 2.984605   6  
  35  3   9    3   1    6      4    206.489741 1.033620 208.039030 0.234619 208.388882 3.601072   6  
  36  3   9    3   1    5      4    212.503671 1.399702 214.419459 0.438756 214.969217 3.034598   6  
  37  4   9    4   1    6      6    218.500955 1.566848 220.583341 0.501009 221.199753 2.801429   6  
  38  1   9    1   1    6      7    224.498220 1.266455 226.280764 0.236971 226.630619 3.367792   6  
  39  2   9    2   1    6      8    230.495516 0.816989 231.828254 0.619903 232.561249 3.434502   6  
  40  3   9    3   1    5      5    236.492792 1.283040 238.291974 0.872368 239.274878 2.718115   6  
  41  2   9    2   1    7      8    242.506743 0.700672 243.722870 0.607469 244.439194 3.567767   6  
  42  3   9    3   1    5      5    248.504004 1.566311 250.586402 0.000878 250.703024 3.301209   6  
  43  2   9    2   1    5      5    254.501307 1.283361 256.300494 0.556499 256.966898 3.034627   6  
  44  1   9    1   1    6      7    260.498569 1.183225 262.197807 0.973072 263.280656 2.718156   6  
  45  1   9    1   1    5      7    266.495870 1.200326 268.211755 0.380787 268.711532 3.284571   6  
  46  2   9    2   1    4      6    272.493134 1.433048 274.442250 0.865041 275.425130 2.568239   6  
  47  4   9    1   0    4      6    278.507095 1.566921 280.589474 0.838759 281.539055 2.468243   6  
  48  2   9    2   1    5      6    284.504365 1.316443 286.336866 0.685341 287.136497 2.868087   6  
  49  3   9    2   0    5      7    290.501649 0.850327 291.867700 1.134508 293.117127 2.884726   6  
  50  3   9    3   1    4      3    296.498923 1.816175 298.831200 0.726042 299.664157 2.334998   6  
  51  1   9    1   1    5      3    302.496213 1.483234 304.495305 0.789973 305.394891 2.601542   6  
  52  4   9    4   1    6      4    308.510143 1.382906 310.409282 0.482069 311.009019 3.001354   6  
  53  4   9    4   1    4      4    314.507439 1.699884 316.723102 0.968221 317.805934 2.201726   6  
  54  4   9    4   1    5      6    320.504698 1.083018 322.103985 0.266848 322.487140 3.517803   6  
  55  3   9    3   1    4      3    326.501998 1.933339 328.950882 0.082836 329.150798 2.851441   6  
  56  4   9    4   1    5      6    332.499276 1.199826 334.215186 0.793271 335.114757 2.884736   6  
  57  3   9    3   1    4      4    338.513218 1.450086 340.479002 0.428648 341.028747 2.984719   6  
  58  1   9    1   1    5      6    344.510474 1.232954 346.259703 0.154216 346.526253 3.484466   6  
  59  2   9    4   0    6      5    350.507784 1.383367 352.406928 0.626316 353.139921 2.868107   6  
  60  2   9    2   1    5      6    356.505048 1.249578 358.270913 0.421196 358.804010 3.201266   6  
]; % This session completes at 25-Feb-2019 17:35:08, 364.003s after session start, 360s on 60 trials, totally 380.391s.

