%% MetaTwins_RDMsc_training for 'zhanglu': starting at _feedback (       50.0000000000).5-Feb-2019 16:13:03 for '7.374817e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1 100  1    1   1    0    7    2.498903   0    0  1.036027   3.698363 1.794690   5.614152 0.999527   6.613679   7.613243 1.385892   7  
   2 100  4   -1   0    0    4    9.495723   0    0  0.000000  12.011259 0.502340  12.627631 0.999566  13.627197  14.626739 1.369128   7  
   3 100  2    2   1    0    7   16.492571   0    0  1.151936  17.858602 0.640306  18.608272 0.999545  19.607817  20.607352 1.385460   6  
   4  90  3    4   0    0    5   22.506493   0    0  0.900251  23.539364 1.225751  24.872089 0.999556  25.871645  26.871189 1.135541   6  
   5  90  1    1   1    0    7   28.503772   0    0  0.850026  29.536649 0.932952  30.586164 0.999542  31.585706  32.585274 1.418746   6  
   6  90  3    3   1    0    5   34.501054   0    0  1.150303  35.833805 0.880158  36.833325 0.999554  37.832879  38.832440 1.168850   6  
   7  81  1    1   1    0    5   40.498341   0    0  0.784668  41.464597 0.388048  41.964280 0.999613  42.963894  43.963416 1.035162   5  
   8  81  2    2   1    0    5   45.496066   0    0  0.933661  46.595609 0.297484  47.012043 0.999559  48.011602  49.011156 0.985139   5  
   9  72  3    3   1    0    5   50.493819   0    0  0.884428  51.576655 0.186636  51.876519 0.999554  52.876074  53.875619 1.118431   5  
  10  72  3    3   1    0    5   55.491533   0    0  0.700300  56.324521 0.286383  56.724312 0.999552  57.723864  58.723409 1.268342   5  
  11  64  1   -1   0    0   -1   60.505945   0    0  0.000000  63.021472 0.000000  65.020566 0.999519  66.020085  67.019645 0.986528   8  
  12  64  3    3   1    0    5   68.502304   0    0  0.833526  69.468562 0.362305  69.951651 0.999549  70.951200  71.950756 1.051659   5  
  13  64  1    1   1    0    5   73.500049   0    0  0.617893  74.249705 0.165943  74.532924 0.999533  75.532457  76.532004 1.468257   5  
  14  57  2    2   1    0    5   78.514430   0    0  0.633616  79.280714 0.046203  79.430686 0.999556  80.430242  81.429787 0.584875   4  
  15  57  3    3   1    0    5   82.512638   0    0  0.684682  83.328928 0.042343  83.478857 0.999553  84.478410  85.477954 0.534918   4  
  16  51  3    3   1    0    5   86.510805   0    0  0.783447  87.460421 0.040880  87.610306 0.999549  88.609856  89.609400 1.401643   5  
  17  51  1    1   1    0    5   91.508554   0    0  0.568025  92.191576 0.108252  92.408136 0.999557  93.407693  94.407249 0.601525   4  
  18  45  4    4   1    0    5   95.506721   0    0  0.983548  96.639583 0.061210  96.806161 0.999532  97.805693  98.805238 1.201715   5  
  19  45  4    4   1    0    5  100.504476   0    0  0.767691 101.387408 0.034059 101.537337 0.999553 102.536890 103.536427 1.468269   5  
  20  40  1    1   1    0    5  105.502198   0    0  0.616985 106.235199 0.056085 106.401799 0.999546 107.401345 108.400885 0.601552   4  
  21  40  1    1   1    0    5  109.500399   0    0  0.634927 110.250065 0.033413 110.399990 0.999554 111.399544 112.399086 0.601541   4  
  22  36  4    4   1    0    5  113.498565   0    0  0.967001 114.614748 0.055095 114.781333 0.999544 115.780877 116.780444 1.218312   5  
  23  36  2    2   1    0    5  118.496314   0    0  0.667751 119.279301 0.057896 119.445896 0.999544 120.445440 121.444984 0.551560   4  
  24  32  2    2   1    0    5  122.494495   0    0  0.583671 123.194178 0.096946 123.410746 0.999554 124.410300 125.409854 0.584751   4  
  25  32  4    3   0    0    4  126.492700   0    0  0.800948 127.408940 0.009400 127.525564 0.999547 128.525112 129.524638 1.468253   5  
  26  32  3    3   1    0    5  131.507066   0    0  0.816751 132.440041 0.145620 132.706533 0.999547 133.706080 134.705627 1.301679   5  
  27  32  2    2   1    0    5  136.504820   0    0  0.917640 137.554342 0.110603 137.770912 0.999555 138.770467 139.770008 1.235059   5  
  28  28  2    2   1    0    5  141.502565   0    0  0.766761 142.385500 0.101100 142.602067 0.999528 143.601595 144.601137 1.401642   5  
  29  28  1    1   1    0    5  146.500303   0    0  0.600613 147.266599 0.146364 147.533157 0.999518 148.532674 149.532244 1.468265   5  
  30  25  3    3   1    0    5  151.498007   0    0  0.950118 152.564218 0.023871 152.697469 0.999553 153.697022 154.696571 1.301676   5  
  31  25  1    1   1    0    5  156.495753   0    0  0.552206 157.195464 0.091751 157.395357 0.999553 158.394910 159.394445 0.601533   4  
  32  22  2    2   1    0    5  160.493932   0    0  0.550374 161.160153 0.092734 161.360222 0.999552 162.359774 163.359313 0.634842   4  
  33  22  3    3   1    0    5  164.492143   0    0  0.734860 165.341795 0.112906 165.574977 0.999545 166.574521 167.574075 1.418290   5  
  34  19  4    4   1    0    5  169.489852   0    0  0.750191 170.356130 0.165951 170.639328 0.999565 171.638893 172.638432 1.351579   5  
  35  19  1    1   1    0    5  174.487595   0    0  0.517785 175.170629 0.092386 175.370528 0.999550 176.370078 177.369623 0.618207   4  
  36  17  4    4   1    0    5  178.502432   0    0  0.783637 179.418707 0.193570 179.718550 0.999559 180.718109 181.717645 1.284883   5  
  37  17  1    1   1    0    5  183.516842   0    0  0.651156 184.316501 0.130076 184.566367 0.999548 185.565915 186.565463 1.451600   5  
  38  15  4    4   1    0    5  188.514561   0    0  0.700287 189.347537 0.167637 189.630731 0.999551 190.630281 191.629853 1.384940   5  
  39  15  4    4   1    0    5  193.512317   0    0  0.734810 194.361936 0.127967 194.595145 0.999562 195.594706 196.594240 1.418321   5  
  40  14  4    4   1    0    5  198.510034   0    0  0.650279 199.276366 0.167409 199.559558 0.999547 200.559105 201.558652 1.451603   5  
  41  14  2    4   0    0    5  203.507784   0    0  0.584769 204.207364 0.177031 204.490671 0.999541 205.490212 206.489762 0.518247   4  
  42  14  3    4   0    0    5  207.505947   0    0  1.283268 208.905350 0.381679 209.405091 0.999552 210.404642 211.404206 0.601985   5  
