%% MetaTwins_RDMsc_training for 'zhanglu': starting at _nofeedback (       50.0000000000).5-Feb-2019 16:34:00 for '7.374817e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  2    2   1    0    5    2.498900   0    0  1.433310   4.064879 0.879729   5.064402  0   0    5.064402 0.934721   4  
   2  20  2    2   1    0    6    6.497088   0    0  1.533252   8.196276 1.056968   9.362455  0   0    9.362455 0.634862   4  
   3  18  3    3   1    0    7   10.495263   0    0  1.183445  11.794691 0.777382  12.677622  0   0   12.677622 1.317876   4  
   4  18  1    1   1    0    6   14.493446   0    0  1.533221  16.159318 1.521577  17.791958  0   0   17.791958 1.201715   5  
   5  16  4    4   1    0    5   19.507855   0    0  1.100994  20.723978 0.883537  21.723519  0   0   21.723519 1.284565   4  
   6  16  4    4   1    0    5   23.506035   0    0  1.683197  25.305222 0.469234  25.888290  0   0   25.888290 1.117970   4  
   7  14  1    3   0    0    6   27.504221   0    0  1.350316  28.986891 0.880564  29.986446  0   0   29.986446 1.018018   4  
   8  14  2    2   1    0    5   31.502417   0    0  1.133405  32.751857 0.510413  33.368230  0   0   33.368230 0.634409   3  
   9  14  3    3   1    0    6   34.501049   0    0  1.733173  36.350219 1.434841  37.899520  0   0   37.899520 1.101768   5  
  10  13  2    3   0    0    5   39.498784   0    0  1.283332  40.898151 0.535610  41.547851  0   0   41.547851 1.451156   4  
  11  13  2    2   1    0    6   43.496987   0    0  1.484517  45.096252 0.989670  46.195767  0   0   46.195767 0.801439   4  
  12  13  2    2   1    0    7   47.495170   0    0  1.135046  48.744643 1.352830  50.210605  0   0   50.210605 0.784789   4  
  13  12  3    3   1    0    5   51.493349   0    0  0.833475  52.442920 0.864416  53.425815  0   0   53.425815 0.567763   3  
  14  12  3    1   0    0    5   54.508655   0    0  1.399990  56.024636 1.376421  57.507286  0   0   57.507286 0.501596   4  
  15  12  1    3   0    0    6   58.506832   0    0  1.350086  59.972784 1.388545  61.472163  0   0   61.472163 0.534905   4  
  16  13  1    1   1    0    5   62.505040   0    0  1.200950  63.821102 1.752918  65.686919  0   0   65.686919 1.318360   5  
  17  13  4    4   1    0    6   67.502762   0    0  1.299971  68.935466 0.948947  70.001622  0   0   70.001622 1.001366   4  
  18  12  3    3   1    0    5   71.500947   0    0  1.118046  72.733736 1.430311  74.283019  0   0   74.283019 0.718162   4  
  19  12  2    4   0    0    6   75.499127   0    0  1.666548  77.281658 0.773382  78.164590  0   0   78.164590 0.834777   4  
  20  12  2    1   0    0    7   79.497341   0    0  0.933496  80.546859 1.106086  81.762963  0   0   81.762963 1.234584   4  
  21  13  4    4   1    0    6   83.495499   0    0  1.050135  84.661641 0.887525  85.661203  0   0   85.661203 1.334522   4  
  22  13  3    3   1    0    7   87.493716   0    0  1.018778  88.626525 0.571422  89.309549  0   0   89.309549 0.684398   3  
  23  12  4    4   1    0    6   90.509007   0    0  1.201307  91.841750 0.733329  92.691343  0   0   92.691343 1.317884   4  
  24  12  1    1   1    0    5   94.507174   0    0  0.850259  95.490077 0.598366  96.206404  0   0   96.206404 0.801012   3  
