%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at lipeifan (       48.0000000000).2-Mar-2019 12:28:577.374865e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   13   3   0   -1      6      2.498901 1.250979   4.264751 0.000000   6.263741 1.735369   6  
   2  2   13   4   0    3      3      8.496165 1.999684  11.011685 0.951264  12.077864 1.918511   6  
   3  4   13   4   1    5      7     14.493432 1.133332  16.142685 0.612807  16.875688 3.117985   6  
   4  2   13   3   0    5      4     20.490712 1.533045  22.539777 1.302561  23.955795 2.035081   6  
   5  3   13   3   1    6      5     26.504641 1.133345  28.153894 1.467933  29.736500 2.268291   6  
   6  3   13   3   1    5      5     32.501910 1.599713  34.617619 0.647314  35.383927 2.618119   6  
   7  2   13   4   0    6      4     38.499190 1.816333  40.831448 0.972059  41.914296 2.084989   6  
   8  1   13   3   0    6      4     44.496459 2.082867  47.095269 0.742703  47.961535 2.035006   6  
   9  3   13   3   1    5      5     50.493718 1.433156  52.442832 0.314113  52.875976 3.117813   6  
  10  4   13   4   1    7      5     56.507648 1.466535  58.490082 0.917593  59.522944 2.484940   6  
  11  1   13   4   0    6      5     62.504929 1.649744  64.670611 0.782184  65.570202 2.434952   6  
  12  1   13   3   0    7      4     68.502194 1.816290  70.834469 1.014756  71.967294 2.035123   6  
  13  3   13   3   1    3      5     74.499451 1.649843  76.665145 0.852258  77.631374 2.368317   6  
  14  4   13   4   1    4      6     80.513398 1.499845  82.529131 1.405043  84.045125 1.968496   6  
  15  1   13   4   0    4      5     86.510657 1.716439  88.742989 0.902816  89.759191 2.251698   6  
  16  4   13   2   0   -1      4     92.507932 1.982992  95.006787 0.000000  97.005838 1.002329   6  
  17  3   13   3   1    5      5     98.505207 1.816217 100.837474 0.798060 101.753723 2.251711   6  
  18  1   13   1   1    4      3    104.502475 1.999533 107.018004 1.205627 108.334071 1.668637   6  
  19  3   13   3   1    2      5    110.499735 1.349909 112.365575 1.070056 113.548353 2.451622   6  
  20  1   13   3   0    6      3    116.497012 1.766294 118.779306 1.161236 120.062055 1.935186   6  
  21  3   13   3   1    6      5    122.494284 1.549695 124.559995 0.887962 125.559565 2.434960   6  
  22  1   13   3   0    5      4    128.508216 2.082828 131.107040 0.275889 131.490202 2.518247   6  
  23  1   13   2   0    4      2    134.505487 2.299324 137.320872 0.001299 137.437482 2.568238   6  
  24  3   13   3   1    4      5    140.502761 1.732976 142.751733 1.164174 144.034490 1.968494   6  
  25  4   13   4   1    7      7    146.500025 1.366650 148.382505 1.213291 149.715236 2.285006   6  
  26  4   13   4   1    6      7    152.497295 1.416459 154.429767 0.512456 155.062792 2.934708   6  
  27  2   13   4   0    6      6    158.494574 1.616478 160.626931 1.098839 161.843043 2.151710   6  
  28  3   13   3   1    5      6    164.491850 1.383165 166.390976 1.090478 167.590432 2.401562   6  
  29  3   13   1   0    4      3    170.489119 2.266017 173.271182 0.381974 173.770955 2.218293   6  
  30  1   13   3   0    4      4    176.503046 1.649727 178.668729 0.903003 179.684928 2.318244   6  
  31  1   13   2   0    5      3    182.500319 1.932908 184.949204 0.001417 185.065817 2.934600   6  
  32  3   13   3   1    3      3    188.497578 2.116327 191.129715 0.672281 191.912701 2.084967   6  
  33  1   13   3   0    3      3    194.494850 1.766451 196.777144 0.723199 197.610101 2.384808   6  
  34  4   13   4   1    1      7    200.508778 1.782960 202.807738 0.319979 203.240881 2.768129   6  
  35  4   13   4   1   -1      7    206.506046 1.549830 208.571791 0.000000 210.570802 1.435486   6  
  36  1   13   4   0    3      3    212.503324 1.682926 214.702326 0.832484 215.651904 2.351646   6  
  37  4   13   4   1    5      7    218.500592 1.099950 220.116525 1.313277 221.549204 2.451628   6  
  38  2   13   4   0    4      7    224.514528 1.233173 226.263736 0.648997 227.030053 2.984702   6  
  39  1   13   3   0    2      5    230.511792 1.583126 232.610843 0.878812 233.610391 2.401638   6  
  40  4   13   4   1    5      4    236.509074 1.733022 238.758038 0.300103 239.174517 2.834775   6  
  41  3   13   3   1    2      4    242.506329 1.782998 244.805291 0.937298 245.854822 2.151743   6  
  42  4   13   4   1    5      5    248.503604 1.433231 250.452720 0.684318 251.252365 2.751475   6  
  43  4   13   4   1    4      7    254.500872 1.949722 256.966423 0.449986 257.532839 2.468266   6  
  44  2   13   4   0    5      4    260.498140 1.883103 262.897046 0.447125 263.463478 2.534897   6  
  45  3   13   3   1    3      3    266.495420 1.100019 268.111353 0.420419 268.644449 3.351205   6  
  46  4   13   4   1    6      6    272.492694 1.716468 274.725010 0.367189 275.208131 2.784800   6  
  47  2   13   3   0    5      2    278.506612 1.799695 280.822239 1.015181 281.955054 2.051792   6  
  48  1   13   4   0    4      5    284.503886 1.816291 286.836169 0.927954 287.885689 2.118425   6  
  49  3   13   4   0    2      2    290.501165 1.416411 292.433600 0.427399 292.983374 3.017996   6  
  50  2   13   3   0    3      3    296.498437 1.649846 298.664118 0.344608 299.130578 2.868040   6  
  51  2   13   3   0    2      2    302.495700 1.533005 304.544783 1.240162 305.894163 2.101702   6  
  52  4   13   4   1    1      8    308.492972 1.133271 310.142219 0.771054 311.025162 2.967969   6  
  53  2   13   3   0    7      5    314.490255 1.449875 316.456026 0.419515 316.989109 3.001262   6  
  54  1   13   3   0    6      4    320.487523 1.433242 322.436631 0.468913 323.019705 2.967918   6  
  55  2   13   3   0    1      5    326.501458 2.333002 329.350145 0.519317 329.983201 2.018338   6  
  56  1   13   3   0    2      5    332.498711 1.499718 334.514472 0.803985 335.430718 2.568074   6  
  57  1   13   3   0    4      5    338.495989 1.349839 340.361803 0.483470 340.961536 3.034507   6  
  58  3   13   3   1    5      5    344.509917 1.916285 346.942147 0.176019 347.225349 2.784793   6  
  59  3   13   3   1    7      5    350.507182 1.499811 352.522937 0.523764 353.155989 2.851424   6  
  60  2   13   2   1    3      6    356.504465 1.399850 358.420263 0.647533 359.186573 2.818123   6  
  61  1   13   3   0    7      5    362.501732 1.766193 364.784025 1.033027 365.933504 2.068462   6  
  62  3   13   3   1    7      5    368.499009 1.249942 370.264865 0.733598 371.114468 2.884759   6  
  63  3   13   1   0    5      5    374.512934 1.499684 376.528681 1.262915 377.911380 2.101784   6  
  64  1   13   1   1    4      3    380.510209 1.866262 382.892440 0.865745 383.875343 2.135080   6  
  65  4   13   1   0    4      3    386.507481 1.966323 388.989677 0.436038 389.539432 2.468272   6  
  66  2   13   1   0    2      2    392.504742 1.816407 394.837010 0.707527 395.653311 2.351664   6  
  67  3   13   3   1    1      5    398.502021 1.366462 400.384487 0.288035 400.784323 3.217921   6  
  68  2   13   2   1    5      5    404.499279 1.782936 406.798232 0.841532 407.747811 2.251702   6  
  69  3   13   3   1    4      3    410.496547 1.383149 412.395690 1.050717 413.561823 2.434975   6  
  70  2   13   2   1    5      7    416.493815 1.099927 418.109757 1.004697 419.225918 2.768150   6  
  71  2   13   2   1    5      7    422.507762 1.199866 424.223640 0.774081 425.106582 2.901404   6  
  72  4   13   4   1    4      3    428.505017 1.882951 430.903938 0.473102 431.487017 2.518229   6  
  73  1   13   3   0    4      5    434.502299 2.032828 437.051133 1.292059 438.450503 1.552002   6  
  74  4   13   3   0    5      3    440.499560 1.833022 442.848506 0.533633 443.498213 2.501538   6  
  75  3   13   3   1    4      5    446.496832 1.366471 448.379308 0.444488 448.945723 3.051276   6  
  76  1   13   3   0    4      5    452.494123 1.533055 454.543184 0.937978 455.592704 2.401545   6  
  77  2   13   2   1    1      7    458.491388 1.433132 460.440486 0.448763 461.006916 2.984581   6  
  78  2   13   2   1    4      6    464.488654 1.749789 466.754287 0.351041 467.220743 2.768004   6  
  79  4   13   2   0    4      6    470.485932 1.333095 472.335081 0.312968 472.768212 3.217792   6  
  80  2   13   2   1    5      7    476.499844 1.266559 478.282377 0.822875 479.215283 2.784622   6  
  81  2   13   2   1    5      6    482.513778 1.299924 484.329617 0.251235 484.696127 3.317889   6  
  82  4   13   2   0    4      6    488.511047 1.566391 490.593434 0.990585 491.692947 2.318338   6  
  83  2   13   2   1    7      5    494.508330 1.183240 496.207548 0.813144 497.140471 2.868096   6  
  84  3   13   3   1    4      4    500.505598 1.982804 503.004458 1.039705 504.153933 1.851893   6  
  85  4   13   2   0    4      5    506.502858 2.382722 509.401548 0.936514 510.451070 1.552030   6  
  86  3   13   3   1    4      5    512.500135 1.166488 514.182701 1.096529 515.398819 2.601554   6  
  87  1   13   3   0    6      4    518.497410 1.383070 520.396535 0.948325 521.462726 2.534912   6  
  88  4   13   3   0    5      6    524.511334 1.399732 526.427122 0.393674 526.943567 3.068006   6  
  89  4   13   3   0    5      5    530.508615 1.533206 532.557673 0.198365 532.874197 3.134641   6  
  90  2   13   4   0    4      5    536.505875 2.016145 539.038049 0.401718 539.554495 2.451615   6  
]; % This session completes at 02-Mar-2019 12:38:24, 544.008s after session start, 540s on 90 trials, totally 567.746s.

