%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at lipeilu (       48.0000000000).2-Mar-2019 12:52:157.374865e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   10   4   0    5    2.498860 1.351688   3.964857 1.024766   5.097695 2.901393   6  
   2  1   10   2   0    3    8.496134 1.183431   9.812208 1.693561  11.611402 2.384935   6  
   3  4   10   4   1    5   14.493422 1.403473  16.009412 0.807246  16.925673 3.067931   6  
   4  2   10   4   0    5   20.490719 1.402020  22.006702 0.951691  23.072875 2.917981   6  
   5  1   10   2   0    4   26.487987 1.833398  28.470432 1.257681  29.836483 2.151649   6  
   6  3   10   4   0    4   32.501936 1.982794  34.634313 1.301904  36.050332 1.951707   6  
   7  4   10   2   0    3   38.499229 1.449751  40.065127 0.898614  41.081390 2.917907   6  
   8  2   10   4   0    5   44.513154 1.616349  46.279040 1.055518  47.445183 2.568202   6  
   9  3   10   3   1    5   50.510442 2.132953  52.759427 0.765643  53.642363 2.368311   6  
  10  1   10   4   0    5   56.507728 1.366710  58.007061 0.697009  58.823364 3.184601   6  
  11  3   10   2   0    3   62.504990 0.850672  63.487920 1.090733  64.687384 3.317854   6  
  12  1   10   2   0    2   68.502296 1.867981  70.501391 0.660380  71.267720 2.734811   6  
  13  3   10   3   1    5   74.499577 1.899856  76.532004 0.921974  77.564869 2.434938   6  
  14  2   10   3   0    2   80.496856 2.266154  82.929098 1.170980  84.211861 1.785234   6  
  15  2   10   2   1    5   86.510813 1.183342  87.810229 1.002367  88.926387 3.084648   6  
  16  2   10   4   0    2   92.508103 1.982925  94.607142 0.919534  95.640011 2.368310   6  
  17  2   10   4   0    5   98.505384 2.066362 100.721040 0.888812 101.720589 2.285017   6  
  18  3   10   2   0    5  104.502665 1.949603 106.601631 0.316109 107.034848 2.968044   6  
  19  2   10   2   1    3  110.499960 2.116239 112.765589 1.179464 114.065003 1.935168   6  
  20  4   10   4   1    7  116.497229 1.350367 117.979835 0.143007 118.229783 3.767649   6  
  21  1   10   2   0    3  122.494502 2.349351 124.976621 1.097988 126.192839 1.801837   6  
  22  4   10   4   1    5  128.491794 0.933705 129.557990 0.237917 129.907809 4.084146   6  
  23  2   10   4   0    3  134.489082 2.449386 137.054585 1.354411 138.520588 1.468614   6  
  24  1   10   3   0    5  140.503021 1.716294 142.335525 0.120068 142.568757 3.434361   6  
  25  3   10  -1   0    1  146.500316 0.000000 149.015860 0.374986 149.498960 2.501422   6  
  26  1   10   1   1    5  152.497587 1.966269 154.596646 1.119026 155.829418 2.168223   6  
  27  2   10   3   0    4  158.511527 2.182814 160.827072 1.128357 162.076586 1.935183   6  
  28  4   10   4   1    7  164.508812 1.283336 165.908189 1.101273 167.124304 2.884740   6  
  29  2   10   1   0    2  170.506104 1.782961 172.438520 1.011655 173.571373 2.434947   6  
  30  4   10   3   0    2  176.503379 1.799578 178.502497 1.114596 179.735247 2.268362   6  
  31  3   10   2   0    2  182.500670 1.933163 184.549689 0.527827 185.182786 2.818115   6  
  32  4   10   4   1    7  188.497952 1.000035 189.647394 0.779634 190.547025 3.451166   6  
  33  4   10   4   1    7  194.495240 1.716330 196.327705 0.663168 197.110711 2.884764   6  
