%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at xiajinjiao (       48.0000000000).2-Mar-2019 12:28:537.374865e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   9    3   0    7    2.498871 1.750266   4.381364 1.257514   5.747405 2.251687   6  
   2  3   9    4   0    6    8.496150 2.066408  10.678492 1.496948  12.294430 1.701901   6  
   3  1   9    2   0    5   14.493448 2.200405  16.825693 0.815779  17.758635 2.235040   6  
   4  1   9    3   0    7   20.490704 1.749933  22.356531 1.123830  23.589317 2.401534   6  
   5  2   9    4   0    6   26.488009 1.268201  27.870718 0.501314  28.487106 3.501123   6  
   6  4   9    2   0    6   32.501935 2.399468  35.034157 0.763327  35.917056 2.084968   6  
   7  3   9    2   0    7   38.515878 2.150910  40.814847 0.435830  41.364574 2.651534   6  
   8  2   9    2   1    5   44.513151 2.399474  47.028690 1.186539  48.328096 1.685281   6  
   9  4   9    2   0    7   50.510449 2.150432  52.809258 0.437192  53.359081 2.651584   6  
  10  4   9    1   0    5   56.507709 2.282896  58.923302 1.037817  60.072765 1.935187   6  
  11  1   9    3   0    6   62.505015 2.334016  64.987206 1.179749  66.286625 1.718611   6  
  12  2   9   -1   0    3   68.502275 0.000000  71.017833 0.038348  71.167766 2.834736   6  
  13  4   9    1   0    6   74.499576 2.000664  76.631933 0.430420  77.181685 2.818094   6  
  14  1   9    1   1    6   80.496846 0.899992  81.546380 1.315056  82.979049 3.018021   6  
  15  4   9    1   0    5   86.494140 1.683869  88.293320 0.983327  89.392825 2.601531   6  
  16  3   9   -1   0    3   92.491407 0.000000  95.006945 0.240074  95.356771 2.634844   6  
  17  2   9    1   0    5   98.505345 2.084114 100.704404 1.054513 101.870500 2.135086   6  
  18  1   9    3   0    5  104.502622 2.116503 106.734951 0.662824 107.517921 2.484863   6  
  19  4   9    1   0    5  110.499913 1.650749 112.265746 0.319686 112.698926 3.301159   6  
  20  1   9    1   1    5  116.497185 2.399396 119.046045 0.809211 119.962286 2.034974   6  
  21  1   9    1   1    5  122.494477 2.300304 124.926699 0.290457 125.326537 2.668127   6  
  22  3   9    1   0    5  128.508401 2.149652 130.790743 0.393554 131.290491 2.718151   6  
  23  2   9    1   0    4  134.505700 2.017364 136.638064 0.948353 137.704252 2.301695   6  
  24  1   9    1   1    5  140.502964 2.232749 142.851906 0.596300 143.568274 2.434925   6  
  25  2   9    1   0    5  146.500267 2.400560 149.015798 0.655431 149.782112 2.218368   6  
  26  3   9    3   1    5  152.497534 2.399588 155.029720 0.243967 155.396222 2.601537   6  
  27  4   9    2   0    5  158.511489 2.167514 160.810451 0.510599 161.426828 2.584876   6  
  28  3   9    4   0    5  164.508749 1.599691 166.224648 0.168705 166.507869 3.501118   6  
  29  3   9    2   0    5  170.506048 1.651258 172.288582 0.293527 172.688393 3.317880   6  
  30  4   9    4   1    7  176.503307 1.150134 177.769422 0.681595 178.569053 3.434498   6  
  31  1   9    1   1    7  182.500603 1.251049 183.866668 0.194495 184.166529 3.834313   6  
  32  2   9    4   0    7  188.497869 1.883256 190.496983 0.610464 191.213315 2.784726   6  
  33  1   9    1   1    7  194.495166 1.101160 195.727960 0.439412 196.277702 3.717701   6  
  34  4   9    2   0    6  200.492441 2.382792 202.991319 0.434522 203.541065 2.451493   6  
  35  3   9    3   1    6  206.489736 1.967233 208.572130 0.320119 209.005263 2.984682   6  
  36  4   9    4   1    5  212.503667 2.249527 214.869269 0.312124 215.302405 2.701482   6  
  37  3   9    3   1    6  218.500948 2.034731 220.649921 0.705563 221.466194 2.534995   6  
  38  3   9    4   0    6  224.514883 1.683156 226.314075 0.343132 226.763875 3.251240   6  
  39  2   9    4   0    5  230.512183 2.467036 233.094331 0.208409 233.410857 2.601535   6  
  40  3   9    2   0    6  236.509439 2.299603 238.958363 0.092926 239.158252 2.851420   6  
  41  4   9    2   0    5  242.506746 1.750576 244.389226 0.152044 244.655613 3.351357   6  
  42  1   9    3   0    7  248.504010 1.316666 249.936696 0.680082 250.736337 3.267901   6  
  43  2   9   -1   0    4  254.501304 0.000000 257.016827 0.000449 257.133454 2.868083   6  
  44  2   9    2   1    7  260.498569 1.150108 261.797991 0.496772 262.414372 3.584436   6  
  45  2   9    3   0    5  266.495872 2.200497 268.828137 0.857173 269.794367 2.201721   6  
  46  2   9    2   1    7  272.493127 2.216204 274.842078 0.544683 275.491779 2.501543   6  
  47  3   9    4   0    7  278.490425 1.884217 280.506176 0.100937 280.722748 3.267903   6  
  48  2   9    2   1    7  284.504352 1.400196 286.020343 0.680024 286.819966 3.184528   6  
  49  4   9   -1   0    4  290.501645 0.000000 293.017174 0.000617 293.133793 2.868085   6  
  50  3   9    2   0    7  296.498920 1.416571 298.031552 0.122151 298.264791 3.734188   6  
  51  4   9    4   1    7  302.512863 1.202961 303.828931 0.111807 304.045507 3.967616   6  
  52  1   9    3   0    7  308.510137 1.932869 310.559216 0.225153 310.892399 3.117975   6  
  53  2   9    4   0    6  314.507427 1.433996 316.073387 0.688409 316.873028 3.134643   6  
  54  1   9    3   0    6  320.504680 2.266197 322.953612 0.260437 323.320088 2.684840   6  
  55  4   9    4   1    7  326.501990 0.868153 327.484886 0.055062 327.651468 4.350759   6  
  56  1   9    4   0    6  332.499258 1.866549 334.498382 0.326029 334.931504 3.067993   6  
  57  4   9    4   1    7  338.496569 2.083438 340.695514 0.338255 341.145364 2.851401   6  
  58  1   9    3   0    7  344.493831 2.099610 346.709470 0.174596 346.992713 3.001340   6  
  59  4   9    4   1    7  350.507776 1.251453 351.873820 0.000446 351.990440 4.017586   6  
  60  3   9   -1   0    4  356.505048 0.000000 359.020605 0.131981 359.270456 2.734813   6  
  61  2   9    2   1    7  362.502337 1.501113 364.134918 0.075043 364.318181 3.684391   6  
  62  3   9    4   0    7  368.499609 2.149601 370.765246 0.133795 371.015127 2.984647   6  
  63  3   9    4   0    7  374.496909 0.884373 375.496451 0.000352 375.613073 4.384069   6  
  64  2   9    4   0    7  380.494165 1.883517 382.493264 0.117363 382.726495 3.267769   6  
  65  4   9    4   1    7  386.491460 2.100882 388.723787 0.127768 388.957020 3.034634   6  
  66  4   9    2   0    7  392.505393 1.983065 394.654431 0.107134 394.871013 3.134622   6  
  67  2   9    2   1    7  398.502685 2.184087 400.818307 0.364378 401.301385 2.701516   6  
  68  2   9    2   1    5  404.499958 1.966470 406.582352 0.216682 406.915529 3.084658   6  
  69  2   9    3   0    7  410.513915 1.435087 412.096518 0.504328 412.712911 3.301240   6  
  70  4   9   -1   0    2  416.511175 0.000000 419.026707 0.000544 419.143325 2.868085   6  
  71  4   9    4   1    7  422.508475 1.650604 424.274339 0.054937 424.440932 3.567764   6  
  72  2   9    2   1    7  428.505733 1.916403 430.538155 0.149023 430.804692 3.201274   6  
  73  4   9    4   1    7  434.503040 1.801207 436.452139 0.000526 436.568758 3.434509   6  
  74  3   9   -1   0    4  440.500304 0.000000 443.015844 0.038014 443.165766 2.834772   6  
  75  3   9    2   0    7  446.497598 1.834030 448.446712 0.104729 448.663274 3.334546   6  
  76  1   9   -1   0    3  452.494874 0.000000 455.010416 0.122637 455.243624 2.751416   6  
  77  1   9    3   0    6  458.492164 1.583924 460.208034 0.063592 460.391300 3.601113   6  
  78  1   9    1   1    8  464.489423 1.550013 466.155335 0.196178 466.471868 3.517669   6  
  79  1   9    3   0    6  470.486726 1.867219 472.485823 0.089504 472.685722 3.301203   6  
  80  2   9    2   1    7  476.500651 1.533025 478.149922 0.099993 478.366477 3.634222   6  
  81  3   9    3   1    7  482.514592 1.100980 483.747312 0.167681 484.030582 3.984240   6  
  82  1   9    3   0    7  488.511871 1.966339 490.610929 0.155682 490.877469 3.134630   6  
  83  3   9    3   1    6  494.509161 1.967081 496.591555 0.095005 496.791465 3.217922   6  
  84  2   9    3   0    6  500.506434 2.082929 502.722093 0.129203 502.972013 3.034650   6  
  85  3   9    3   1    6  506.503718 1.817469 508.469496 0.090414 508.669407 3.334542   6  
  86  1   9    2   0    6  512.501000 1.732915 514.366847 0.752816 515.233115 2.768115   6  
  87  1   9    1   1    7  518.498287 1.001894 519.614455 0.811463 520.547368 3.451133   6  
  88  1   9    3   0    6  524.495555 1.999905 526.627940 0.086066 526.827832 3.167969   6  
  89  4   9    2   0    7  530.492840 2.183733 532.808463 0.045188 532.958404 3.034678   6  
  90  3   9    1   0    7  536.490117 1.183365 537.806200 0.043535 537.956129 4.034189   6  
]; % This session completes at 02-Mar-2019 12:38:20, 544.004s after session start, 540s on 90 trials, totally 567.381s.

