%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at gengpeng (       48.0000000000).2-Mar-2019 17:04:527.374867e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   12   2   0    7    2.498854 1.299757   3.948163 0.390659   4.447973 3.551123   6  
   2  2   12   1   0    3    8.496152 1.500279  10.161893 0.920119  11.194910 2.801455   6  
   3  4   12   3   0    2   14.493422 2.199711  16.809045 0.920439  17.841909 2.151752   6  
   4  1   12   2   0    3   20.507365 2.349463  23.006147 1.580873  24.705470 1.302121   6  
   5  4   12   4   1    1   26.504644 2.249355  28.886914 0.914782  29.919784 2.085099   6  
   6  1   12   1   1    3   32.501945 2.199435  34.817478 0.822470  35.750459 2.251696   6  
   7  1   12   4   0    2   38.499209 2.066288  40.731545 1.082092  41.930978 2.068471   6  
   8  3   12   4   0    1   44.496497 1.799609  46.445465 1.278960  47.844972 2.151748   6  
   9  3   12   3   1    7   50.510448 1.166522  51.793198 0.762612  52.676131 3.334543   6  
  10  3   12   3   1    2   56.507731 2.349340  58.973282 0.743554  59.822899 2.185051   6  
  11  3   12  -1   0    2   62.505025 0.000000  65.020556 0.003904  65.137137 2.868110   6  
  12  1   12   3   0    3   68.502298 1.283680  69.901664 1.081937  71.101130 2.901406   6  
  13  4   12   1   0    2   74.499584 1.783090  76.415258 1.330134  77.864719 2.135096   6  
  14  4   12   2   0    2   80.496871 2.432723  83.062370 0.895895  84.078574 1.918516   6  
  15  1   12   2   0    1   86.510815 1.699739  88.343174 0.391804  88.843082 3.167962   6  
  16  2   12   3   0    3   92.508094 2.466016  95.140245 1.373023  96.622899 1.385424   6  
  17  2   12   2   1    3   98.505383 1.966402 100.637751 1.193883 101.937149 2.068457   6  
  18  2   12   4   0    2  104.502666 1.683511 106.301847 0.729561 107.151454 2.851440   6  
  19  3   12   3   1    7  110.499939 1.116710 111.732715 0.386374 112.232499 3.767683   6  
  20  2   12   4   0    3  116.513892 1.634162 118.263098 0.748417 119.129351 2.884769   6  
  21  1   12   4   0    2  122.511182 2.016087 124.660191 0.633485 125.409866 2.601536   6  
  22  2   12   1   0    2  128.508478 2.283025 130.907199 0.541450 131.557080 2.451605   6  
  23  2   12   2   1    4  134.505741 1.783342 136.438052 0.730369 137.287819 2.718152   6  
  24  1   12   4   0    2  140.503029 2.149408 142.768663 0.699398 143.584952 2.418296   6  
  25  3   12   3   1    7  146.516955 1.416536 148.049528 0.295410 148.466092 3.551102   6  
  26  3   12   4   0    1  152.497602 1.850005 154.463364 1.210650 155.779439 2.218222   6  
  27  2   12  -1   0    3  158.494872 0.000000 161.010415 0.162572 161.293597 2.701331   6  
  28  1   12   1   1    2  164.492145 1.949573 166.574559 1.225582 167.907275 2.084957   6  
  29  3   12   3   1    8  170.489438 1.249698 171.855496 0.353385 172.321948 3.667572   6  
  30  3   12   3   1    8  176.486726 1.750134 178.352536 0.306466 178.769039 3.217783   6  
  31  3   12   3   1    8  182.500665 1.399808 184.033309 0.072021 184.216561 3.784204   6  
  32  2   12   1   0    8  188.497943 1.649915 190.280483 0.143922 190.530362 3.467701   6  
  33  3   12   3   1    8  194.495237 1.050083 195.661383 0.040817 195.811313 4.184055   6  
  34  1   12   4   0    6  200.492499 1.099919 201.708632 0.218687 202.041817 3.950845   6  
  35  3   12   3   1    3  206.489802 1.199970 207.822535 1.279458 209.221897 2.768064   6  
  36  3   12   1   0    5  212.503743 2.366143 215.035928 0.824246 215.968841 2.035079   6  
  37  1   12   4   0    2  218.501023 1.999535 220.616742 1.011539 221.749556 2.251650   6  
  38  2   12   1   0    3  224.498308 1.017194 225.664452 0.539305 226.314169 3.684326   6  
  39  4   12   3   0    2  230.495601 1.999685 232.611304 0.723140 233.444258 2.551534   6  
  40  4   12   1   0    2  236.492883 1.399881 238.008866 0.304081 238.425327 3.567754   6  
  41  3   12   3   1    2  242.506819 1.433186 244.106098 0.796279 245.022349 2.984688   6  
  42  3   12   3   1    2  248.504102 2.250065 250.919692 1.182886 252.219095 1.785245   6  
  43  2   12   1   0    2  254.501394 1.483000 256.117328 0.748741 256.983602 3.018017   6  
  44  1   12   1   1    2  260.498674 2.299451 262.914250 0.769396 263.797176 2.201731   6  
  45  4   12   3   0    2  266.495958 1.966277 268.578347 0.396780 269.094776 2.901411   6  
  46  2   12   2   1    3  272.493233 1.849983 274.475524 0.719572 275.308644 2.684822   6  
  47  1   12   1   1    2  278.507185 1.649835 280.289623 0.663077 281.072688 2.934723   6  
  48  1   12   3   0    2  284.504471 2.399443 287.036506 0.566553 287.719675 2.285012   6  
  49  4   12   1   0    2  290.501757 2.016652 292.634122 0.195557 292.950632 3.051343   6  
  50  4   12  -1   0    2  296.499036 0.000000 299.014582 0.109854 299.231133 2.768132   6  
  51  2   12   2   1    3  302.496317 1.367315 303.978899 0.719381 304.811930 3.184624   6  
  52  3   12   3   1    3  308.510251 1.450314 310.076170 1.125254 311.308988 2.701506   6  
  53  3   12   3   1    2  314.507559 1.982861 316.606596 0.513318 317.239635 2.768126   6  
  54  4   12   4   1    2  320.504835 1.617293 322.237379 0.492022 322.837117 3.167944   6  
  55  4   12   4   1    2  326.502116 2.032879 328.651144 0.291121 329.050965 2.951368   6  
  56  1   12   4   0    3  332.499399 1.883591 334.498499 0.286220 334.898311 3.101321   6  
  57  4   12  -1   0   -1  338.513346 0.000000 341.028871 0.000000 343.027921 0.985659   6  
  58  3   12   4   0    2  344.510622 1.083295 345.710086 0.308817 346.126559 3.884296   6  
  59  3   12   4   0    3  350.507902 1.433135 352.057205 0.963737 353.140058 2.868066   6  
  60  4   12   4   1    5  356.505190 1.251559 357.887904 1.499597 359.503835 2.501578   6  
