%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at gengpeng (       48.0000000000).2-Mar-2019 17:34:197.374867e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   12   3   0    7    2.498855 0.950114   3.565040 0.045571   3.731634 4.267441   6  
   2  4   12   4   1    6    8.496129 1.116729   9.728906 0.251803  10.095418 3.900882   6  
   3  3   12   2   0    5   14.493404 0.934829  15.542824 0.154420  15.809506 4.184039   6  
   4  3   12   3   1    5   20.490719 1.366505  21.989955 0.249603  22.356534 3.634236   6  
   5  3   12   3   1    7   26.504649 0.984181  27.604155 0.622119  28.337146 3.667744   6  
   6  4   12   4   1    6   32.501961 1.049942  33.668076 0.810526  34.600987 3.401186   6  
   7  3   12   3   1    8   38.499227 0.950118  39.565400 0.200784  39.881945 4.117509   6  
   8  2   12   2   1    5   44.496506 1.699598  46.362332 0.954622  47.428525 2.568217   6  
   9  4   12   1   0    6   50.493779 1.916298  52.559525 0.451342  53.125940 2.868085   6  
  10  3   12   3   1    5   56.491074 1.516339  58.156977 0.352197  58.623447 3.367836   6  
  11  3   12   3   1    3   62.505009 2.199436  64.837305 1.031626  65.986780 2.018379   6  
  12  2   12   2   1    3   68.502296 1.817033  70.451424 0.307708  70.867893 3.134505   6  
  13  3   12   3   1    5   74.499592 2.032767  76.648620 0.697075  77.464906 2.534729   6  
  14  2   12   2   1    3   80.513536 1.649631  82.279408 0.392328  82.779173 3.234585   6  
  15  1   12   4   0    3   86.510815 2.049589  88.676508 0.673556  89.459471 2.551571   6  
  16  4   12   2   0    3   92.508101 1.849719  94.473804 0.525145  95.106917 2.901404   6  
  17  3   12   3   1    3   98.505381 1.100004  99.721481 1.382372 101.220821 2.784787   6  
  18  1   12   1   1    2  104.502659 2.382867 107.018122 0.722126 107.851144 2.151757   6  
  19  4   12   2   0    3  110.499949 1.749768 112.365769 0.616999 113.098781 2.901369   6  
  20  1   12   1   1    3  116.497236 1.416558 118.029865 1.087267 119.229326 2.768050   6  
  21  2   12   2   1    3  122.494498 2.351147 124.960051 1.481504 126.559357 1.435246   6  
  22  4   12   4   1    2  128.508462 2.349467 130.974003 0.844695 131.923591 2.085093   6  
  23  2   12   3   0    2  134.505742 2.032890 136.704742 1.377777 138.204069 1.801906   6  
  24  4   12   2   0    3  140.503020 2.066224 142.685360 1.124428 143.918151 2.085093   6  
  25  1   12   1   1    3  146.500312 2.366053 149.015834 1.152281 150.281930 1.718613   6  
  26  4   12   2   0    3  152.497565 2.149980 154.779889 0.522591 155.412947 2.584876   6  
  27  4   12   3   0    2  158.494884 2.316416 160.960428 1.202034 162.276493 1.718613   6  
  28  1   12   1   1    8  164.492133 0.883649 165.491550 0.797722 166.407962 3.584395   6  
  29  4   12   1   0    8  170.489447 1.533140 172.138688 0.867281 173.121584 2.867947   6  
  30  3   12   2   0    3  176.486736 2.316495 178.952280 0.824829 179.885191 2.101611   6  
  31  4   12   1   0    2  182.517326 0.916674 183.566853 0.294805 183.983336 4.034210   6  
  32  1   12   2   0    3  188.514603 2.332754 190.996835 0.607653 191.713160 2.301683   6  
  33  1   12   2   0    3  194.511902 1.616932 196.277756 1.060362 197.443896 2.568238   6  
  34  4   12   2   0    3  200.509178 1.666319 202.341685 0.742846 203.191295 2.818107   6  
  35  4   12   4   1    3  206.506459 2.399284 209.021994 1.617310 210.754544 1.252155   6  
  36  2   12   2   1    3  212.503737 1.683607 214.302914 0.570728 214.985958 3.018026   6  
  37  3   12   3   1    5  218.501035 1.699761 220.316878 0.815107 221.249787 2.751423   6  
  38  2   12   4   0    2  224.498329 2.282836 226.897238 0.983460 227.996733 2.001695   6  
