%% MetaTwins_RDMsc_training for 'gengpeng': starting at _nofeedback (       48.0000000000).2-Mar-2019 16:52:44 for '7.374867e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  13  1    2   0    0    3    2.498870   0    0  1.516816   4.148113 1.202556   5.464182  0   0    5.464182 0.534903   4  
   2  13  1    1   1    0    6    6.497050   0    0  1.116584   7.729821 1.396257   9.245811  0   0    9.245811 0.751474   4  
   3  13  3    4   0    0    6   10.495247   0    0  1.766364  12.377723 0.551850  13.044092  0   0   13.044092 0.951375   4  
   4  13  3    3   1    0    7   14.493418   0    0  0.983505  15.592939 0.464129  16.175990  0   0   16.175990 0.817677   3  
   5  13  1    1   1    0    6   17.508733   0    0  1.384082  19.007904 0.431392  19.557789  0   0   19.557789 1.451162   4  
   6  12  3    3   1    0    6   21.506921   0    0  1.050201  22.673052 0.378593  23.172826  0   0   23.172826 0.834323   3  
   7  12  2    3   0    0    6   24.505557   0    0  1.549729  26.171473 0.406249  26.687922  0   0   26.687922 1.317866   4  
   8  12  2    2   1    0    5   28.503749   0    0  1.449723  30.069709 0.398040  30.586138  0   0   30.586138 1.417838   4  
   9  12  1    4   0    0    2   32.501920   0    0  1.599792  34.217830 0.537665  34.867533  0   0   34.867533 1.134630   4  
  10  12  3    3   1    0    6   36.500128   0    0  1.066640  37.682922 0.671541  38.465900  0   0   38.465900 0.534448   3  
  11  12  3    2   0    0    7   39.498773   0    0  1.383183  40.998065 0.294451  41.397905  0   0   41.397905 0.601089   3  
  12  12  2    2   1    0    7   42.497403   0    0  1.467026  44.080030 0.232107  44.429865  0   0   44.429865 0.567783   3  
  13  12  1    4   0    0    6   45.512719   0    0  1.883714  47.511821 0.201675  47.828324  0   0   47.828324 1.184608   4  
  14  12  2    3   0    0    6   49.510898   0    0  1.766330  51.393383 0.530178  52.043086  0   0   52.043086 0.968042   4  
  15  13  1    2   0    0    6   53.509106   0    0  2.232777  55.857861 0.223069  56.191209  0   0   56.191209 0.818109   4  
  16  13  1    2   0    0    6   57.507273   0    0  1.882816  59.506223 0.165381  59.789581  0   0   59.789581 1.217930   4  
  17  14  3    3   1    0    6   61.505476   0    0  2.449578  64.087556 0.368516  64.570745  0   0   64.570745 1.434948   5  
  18  14  2    3   0    0    5   66.503209   0    0  2.082951  68.801997 0.417525  69.335259  0   0   69.335259 0.668182   4  
  19  14  1    1   1    0    2   70.501403   0    0  2.099474  72.750328 0.339514  73.200171  0   0   73.200171 0.801454   4  
  20  14  4    3   0    0    5   74.499583   0    0  1.716521  76.332095 0.177072  76.615288  0   0   76.615288 1.384523   4  
  21  14  4    3   0    0    5   78.514417   0    0  2.050011  80.680119 0.848485  81.646340  0   0   81.646340 1.368317   5  
