%% MetaTwins_RDMsc_training for 'gengxu': starting at _feedback (       48.0000000000).2-Mar-2019 16:41:32 for '7.374867e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1   9  4    4   1    0    6    2.498852   0    0  2.149643   4.764482 0.476616   5.347563 0.999546   6.347110   7.346642 0.652445   6  
   2   9  2    2   1    0    6    8.496122   0    0  0.716836   9.329072 0.106021   9.545651 0.999544  10.545195  11.544732 1.451611   5  
   3   8  4    2   0    0    2   13.493867   0    0  1.783069  15.392987 1.476804  16.975597 0.999551  17.975148  18.974686 1.019362   7  
   4   8  2    3   0    0    6   20.490673   0    0  0.867022  21.490208 0.141566  21.740108 0.999533  22.739641  23.739193 1.251660   5  
   5   9  2    4   0    0    6   25.505055   0    0  1.982894  27.637420 0.263698  28.020579 0.999545  29.020124  30.019660 0.985565   6  
   6   9  2    2   1    0    6   31.502322   0    0  1.750082  33.368136 0.401357  33.884571 0.999543  34.884114  35.883661 1.118818   6  
   7   9  2    4   0    0    6   37.499592   0    0  0.883560  38.499145 0.214596  38.832326 0.999545  39.831871  40.831419 1.168337   5  
   8   9  1    2   0    0    6   42.497321   0    0  0.866845  43.480200 0.386552  43.979975 0.999546  44.979520  45.979064 1.018400   5  
   9  10  3    3   1    0    6   47.495054   0    0  0.733623  48.344663 0.436358  48.894405 0.999537  49.893942  50.893509 1.101672   5  
  10  10  4    3   0    0    7   52.492777   0    0  0.650502  53.259107 1.495780  54.875017 0.999545  55.874562  56.874111 1.118785   6  
  11  10  2    2   1    0    7   58.490032   0    0  1.449821  60.055988 1.013620  61.188822 0.999536  62.188358  63.187906 0.802243   6  
  12  10  3    3   1    0    7   64.487313   0    0  0.866933  65.470203 0.600231  66.186549 0.999537  67.186086  68.185634 0.801767   5  
  13   9  1    3   0    0    8   69.501684   0    0  1.116749  70.734468 0.426218  71.267550 0.999544  72.267094  73.266649 0.735135   5  
  14   9  1    3   0    0    7   74.499431   0    0  2.266189  76.881674 0.673671  77.664650 0.999552  78.664202  79.663741 1.335747   7  
  15  10  4    4   1    0    6   81.496248   0    0  1.067038  82.695693 0.350378  83.162148 0.999543  84.161690  85.161236 0.835062   5  
  16  10  3    4   0    0    6   86.510630   0    0  0.700276  87.343583 0.291570  87.743402 0.999545  88.742946  89.742486 1.268366   5  
  17  10  3    4   0    0    6   91.508353   0    0  0.983482  92.607851 1.980724  94.706891 0.999546  95.706437  96.705985 1.302588   7  
  18  11  2    2   1    0    6   98.505166   0    0  1.783124 100.404304 0.457289 100.970693 0.999568 101.970261 102.969798 1.035596   6  
  19  11  4    4   1    0    7  104.502437   0    0  0.883440 105.501987 0.582736 106.201664 0.999550 107.201214 108.200744 0.801917   5  
  20  10  3    3   1    0    7  109.500171   0    0  0.950241 110.566344 0.486420 111.166067 0.999552 112.165618 113.165160 0.835230   5  
  21  10  2    2   1    0    7  114.514552   0    0  1.166802 115.797299 0.238591 116.147129 0.999558 117.146687 118.146221 0.868546   5  
  22   9  2   -1   0    0    4  119.512271   0    0  0.000000 122.027799 0.000332 122.144414 0.999538 123.143953 124.143494 0.869012   6  
  23   9  2    2   1    0    7  125.509535   0    0  0.950009 126.575729 0.227848 126.908915 0.999535 127.908450 128.908001 1.101772   5  
  24   9  1    3   0    0    7  130.507276   0    0  1.932967 132.556327 0.410785 133.072761 0.999549 134.072309 135.071853 0.935641   6  
  25   9  4    4   1    0    7  136.504536   0    0  1.366542 137.987192 0.541493 138.636902 0.999538 139.636440 140.635994 1.368774   6  
  26   9  4    4   1    0    6  142.501817   0    0  1.799666 144.417609 0.352742 144.884058 0.999544 145.883602 146.883150 1.118891   6  
  27   8  4    4   1    0    6  148.499072   0    0  0.783532 149.398676 0.406693 149.915098 0.999543 150.914641 151.914199 1.085110   5  
  28   8  4    4   1    0    7  153.496816   0    0  0.800083 154.413047 0.247259 154.779559 0.999542 155.779101 156.778658 1.218372   5  
  29   7  3    3   1    0    7  158.511197   0    0  2.466354 161.093352 0.859039 162.059585 0.999537 163.059121 164.058673 0.952742   7  
  30   7  1    4   0    0    6  165.508004   0    0  0.850330 166.474234 0.430148 167.023990 0.999541 168.023532 169.023097 0.985141   5  
  31   7  1    4   0    0    6  170.505724   0    0  1.283422 171.905101 0.381621 172.404875 0.999538 173.404413 174.403956 0.601999   5  
  32   8  1    1   1    0    6  175.503451   0    0  1.866456 177.485891 0.833635 178.435450 0.999553 179.435003 180.434542 0.569144   6  
  33   8  3    4   0    0    5  181.500723   0    0  2.232750 183.849642 1.376649 185.332321 0.999546 186.331866 187.331418 0.669543   7  
  34   8  3    4   0    0    6  188.497543   0    0  1.799776 190.413336 0.326880 190.846485 0.999538 191.846023 192.845569 1.152211   6  
  35   9  2    2   1    0    6  194.494818   0    0  1.899719 196.510573 0.266075 196.893722 0.999554 197.893276 198.892815 1.102231   6  
  36   9  3    4   0    0    6  200.492091   0    0  0.883487 201.491629 0.256586 201.858130 0.999538 202.857668 203.857226 1.135103   5  
  37   9  4    4   1    0    6  205.506463   0    0  0.850156 206.472542 0.316878 206.905834 0.999543 207.905377 208.904931 1.101769   5  
  38   9  2    4   0    0    7  210.504202   0    0  2.349527 212.969743 0.409132 213.486172 0.999539 214.485711 215.485268 0.519147   6  
  39   9  1    4   0    0    7  216.501466   0    0  1.450012 218.067430 0.527358 218.700465 0.999557 219.700022 220.699559 1.302120   6  
  40  10  3    4   0    0    7  222.498737   0    0  1.550000 224.164641 0.463878 224.747709 0.999557 225.747266 226.746814 1.252120   6  
  41  10  3    4   0    0    6  228.496002   0    0  2.016450 230.628369 0.346373 231.094825 0.999538 232.094363 233.093924 0.902264   6  
  42  11  4    4   1    0    6  234.493280   0    0  1.699974 236.325724 0.392369 236.825554 0.999545 237.825099 238.824649 1.168806   6  
  43  11  1    1   1    0    6  240.490554   0    0  1.433729 242.056428 0.641779 242.806163 0.999558 243.805721 244.805259 1.185451   6  
  44  10  3   -1   0    0    3  246.504481   0    0  0.000000 249.020031 0.202523 249.336524 0.999553 250.336078 251.335607 0.669031   6  
  45  10  1    4   0    0    6  252.501759   0    0  1.283108 253.901111 0.236839 254.250946 0.999543 255.250489 256.250041 0.751854   5  
  46  10  1    4   0    0    6  257.499482   0    0  2.016279 259.631842 0.373268 260.114951 0.999549 261.114500 262.114040 0.885553   6  
  47  11  1    1   1    0    6  263.496747   0    0  2.116361 265.729064 0.483293 266.328790 0.999552 267.328341 268.327883 0.668978   6  
  48  11  2    2   1    0    6  269.494016   0    0  2.199559 271.809630 0.342646 272.259428 0.999550 273.258978 274.258512 0.735611   6  
  49  10  3    3   1    0    4  275.491287   0    0  2.282866 277.890191 0.000924 278.006815 0.999533 279.006349 280.005903 0.985469   6  
  50  10  2    2   1    0    6  281.488568   0    0  1.516462 283.121158 0.552646 283.787509 0.999549 284.787059 285.786613 1.202018   6  
  51   9  1    3   0    0    6  287.485840   0    0  2.432770 290.034663 0.930325 291.084190 0.999551 292.083741 293.083276 0.902613   7  
  52   9  4   -1   0    0    4  294.515966   0    0  0.000000 297.031493 0.089030 297.231392 0.999552 298.230943 299.230481 0.785704   6  
  53   9  4    2   0    0    6  300.513232   0    0  2.182935 302.812189 0.286175 303.212002 0.999562 304.211564 305.211104 0.802352   6  
  54  10  1    4   0    0    6  306.510506   0    0  2.166360 308.792722 0.295731 309.209272 0.999548 310.208820 311.208367 0.802366   6  
  55  10  4    1   0    0    6  312.507772   0    0  1.849750 314.473543 0.407844 314.989975 0.999555 315.989529 316.989054 1.018952   6  
  56  11  3   -1   0    0    2  318.505043   0    0  0.000000 321.020597 0.203159 321.337089 0.999539 322.336628 323.336185 0.669095   6  
  57  11  1    2   0    0    6  324.502313   0    0  2.182852 326.801273 0.283480 327.201091 0.999541 328.200632 329.200176 0.802384   6  
  58  11  3    3   1    0    6  330.499595   0    0  1.250008 331.865635 0.139845 332.115520 0.999540 333.115060 334.114610 0.885207   5  
  59  11  2    2   1    0    6  335.513966   0    0  0.918071 336.546829 0.224141 336.880013 0.999549 337.879562 338.879100 1.135098   5  
  60  10  4    4   1    0    6  340.511703   0    0  1.083435 341.727647 0.197991 342.044334 0.999551 343.043885 344.043434 0.968503   5  
]; % This session completes at 02-Mar-2019 16:47:31, 347.003s after session start, 343s on 60 trials, totally 358.686s, correctness is 48.333%.

