%% MetaTwins_RDMsc_training for 'zhangjin': starting at _nofeedback (       48.0000000000).2-Mar-2019 16:36:13 for '7.374867e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  14  2    4   0    0    1    2.498384   0    0  1.367109   3.980743 0.203207   4.297250  0   0    4.297250 0.701449   3  
   2  14  3    2   0    0    1    5.496488   0    0  1.916573   7.528520 0.057266   7.695082  0   0    7.695082 1.301693   4  
   3  15  3    4   0    0    5    9.493946   0    0  1.400309  11.042961 0.368773  11.525978  0   0   11.525978 1.468256   4  
   4  15  1    3   0    0    1   13.491368   0    0  2.283948  15.889854 0.207180  16.206324  0   0   16.206324 0.785415   4  
   5  16  3    3   1    0    1   17.505509   0    0  2.016607  19.637439 0.610846  20.370332  0   0   20.370332 0.635437   4  
   6  16  4    4   1    0    5   21.502951   0    0  2.133598  23.784840 0.334066  24.234535  0   0   24.234535 0.768689   4  
   7  14  1    3   0    0    5   25.500411   0    0  2.283048  27.915548 0.304724  28.331935  0   0   28.331935 0.668732   4  
   8  14  1    1   1    0    5   29.497860   0    0  1.633407  31.280064 0.457986  31.863070  0   0   31.863070 1.135025   4  
   9  14  2    4   0    0    1   33.495311   0    0  1.816748  35.460612 0.202146  35.777193  0   0   35.777193 1.218436   4  
  10  14  3    3   1    0    5   37.492761   0    0  1.800588  39.408198 0.501100  40.024494  0   0   40.024494 0.968504   4  
  11  14  3    3   1    0    5   41.490225   0    0  1.567534  43.172482 0.571434  43.855398  0   0   43.855398 1.135048   4  
  12  13  4    4   1    0    1   45.504335   0    0  1.483509  47.119877 0.229511  47.469731  0   0   47.469731 0.534814   3  
  13  13  2    3   0    0    5   48.502428   0    0  2.233205  50.850893 0.403359  51.367258  0   0   51.367258 0.635364   4  
  14  13  1   -1   0    0    1   52.499874   0    0  0.000000  55.014954 0.334763  55.464640  0   0   55.464640 0.535426   4  
  15  13  4    1   0    0    2   56.497333   0    0  1.983139  58.595981 0.333141  59.045698  0   0   59.045698 0.951803   4  
  16  14  1   -1   0    0    3   60.494786   0    0  0.000000  63.009854 0.039416  63.159745  0   0   63.159745 0.835221   4  
  17  14  2    2   1    0    5   64.492225   0    0  1.833372  66.490975 0.208298  66.824076  0   0   66.824076 1.168322   4  
  18  14  4    4   1    0    6   68.489685   0    0  1.183781  69.788862 0.276007  70.188606  0   0   70.188606 0.801215   3  
  19  13  2    3   0    0    6   71.487769   0    0  1.616862  73.219999 0.339097  73.669713  0   0   73.669713 1.318201   4  
  20  13  4    2   0    0    5   75.501890   0    0  1.483419  77.117535 0.476568  77.717138  0   0   77.717138 1.284881   4  
  21  14  3    3   1    0    6   79.499336   0    0  1.783423  81.398098 0.781436  82.297559  0   0   82.297559 0.701908   4  
  22  14  1    1   1    0    5   83.496798   0    0  1.983211  85.595444 0.370815  86.078493  0   0   86.078493 0.918425   4  
  23  13  1    2   0    0    5   87.494247   0    0  1.583429  89.209833 0.389229  89.709505  0   0   89.709505 1.284846   4  
  24  13  2    3   0    0    5   91.491694   0    0  1.583349  93.207282 0.261194  93.590356  0   0   93.590356 1.401435   4  
  25  14  4    2   0    0    5   95.505783   0    0  1.834682  97.471234 0.243758  97.837653  0   0   97.837653 1.168470   4  
  26  14  4    4   1    0    6   99.503246   0    0  1.483468 101.102226 0.174755 101.402043  0   0  101.402043 0.601548   3  
  27  14  2    2   1    0    1  102.501344   0    0  1.816590 104.450030 0.268553 104.833197  0   0  104.833197 1.168469   4  
  28  13  2    3   0    0    5  106.515461   0    0  1.916512 108.547499 0.521290 109.180436  0   0  109.180436 0.835353   4  
  29  13  2    2   1    0    2  110.512910   0    0  1.767387 112.395043 0.502530 113.011313  0   0  113.011313 1.001914   4  
