%% MetaTwins_RDMsc_training for 'zhanglu': starting at _nofeedback (       48.0000000000).2-Mar-2019 16:42:06 for '7.374867e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  5   2    4   0    0    1    2.499204   0    0  2.349573   4.964815 0.572026   5.647783  0   0    5.647783 1.351645   5  
   2  5   1    3   0    0    1    7.496942   0    0  2.034605   9.662557 1.092512  10.862091  0   0   10.862091 1.135015   5  
   3  6   1    2   0    0    8   12.494729   0    0  2.167025  14.776985 0.663634  15.560005  0   0   15.560005 1.434888   5  
   4  6   3    1   0    0    6   17.509077   0    0  2.232904  19.857998 0.717157  20.690956  0   0   20.690956 1.318340   5  
   5  7   1    2   0    0    8   22.506863   0    0  2.050380  24.672549 1.441361  26.221822  0   0   26.221822 0.785208   5  
   6  7   3    2   0    0    1   27.504526   0    0  2.382892  30.003397 0.390991  30.503184  0   0   30.503184 0.501590   4  
   7  8   2    1   0    0    6   31.502716   0    0  2.366344  34.001597 1.496350  35.617528  0   0   35.617528 1.385429   6  
   8  8   3    2   0    0    6   37.500008   0    0  1.566518  39.215866 1.265686  40.598594  0   0   40.598594 1.401639   5  
   9  9   1    1   1    0    6   42.497804   0    0  2.017336  44.663435 0.737041  45.513101  0   0   45.513101 1.484931   5  
  10  9   2    2   1    0    8   47.495477   0    0  1.816436  49.444440 0.237802  49.794450  0   0   49.794450 1.201254   4  
  11  8   1    1   1    0    7   51.510397   0    0  1.932815  53.575930 0.357942  54.042508  0   0   54.042508 0.968032   4  
  12  8   4   -1   0    0    2   55.508506   0    0  0.000000  58.024039 0.091643  58.223955  0   0   58.223955 0.784783   4  
  13  8   2    2   1    0    8   59.506689   0    0  1.716858  61.339169 0.717269  62.172214  0   0   62.172214 0.834710   4  
  14  7   2    2   1    0    7   63.504882   0    0  1.682945  65.304075 0.736796  66.153676  0   0   66.153676 0.851432   4  
  15  7   3    1   0    0    1   67.503148   0    0  2.332730  69.952018 1.023996  71.084786  0   0   71.084786 0.918517   5  
  16  7   4   -1   0    0    2   72.500792   0    0  0.000000  75.016343 0.020013  75.149609  0   0   75.149609 0.851419   4  
  17  7   2    2   1    0    8   76.499079   0    0  1.299927  77.915071 0.133276  78.164965  0   0   78.164965 0.834267   3  
  18  7   3    1   0    0    6   79.497692   0    0  2.117820  81.729978 0.951078  82.796202  0   0   82.796202 1.201716   5  
  19  7   1    2   0    0    1   84.495370   0    0  2.032922  86.644401 0.538926  87.294089  0   0   87.294089 0.701530   4  
  20  8   2    2   1    0    1   88.510214   0    0  2.282907  90.909183 0.991303  92.008626  0   0   92.008626 1.001817   5  
  21  8   1    1   1    0    8   93.507940   0    0  1.783133  95.407088 0.358024  95.873558  0   0   95.873558 1.134613   4  
  22  7   4    2   0    0    1   97.506136   0    0  2.133044  99.755142 0.533709 100.404827  0   0  100.404827 0.601538   4  
  23  7   1    1   1    0    1  101.504317   0    0  2.349465 103.969882 0.702646 104.786173  0   0  104.786173 1.218369   5  
  24  7   3   -1   0    0    1  106.502118   0    0  0.000000 109.017591 0.045120 109.167523  0   0  109.167523 0.834778   4  
  25  7   4    2   0    0   -1  110.500249   0    0  1.716698 112.349386 0.000000 114.348515  0   0  114.348515 0.651968   5  
  26  7   3    1   0    0    1  115.498060   0    0  2.300310 117.913610 0.527630 118.546649  0   0  118.546649 1.451549   5  
  27  7   3    2   0    0    1  120.495710   0    0  1.999702 122.611419 0.646628 123.377742  0   0  123.377742 0.618213   4  
  28  8   3    1   0    0    1  124.510560   0    0  2.249643 126.876124 0.522317 127.509196  0   0  127.509196 0.501598   4  
  29  8   4    3   0    0    1  128.508745   0    0  2.332897 130.957657 1.284223 132.356994  0   0  132.356994 0.651971   5  
  30  9   4    2   0    0    1  133.506540   0    0  2.217133 135.838807 0.886532 136.838366  0   0  136.838366 1.168359   5  
  31  9   4    4   1    0    8  138.504211   0    0  1.733148 140.370040 0.293630 140.769854  0   0  140.769854 1.234593   4  
  32  9   1    1   1    0    8  142.502410   0    0  2.032982 144.651425 0.772560 145.534359  0   0  145.534359 1.468278   5  
  33  8   2    1   0    0    1  147.500141   0    0  2.316203 149.932383 0.557048 150.598755  0   0  150.598755 1.401562   5  
  34  8   4    3   0    0    1  152.497891   0    0  2.233759 154.846862 0.524146 155.479919  0   0  155.479919 0.518193   4  
  35  9   3   -1   0    0    3  156.496112   0    0  0.000000 159.011590 0.070863 159.194844  0   0  159.194844 0.801459   4  
  36  9   4    4   1    0    8  160.510907   0    0  2.282899 162.909832 1.219845 164.242545  0   0  164.242545 0.768594   5  
  37  9   4    4   1    0    8  165.508690   0    0  1.600671 167.224589 0.104369 167.441156  0   0  167.441156 0.567719   3  
  38  8   2    3   0    0    1  168.507344   0    0  2.150755 170.772976 0.253642 171.139471  0   0  171.139471 0.868045   4  
  39  8   2    2   1    0    1  172.505516   0    0  2.233811 174.854459 1.241290 176.203852  0   0  176.203852 0.801851   5  
  40  8   1    1   1    0    8  177.503196   0    0  1.399972 179.019173 0.253427 179.385677  0   0  179.385677 0.617757   3  
  41  7   2    2   1    0    8  180.501916   0    0  2.366033 182.984110 0.718281 183.817134  0   0  183.817134 1.184930   5  
  42  7   2    3   0    0    1  185.499570   0    0  2.382845 187.998438 0.601170 188.714781  0   0  188.714781 1.284961   5  
  43  7   2    2   1    0    8  190.497360   0    0  1.967279 192.579764 0.365542 193.062875  0   0  193.062875 0.934705   4  
  44  7   2    3   0    0    1  194.512218   0    0  2.284098 196.911121 0.579122 197.610806  0   0  197.610806 1.401587   5  
  45  7   4    3   0    0    1  199.509900   0    0  2.266267 201.892168 0.540435 202.541857  0   0  202.541857 1.468265   5  
  46  8   3    3   1    0    8  204.507680   0    0  2.350633 206.973185 0.732902 207.822807  0   0  207.822807 1.185054   5  
  47  8   3   -1   0    0    2  209.505350   0    0  0.000000 212.020899 0.146253 212.287424  0   0  212.287424 0.718171   4  
  48  8   4    4   1    0    8  213.503556   0    0  1.666474 215.286041 1.776103 217.168566  0   0  217.168566 0.835153   5  
  49  7   1    1   1    0    6  218.501282   0    0  2.032919 220.650300 0.774788 221.533251  0   0  221.533251 1.468226   5  
  50  7   2    2   1    0    1  223.499022   0    0  2.316993 225.931306 0.645413 226.697630  0   0  226.697630 1.301624   5  
  51  6   1    1   1    0    1  228.496744   0    0  2.266203 230.879006 0.444000 231.428767  0   0  231.428767 0.568237   4  
  52  6   4    3   0    0    1  232.511611   0    0  2.233186 234.860596 0.662819 235.643565  0   0  235.643565 1.368263   5  
  53  6   4    2   0    0    1  237.509319   0    0  2.266229 239.891600 0.419480 240.424673  0   0  240.424673 0.584881   4  
  54  7   1    1   1    0    1  241.507517   0    0  2.132920 243.756471 0.939949 244.806020  0   0  244.806020 1.201731   5  
  55  7   1    3   0    0    1  246.505255   0    0  2.349521 248.970825 0.664980 249.753781  0   0  249.753781 1.251697   5  
  56  7   3    3   1    0    1  251.503044   0    0  2.284174 253.901811 0.608811 254.618301  0   0  254.618301 1.384922   5  
  57  7   3    4   0    0    1  256.500718   0    0  2.166255 258.783028 0.754932 259.649289  0   0  259.649289 1.351697   5  
  58  7   4    1   0    0   -1  261.498499   0    0  2.233722 263.847448 0.000000 265.846488  0   0  265.846488 1.152210   6  
  59  7   1    3   0    0    1  267.512383   0    0  2.183167 269.811372 1.042627 270.960832  0   0  270.960832 1.051795   5  
  60  8   3    2   0    0    1  272.510189   0    0  2.434781 275.058987 0.827013 275.991894  0   0  275.991894 1.018463   5  
]; % This session completes at 02-Mar-2019 16:49:18, 279.004s after session start, 275s on 60 trials, totally 432.989s, correctness is 40.000%.

