%% MetaTwins_RDMsc_training for 'yaopeng': starting at _feedback (       48.0000000000).3-Mar-2019 11:43:16 for '7.374875e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  3    3   1    0    6    2.498881   0    0  1.733125   4.398018 0.668855   5.180992 0.999542   6.180533   7.180069 0.819028   6  
   2  90  3    3   1    0    6    8.496150   0    0  1.116711   9.745590 0.224917  10.078757 0.999551  11.078307  12.077845 0.918532   5  
   3  81  2    1   0    0    6   13.493865   0    0  0.966781  14.593225 0.379594  15.093141 0.999552  16.092693  17.092235 0.901870   5  
   4  81  3    3   1    0    6   18.508260   0    0  1.449854  20.074206 0.569907  20.757240 0.999534  21.756774  22.756331 1.252148   6  
   5  81  1    1   1    0    5   24.505523   0    0  1.183286  25.838253 0.759602  26.704532 0.999533  27.704065  28.703614 1.302148   6  
   6  72  1    1   1    0    5   30.502805   0    0  0.800313  31.418914 0.603662  32.135385 0.999555  33.134940  34.134479 0.868552   5  
   7  72  2    1   0    0    5   35.500519   0    0  1.699809  37.349678 0.423899  37.882782 0.999534  38.882316  39.881860 1.118888   6  
   8  72  3    3   1    0    6   41.497795   0    0  1.716553  43.346903 0.215699  43.680130 0.999553  44.679683  45.679231 1.318790   6  
   9  72  2    1   0    0    5   47.511730   0    0  1.616306  49.244265 0.788519  50.143863 0.999549  51.143412  52.142951 0.868995   6  
  10  72  3    3   1    0    6   53.508991   0    0  1.283279  54.908328 0.228709  55.258196 0.999545  56.257741  57.257277 0.751938   5  
  11  72  1    1   1    0    5   58.506728   0    0  1.133324  59.772738 0.374204  60.255922 0.999551  61.255473  62.255025 0.751929   5  
  12  64  4    4   1    0    5   63.504448   0    0  1.199956  64.820514 0.210397  65.137044 0.999534  66.136578  67.136138 0.868534   5  
  13  64  2    2   1    0    6   68.502176   0    0  1.649887  70.267875 0.217998  70.601220 0.999538  71.600758  72.600306 1.402087   6  
  14  57  3    4   0    0    5   74.499437   0    0  1.399937  76.015292 0.228359  76.348597 0.999543  77.348140  78.347684 0.651820   5  
  15  57  1    1   1    0    5   79.497160   0    0  1.366669  80.979829 0.350245  81.446276 0.999548  82.445824  83.445366 0.551881   5  
  16  57  2    2   1    0    6   84.494893   0    0  1.200011  85.877593 0.233329  86.227434 0.999554  87.226989  88.226530 0.768471   5  
  17  51  3    4   0    0    6   89.492621   0    0  1.883098  91.491705 0.196265  91.808227 0.999547  92.807774  93.807324 1.185431   6  
  18  51  4    4   1    0    7   95.489893   0    0  2.066149  97.672239 0.405077  98.188662 0.999550  99.188213 100.187756 0.802289   6  
  19  51  4    4   1    0    7  101.503815   0    0  1.666513 103.286341 0.644842 104.036003 0.999539 105.035542 106.035094 0.968891   6  
  20  45  3    3   1    0    6  107.501116   0    0  2.149490 109.766730 0.216168 110.099909 0.999543 111.099452 112.099002 0.902276   6  
  21  45  4   -1   0    0    4  113.498366   0    0  0.000000 116.013905 0.273774 116.397045 0.999540 117.396584 118.396130 0.602444   6  
  22  45  4    4   1    0    6  119.495626   0    0  1.366653 120.994946 0.164968 121.278157 0.999540 122.277697 123.277247 0.718621   5  
  23  40  4    4   1    0    6  124.493355   0    0  1.199956 125.826082 0.320897 126.259229 0.999524 127.258753 128.258309 0.735278   5  
  24  40  3    3   1    0    6  129.507741   0    0  1.250005 130.907008 0.280697 131.306916 0.999552 132.306469 133.306014 0.701955   5  
  25  36  1    1   1    0    6  134.505472   0    0  1.949613 136.587849 0.155791 136.854394 0.999544 137.853937 138.853485 1.152228   6  
  26  36  2    4   0    0    6  140.502745   0    0  1.600074 142.218555 0.148152 142.485167 0.999545 143.484713 144.484271 0.518695   5  
  27  36  2    2   1    0    6  145.500474   0    0  1.116688 146.749816 0.249717 147.116382 0.999547 148.115929 149.115486 0.885210   5  
  28  36  3    3   1    0    6  150.498192   0    0  1.166608 151.830915 0.134749 152.080798 0.999555 153.080353 154.079894 0.918525   5  
