%% MetaTwins_RDMsc_training for 'yaoxin': starting at _nofeedback (       48.0000000000).3-Mar-2019 12:01:43 for '7.374875e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  8   2    2   1    0    8    2.498395   0    0  1.216290   3.847475 0.305256   4.263939  0   0    4.263939 0.734769   3  
   2  8   2    2   1    0    7    5.496477   0    0  1.532675   7.195261 0.338563   7.645135  0   0    7.645135 1.351676   4  
   3  7   2    2   1    0    8    9.493953   0    0  1.649318  11.276163 0.332819  11.725864  0   0   11.725864 1.268401   4  
   4  7   2    2   1    0    8   13.508047   0    0  1.666374  15.340234 0.308624  15.756624  0   0   15.756624 1.251742   4  
   5  6   4    2   0    0    7   17.505495   0    0  1.166309  18.821170 0.729645  19.670796  0   0   19.670796 1.335019   4  
   6  6   4    2   0    0    7   21.502957   0    0  1.666039  23.318488 0.208518  23.634949  0   0   23.634949 1.368325   4  
   7  7   4    4   1    0    8   25.500415   0    0  1.582715  27.215900 0.283089  27.615735  0   0   27.615735 1.384996   4  
   8  7   4    4   1    0    8   29.497870   0    0  1.832661  31.479949 0.732640  32.329390  0   0   32.329390 0.668801   4  
   9  6   1    2   0    0    7   33.495312   0    0  1.432796  35.094308 0.208644  35.410757  0   0   35.410757 0.584888   3  
  10  6   4    1   0    0    8   36.493405   0    0  2.265714  38.941806 0.206909  39.258319  0   0   39.258319 0.735619   4  
  11  7   1    2   0    0    6   40.507509   0    0  1.999123  42.639343 0.187126  42.939304  0   0   42.939304 1.068545   4  
  12  7   4    4   1    0    8   44.504972   0    0  1.349611  45.970608 0.407704  46.487041  0   0   46.487041 0.518260   3  
  13  7   1    3   0    0    8   47.503066   0    0  1.566210  49.218482 0.160924  49.485145  0   0   49.485145 0.518244   3  
  14  7   3    2   0    0    8   50.501161   0    0  1.699142  52.333326 0.220698  52.666441  0   0   52.666441 1.335033   4  
  15  8   4    2   0    0    8   54.498610   0    0  1.899504  56.563754 0.299986  56.980348  0   0   56.980348 1.018578   4  
  16  8   1    3   0    0    7   58.496062   0    0  1.766645  60.378195 0.320401  60.811251  0   0   60.811251 1.185140   4  
  17  9   4    4   1    0    8   62.493516   0    0  1.832440  64.442285 0.387342  64.941964  0   0   64.941964 1.051862   4  
  18  9   4    4   1    0    8   66.507609   0    0  1.166291  67.790133 0.191856  68.089942  0   0   68.089942 0.917993   3  
  19  8   4    3   0    0    8   69.505712   0    0  1.232930  70.854834 0.465390  71.437813  0   0   71.437813 0.568231   3  
  20  8   3    3   1    0    8   72.503799   0    0  1.749811  74.369219 0.547659  75.035520  0   0   75.035520 0.968610   4  
  21  8   3    3   1    0    8   76.501248   0    0  1.366059  78.016962 0.193949  78.316767  0   0   78.316767 0.684802   3  
  22  7   1    4   0    0    7   79.499334   0    0  1.932437  81.564525 0.244809  81.914478  0   0   81.914478 1.085183   4  
  23  7   1   -1   0    0    3   83.496822   0    0  0.000000  86.011896 0.011966  86.128464  0   0   86.128464 0.868664   4  
  24  7   3    3   1    0    7   87.494246   0    0  2.198801  89.826099 0.940440  90.875417  0   0   90.875417 1.119163   5  
  25  7   2    2   1    0    8   92.507723   0    0  2.348699  95.022797 0.801652  95.938878  0   0   95.938878 1.069166   5  
  26  6   3    3   1    0    8   97.504532   0    0  1.332879  98.970263 0.326906  99.403329  0   0   99.403329 0.601549   3  
  27  6   1    1   1    0    8  100.502620   0    0  1.716004 102.401426 0.306113 102.817845  0   0  102.817845 1.185105   4  
  28  5   1    3   0    0    8  104.500063   0    0  1.349537 105.965825 0.321607 106.398874  0   0  106.398874 0.601526   3  
  29  5   2    2   1    0    8  107.498163   0    0  1.166412 108.797353 0.555236 109.463598  0   0  109.463598 0.534893   3  
  30  5   2    2   1    0    8  110.496266   0    0  1.949682 112.611592 0.683569 113.411084  0   0  113.411084 0.585498   4  
  31  4   1    2   0    0    8  114.510366   0    0  2.248896 116.958817 0.814247 117.891541  0   0  117.891541 1.119149   5  
  32  4   1    2   0    0    6  119.507187   0    0  1.216266 120.872991 0.364573 121.356009  0   0  121.356009 0.651514   3  
  33  5   3    3   1    0    7  122.505270   0    0  2.465472 125.086975 0.066180 125.270189  0   0  125.270189 0.735414   4  
  34  5   2   -1   0    0    3  126.502725   0    0  0.000000 129.017812 0.292830 129.417550  0   0  129.417550 0.585498   4  
  35  5   4    4   1    0    8  130.500170   0    0  1.049984 131.666112 0.317149 132.099170  0   0  132.099170 0.901342   3  
  36  4   3    2   0    0    8  133.498268   0    0  1.049730 134.697518 0.336065 135.147226  0   0  135.147226 0.851367   3  
  37  4   4    4   1    0    8  136.496359   0    0  2.132226 138.761437 0.348518 139.227961  0   0  139.227961 0.768719   4  
  38  4   1    2   0    0    8  140.510487   0    0  1.366128 142.059433 0.352354 142.525874  0   0  142.525874 1.484924   4  
  39  4   3    2   0    0    8  144.507915   0    0  0.867248 145.523858 0.374068 146.006976  0   0  146.006976 1.001273   3  
  40  5   3    3   1    0    8  147.506008   0    0  1.482831 149.154977 0.220283 149.488084  0   0  149.488084 0.518247   3  
  41  5   1    4   0    0    8  150.504094   0    0  1.682787 152.319633 0.273883 152.702702  0   0  152.702702 1.301739   4  
  42  5   4    4   1    0    8  154.501564   0    0  1.449449 156.083885 0.375919 156.566909  0   0  156.566909 1.434971   4  
  43  5   2    3   0    0    7  158.499020   0    0  1.232963 159.864817 0.333812 160.314523  0   0  160.314523 0.684814   3  
  44  5   2    4   0    0    8  161.497107   0    0  1.216281 162.829589 0.318162 163.262649  0   0  163.262649 0.734772   3  
  45  6   3    3   1    0    8  164.511847   0    0  1.199687 165.844347 0.352228 166.310707  0   0  166.310707 0.701453   3  
  46  6   3    3   1    0    7  167.509950   0    0  1.549565 169.208871 0.765410 170.091677  0   0  170.091677 0.918594   4  
  47  5   3   -1   0    0    3  171.507383   0    0  0.000000 174.022483 0.195730 174.338912  0   0  174.338912 0.668795   4  
  48  5   2    2   1    0    7  175.504850   0    0  1.133671 176.804029 1.573118 178.486284  0   0  178.486284 0.518881   4  
  49  5   1    3   0    0    6  179.502296   0    0  1.699336 181.384437 0.688953 182.183921  0   0  182.183921 0.818700   4  
  50  5   3    1   0    0   -1  183.499749   0    0  2.215567 185.881579 0.000000 187.880223  0   0  187.880223 1.119846   6  
  51  5   3   -1   0    0    3  189.512592   0    0  0.000000 192.027552 0.087271 192.227536  0   0  192.227536 0.785369   4  
  52  5   2    3   0    0    8  193.510048   0    0  1.782430 195.458771 1.456957 197.024476  0   0  197.024476 0.985877   5  
  53  6   4    1   0    0    7  198.506865   0    0  1.649418 200.305726 1.139514 201.554921  0   0  201.554921 1.452243   5  
  54  6   4    4   1    0    7  203.503672   0    0  1.482710 205.119313 0.615803 205.852152  0   0  205.852152 1.151848   4  
  55  6   2    2   1    0    7  207.501125   0    0  1.682495 209.349874 0.936017 210.399271  0   0  210.399271 0.602177   4  
  56  5   1    3   0    0    8  211.498572   0    0  2.182242 213.897068 0.975868 214.979702  0   0  214.979702 1.019210   5  
  57  5   2    2   1    0    8  216.512044   0    0  1.666034 218.360661 1.157049 219.626741  0   0  219.626741 1.385634   5  
  58  5   1   -1   0    0    2  221.508874   0    0  0.000000 224.023767 0.101674 224.240458  0   0  224.240458 0.768727   4  
  59  5   2    4   0    0    8  225.506329   0    0  2.132302 227.754891 1.218019 229.087373  0   0  229.087373 0.919278   5  
  60  5   3    3   1    0    6  230.503140   0    0  1.899233 232.585148 1.735755 234.433960  0   0  234.433960 0.569509   5  
]; % This session completes at 03-Mar-2019 12:05:49, 237.004s after session start, 233s on 60 trials, totally 246.163s, correctness is 48.333%.

