%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at xujiawei (       48.0000000000).3-Mar-2019 12:37:177.374875e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   1   1    6      7      2.498851 1.832766   4.847788 1.394787   6.347109 1.651979   6  
   2  4   14   2   0    7      6      8.496135 1.266168  10.278657 1.318397  11.711359 2.285021   6  
   3  3   14   1   0    3      3     14.493419 1.849377  16.859012 1.228936  18.208418 1.785222   6  
   4  4   14   1   0    2      2     20.507360 2.066026  23.089521 0.744888  23.939140 2.068461   6  
   5  4   14   2   0    5      6     26.504652 1.416138  28.437106 0.920781  29.469981 2.534895   6  
   6  2   14   3   0    2      1     32.501939 2.132869  35.150736 0.771994  36.033664 1.968499   6  
   7  2   14   2   1    6      1     38.499223 1.249598  40.265087 1.139201  41.514515 2.484936   6  
   8  3   14   3   1    3      2     44.496495 1.649375  46.662189 1.902122  48.677946 1.318796   6  
   9  2   14   3   0    2      1     50.493767 1.966055  52.975986 0.677923  53.758969 2.235049   6  
  10  4   14   3   0    2      1     56.507733 2.182488  59.206509 0.364467  59.689620 2.318333   6  
  11  3   14   3   1    3      3     62.505017 1.832739  64.853946 0.925056  65.886809 2.118436   6  
  12  2   14   2   1    1      2     68.502287 2.432485  71.450970 0.374574  71.934065 2.068465   6  
  13  4   14  -1   0    1      3     74.499583 0.000000  77.015112 0.610688  77.731448 2.268352   6  
  14  1   14   1   1    7      7     80.496854 1.399532  82.412650 0.750826  83.278934 2.718151   6  
  15  4   14   3   0    2      3     86.494141 1.849318  88.859740 0.964117  89.942594 2.051784   6  
  16  4   14   1   0    2      2     92.508086 1.899259  94.923659 0.719780  95.756615 2.251702   6  
  17  4   14   4   1    1      6     98.505378 2.315692 101.337422 0.688103 102.137065 1.868536   6  
  18  4   14   4   1    3      5    104.502661 1.749540 106.768286 1.391215 108.267627 1.735257   6  
  19  3   14   3   1    3      4    110.499940 1.782797 112.798895 0.817695 113.731798 2.268369   6  
  20  1   14   4   0    6      7    116.497219 1.499504 118.512982 0.582854 119.212658 2.784793   6  
  21  2   14   2   1    1      4    122.494509 2.399197 125.409847 0.103061 125.626426 2.368305   6  
  22  1   14   3   0    3      2    128.508444 1.849388 130.874047 1.046728 132.040181 1.968495   6  
  23  3   14   4   0    3      3    134.505735 1.849323 136.871331 0.473661 137.454394 2.551574   6  
  24  2   14   3   0    2      4    140.503018 2.082632 143.101832 0.322736 143.534980 2.468269   6  
  25  1   14   1   1    3      2    146.500300 1.899399 148.915875 0.312118 149.332355 2.668181   6  
  26  2   14   2   1    1      4    152.497589 2.332541 155.346288 0.078381 155.529544 2.468272   6  
  27  1   14   3   0    2      4    158.494869 1.932736 160.943769 0.394128 161.443520 2.551579   6  
  28  1   14   4   0    1      4    164.508813 2.365910 167.390845 0.059156 167.557428 2.451616   6  
  29  3   14   4   0    1      5    170.506097 2.265728 173.288168 0.285627 173.687977 2.318348   6  
