%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at xujiayang (       48.0000000000).3-Mar-2019 12:46:417.374875e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   9    3   1   -1      7      2.498848 1.433440   4.447979 0.000000   6.447063 1.552021   6  
   2  4   9    3   0    6      7      8.496158 0.850543   9.862203 1.815656  11.794653 2.201734   6  
   3  3   9    3   1    7      8     14.493409 0.733626  15.742866 1.628843  17.492072 2.501481   6  
   4  3   9    3   1    7      8     20.490771 0.716925  21.723496 1.765236  23.605964 2.384964   6  
   5  2   9    3   0    8      8     26.504629 0.616987  27.637467 0.156990  27.904010 4.100865   6  
   6  3   9    3   1   -1      8     32.501915 0.733696  33.751373 0.000000  35.750375 2.251776   6  
   7  1   9    1   1    3      8     38.515848 1.266753  40.298409 1.799835  42.214204 1.801888   6  
   8  3   9    3   1    7      8     44.513147 0.800603  45.829233 1.399629  47.345204 2.668173   6  
   9  4   9    4   1    3      8     50.510427 1.016829  52.043092 1.782680  53.942200 2.068457   6  
  10  2   9    3   0    4      8     56.507720 1.066884  58.090343 1.182609  59.389750 2.618189   6  
  11  1   9    3   0    2      7     62.504990 1.450092  64.470779 0.268368  64.853938 3.151275   6  
  12  4   9    4   1    5      7     68.502271 1.033831  70.051570 0.940756  71.117765 2.884738   6  
  13  3   9    3   1    6      7     74.499608 0.866939  75.882269 1.442020  77.431572 2.568194   6  
  14  4   9    4   1    2      7     80.496900 1.183291  82.196076 0.550279  82.862435 3.134641   6  
  15  2   9    1   0    1      8     86.494129 1.716773  88.726454 0.928231  89.775979 2.218361   6  
  16  1   9    4   0    2      8     92.491475 1.549923  94.557134 0.608492  95.273473 2.718016   6  
  17  3   9    2   0   -1      7     98.505343 1.417027 100.437801 0.000000 102.436904 1.568661   6  
  18  3   9    3   1    7      8    104.502609 1.050227 106.068580 1.657069 107.834441 2.168400   6  
  19  2   9    3   0    8      8    110.499909 0.817172 111.832633 1.396966 113.348603 2.651528   6  
  20  4   9    4   1    2      8    116.513827 0.916942 117.946531 1.420266 119.479160 2.534906   6  
  21  4   9    4   1    6      8    122.511103 1.033557 124.060433 1.806683 125.976227 2.035124   6  
  22  2   9    4   0    2      8    128.508402 1.250323 130.274277 0.961729 131.357121 2.651511   6  
  23  4   9    4   1    8      8    134.505668 0.733620 135.755133 1.885444 137.754232 2.251679   6  
  24  2   9    2   1    2      8    140.502952 1.499965 142.518734 0.675304 143.301704 2.701496   6  
  25  1   9    2   0    6      7    146.500266 0.817257 147.832978 1.371932 149.315643 2.684839   6  
  26  2   9    2   1    3      7    152.497515 0.833691 153.846929 1.208006 155.162983 2.834788   6  
  27  3   9    2   0    7      7    158.494794 0.783660 159.794230 1.067847 160.977022 3.018029   6  
  28  4   9    2   0    6      7    164.492077 0.833616 165.841498 1.048960 167.007630 2.984678   6  
  29  3   9    2   0    1      7    170.506024 1.600010 172.621750 0.466944 173.204821 2.801427   6  
  30  3   9    3   1    1      7    176.503314 1.766668 178.785619 0.636658 179.535281 2.468258   6  
  31  1   9    4   0    2      8    182.500578 1.633199 184.649641 0.584371 185.349299 2.651528   6  
  32  2   9    2   1    2      6    188.514548 1.566864 190.596922 0.502866 191.213324 2.801432   6  
  33  3   9   -1   0    1      4    194.511890 2.482908 197.010683 0.538357 197.660389 2.351642   6  
  34  4   9    4   1    2      7    200.509086 0.950334 201.975110 0.441662 202.524849 3.484473   6  
  35  1   9    3   0    4      7    206.506389 0.917119 207.939061 1.197864 209.255137 2.751460   6  
  36  4   9    4   1    6      7    212.503653 0.800198 213.819736 1.220111 215.152457 2.851429   6  
  37  3   9    4   0    5      7    218.500928 0.933535 219.950291 1.160810 221.216383 2.784783   6  
  38  2   9    3   0    5      7    224.498221 1.183831 226.197449 1.657479 227.963320 2.035140   6  
  39  3   9    3   1    3      7    230.495497 1.533240 232.544567 1.010747 233.660738 2.334904   6  
  40  1   9    4   0    7      8    236.492786 0.883819 237.892162 0.829505 238.841731 3.151273   6  
  41  2   9    4   0    3      8    242.490055 0.800184 243.806148 1.553316 245.472044 2.518083   6  
  42  2   9    3   0    6      8    248.504006 0.933339 249.953358 0.875563 250.936235 3.067993   6  
  43  2   9    3   0    2      8    254.501303 0.784078 255.800704 1.377657 257.283371 2.718150   6  
  44  2   9    3   0    6      8    260.498556 0.817132 261.831314 1.662448 263.613827 2.385113   6  
  45  4   9    3   0    5      8    266.512489 0.916855 267.945196 1.780355 269.844337 2.168401   6  
  46  4   9    2   0    6      7    272.509802 1.117104 274.142394 1.634987 275.891597 2.118415   6  
  47  3   9    3   1    3      8    278.507135 0.983555 280.006401 1.535397 281.655640 2.351654   6  
