%% MetaTwins_RDMsc_training for 'xujiayang': starting at _nofeedback (       48.0000000000).3-Mar-2019 12:03:08 for '7.374875e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  17  3    3   1    0    7    2.498737   0    0  2.050599   4.664442 1.774350   6.546926  0   0    6.546926 1.452032   6  
   2  17  2    4   0    0    4    8.496016   0    0  2.450428  11.061538 1.791097  12.960677  0   0   12.960677 1.035545   6  
   3  17  1    1   1    0    8   14.493304   0    0  1.334340  15.942660 0.059974  16.125907  0   0   16.125907 0.867572   3  
   4  17  2    4   0    0    6   17.491962   0    0  1.434342  19.041263 0.270000  19.424414  0   0   19.424414 0.567783   3  
   5  17  4    3   0    0    5   20.490600   0    0  1.852417  22.456376 0.748635  23.322652  0   0   23.322652 0.668178   4  
   6  19  3    3   1    0    7   24.488799   0    0  1.918022  26.521202 0.290976  26.921017  0   0   26.921017 1.067995   4  
   7  19  2    3   0    0    3   28.503645   0    0  2.367816  31.002551 1.234706  32.351887  0   0   32.351887 0.651984   5  
   8  19  1    1   1    0    8   33.501438   0    0  1.184337  34.800781 0.001243  34.917408  0   0   34.917408 1.084181   3  
   9  19  4    3   0    0    4   36.500018   0    0  2.367149  38.982216 0.151858  39.248760  0   0   39.248760 0.751516   4  
  10  19  1    1   1    0    8   40.498181   0    0  1.051060  41.664349 0.018864  41.797608  0   0   41.797608 1.200676   3  
  11  19  3    3   1    0    7   43.496844   0    0  1.218023  44.829557 0.767159  45.712505  0   0   45.712505 1.284576   4  
  12  17  2    2   1    0    8   47.495011   0    0  1.667525  49.277554 0.001109  49.394166  0   0   49.394166 0.600922   3  
  13  17  2    4   0    0    3   50.493668   0    0  2.367699  52.975878 1.066008  54.158681  0   0   54.158681 0.835154   5  
  14  17  2    3   0    0    5   55.508047   0    0  2.233961  57.857002 0.648241  58.623313  0   0   58.623313 1.384966   5  
  15  19  4    4   1    0    8   60.505802   0    0  1.201390  61.821861 0.057302  62.005119  0   0   62.005119 1.000896   3  
  16  19  4    3   0    0    5   63.504437   0    0  2.301192  65.920006 0.501137  66.536406  0   0   66.536406 1.468253   5  
  17  19  1    1   1    0    8   68.502149   0    0  1.101149  69.718288 0.177876  70.001500  0   0   70.001500 1.000895   3  
  18  19  3    3   1    0    8   71.500798   0    0  1.417686  73.033444 0.702846  73.849753  0   0   73.849753 1.151276   4  
  19  17  3    3   1    0    7   75.515652   0    0  1.734174  77.364820 0.677460  78.147789  0   0   78.147789 0.868086   4  
  20  17  2    2   1    0    8   79.513848   0    0  1.218172  80.846567 0.011206  80.979841  0   0   80.979841 1.034217   3  
