%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at guoyang (       48.0000000000).3-Mar-2019 17:26:327.374877e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   8    2   1    5    2.498882 1.749856   4.364688 0.046775   4.531283 3.467804   6  
   2  3   8    2   0    5    8.496148 1.166762   9.778894 0.076616   9.962139 4.034182   6  
   3  1   8    1   1    6   14.493413 1.549937  16.175931 0.069617  16.359235 3.634313   6  
   4  4   8    2   0    6   20.490681 2.099667  22.772975 0.442411  23.322736 2.668023   6  
   5  3   8    3   1    6   26.504630 1.166756  27.787368 0.001009  27.903978 4.100873   6  
   6  4   8    4   1    6   32.501894 1.100054  33.718010 0.000775  33.834644 4.167475   6  
   7  4   8    3   0    6   38.499160 1.399959  40.015141 0.000878  40.131757 3.867625   6  
   8  1   8    1   1    6   44.496424 1.383373  46.045714 0.001065  46.162332 3.834320   6  
   9  1   8    2   0    6   50.493693 1.249975  51.893064 0.000705  52.009673 3.984265   6  
  10  1   8    2   0    6   56.507630 1.299979  57.940324 0.000964  58.056920 3.950945   6  
  11  1   8    2   0    6   62.504893 1.166741  63.837634 0.000844  63.954249 4.050838   6  
  12  3   8    3   1    6   68.502175 1.916375  70.534575 0.000797  70.651195 3.351127   6  
  13  4   8    3   0    6   74.499450 0.950134  75.582240 0.002174  75.698887 4.300654   6  
  14  3   8    3   1    6   80.513363 1.016712  81.646030 0.006340  81.762813 4.250789   6  
  15  3   8    2   0    6   86.510634 2.332945  88.959541 0.000670  89.076136 2.934735   6  
  16  1   8    1   1    3   92.507911 1.366672  94.007230 0.055156  94.173826 3.834314   6  
  17  2   8    2   1    5   98.505181 1.283338  99.904559 0.072981 100.087800 3.917611   6  
  18  2   8    2   1    6  104.502468 1.250194 105.885107 0.009916 106.001779 4.000906   6  
  19  3   8    2   0    6  110.499730 1.516626 112.132317 0.256317 112.498812 3.501150   6  
  20  2   8    2   1    6  116.496996 1.250147 117.913026 0.415075 118.446119 3.551085   6  
  21  2   8    2   1    7  122.494271 0.983358 123.627003 0.029247 123.777035 4.217389   6  
  22  4   8    1   0    6  128.491538 1.016681 129.624350 0.002453 129.740961 4.250690   6  
  23  2   8    2   1    6  134.488816 0.950078 135.554994 0.036204 135.704920 4.283960   6  
