%% MetaTwins_RDMsc_training for 'guoyang': starting at _nofeedback (       48.0000000000).3-Mar-2019 16:49:59 for '7.374877e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  2    2   1    0    6    2.498851   0    0  0.966850   3.581673 0.816154   4.514603  0   0    4.514603 1.484479   4  
   2  20  1    1   1    0    6    6.497029   0    0  0.900039   7.513243 0.200616   7.829749  0   0    7.829749 1.167501   3  
   3  18  1    1   1    0    5    9.495658   0    0  1.033592  10.645069 0.171238  10.928343  0   0   10.928343 1.067549   3  
   4  18  2    2   1    0    6   12.494299   0    0  0.700077  13.327107 0.068748  13.510512  0   0   13.510512 1.484005   3  
   5  16  4    3   0    0    6   15.492928   0    0  1.466525  17.075543 0.027937  17.208827  0   0   17.208827 0.784330   3  
   6  16  2    2   1    0    6   18.491565   0    0  0.783359  19.391166 0.056615  19.557750  0   0   19.557750 1.434034   3  
   7  16  2    2   1    0    6   21.506874   0    0  0.850128  22.473088 0.057826  22.639667  0   0   22.639667 1.367421   3  
   8  14  1    1   1    0    5   24.505494   0    0  0.816914  25.438408 0.057503  25.604986  0   0   25.604986 1.400738   3  
   9  14  4    4   1    0    6   27.504140   0    0  1.416554  29.036773 0.025280  29.170042  0   0   29.170042 0.834292   3  
  10  13  1    1   1    0    5   30.502770   0    0  0.733726  31.352385 0.082159  31.552302  0   0   31.552302 1.450692   3  
  11  13  3    4   0    0    6   33.501402   0    0  1.932870  35.550465 0.033636  35.700420  0   0   35.700420 1.301188   4  
  12  13  4    1   0    0    6   37.499591   0    0  0.883572  38.499142 0.113096  38.732368  0   0   38.732368 1.267429   3  
  13  14  4    4   1    0    6   40.498206   0    0  1.549881  42.164123 0.014498  42.297407  0   0   42.297407 0.701028   3  
  14  14  4    1   0    0    6   43.496850   0    0  0.850238  44.463086 0.034832  44.613028  0   0   44.613028 1.384027   3  
  15  14  1    1   1    0    6   46.495488   0    0  0.766894  47.378424 0.080856  47.578335  0   0   47.578335 1.417378   3  
  16  14  1    1   1    0    7   49.494100   0    0  0.733633  50.343738 0.164518  50.626940  0   0   50.626940 1.367403   3  
  17  13  4    4   1    0    7   52.492765   0    0  2.249343  54.908341 0.013232  55.041595  0   0   55.041595 0.951373   4  
  18  13  2    2   1    0    6   56.490952   0    0  1.183951  57.806950 0.141728  58.056901  0   0   58.056901 0.934251   3  
  19  12  4    4   1    0    7   59.506233   0    0  2.099587  61.721907 0.081505  61.921793  0   0   61.921793 1.084648   4  
  20  12  4    3   0    0    7   63.504422   0    0  1.799631  65.420217 0.180748  65.720072  0   0   65.720072 1.284550   4  
  21  12  1    1   1    0    6   67.502595   0    0  1.250058  68.868647 0.000819  68.985263  0   0   68.985263 1.017517   3  
  22  12  4    4   1    0    7   70.501232   0    0  1.033274  71.650713 0.063798  71.833954  0   0   71.833954 1.167471   3  
  23  11  3    4   0    0    7   73.499870   0    0  1.400014  75.032519 0.152709  75.299052  0   0   75.299052 0.700997   3  
  24  11  3    3   1    0    7   76.498504   0    0  1.449975  78.064466 0.122944  78.297688  0   0   78.297688 0.701003   3  
  25  11  1    1   1    0    6   79.497145   0    0  1.383942  80.996388 0.161477  81.263001  0   0   81.263001 0.734312   3  
  26  10  2    2   1    0    6   82.495773   0    0  1.249961  83.911666 0.005362  84.028412  0   0   84.028412 0.967550   3  
  27  10  2    2   1    0    6   85.494400   0    0  0.683646  86.327374 0.000462  86.443979  0   0   86.443979 0.550619   2  
  28   9  2    2   1    0    6   87.493491   0    0  0.567122  88.209743 0.004358  88.326455  0   0   88.326455 0.667232   2  
  29   9  3    2   0    0    6   89.492560   0    0  1.200001  90.841985 0.162768  91.125180  0   0   91.125180 0.867590   3  
  30   9  1    3   0    0    6   92.491221   0    0  2.082842  94.706892 0.009714  94.823505  0   0   94.823505 1.167896   4  
  31  10  2    4   0    0    6   96.506060   0    0  1.466493  98.088681 0.073595  98.271931  0   0   98.271931 0.734306   3  
  32  10  1    1   1    0    5   99.504706   0    0  0.833395 100.470943 0.522156 101.103974  0   0  101.103974 0.900910   3  
  33  10  1    1   1    0    6  102.503344   0    0  1.033517 103.669479 0.124641 103.902696  0   0  103.902696 1.100806   3  
  34   9  3    3   1    0    7  105.501968   0    0  1.083531 106.701423 0.023105 106.834694  0   0  106.834694 1.167448   3  
  35   9  2    3   0    0    6  108.500608   0    0  1.116542 109.750003 0.093092 109.949944  0   0  109.949944 1.050831   3  
  36   9  3    3   1    0    6  111.499234   0    0  1.399964 113.015215 0.109034 113.231786  0   0  113.231786 0.767631   3  
  37   9  4    3   0    0    7  114.497885   0    0  1.199924 115.830603 0.099819 116.047175  0   0  116.047175 0.950867   3  
  38   9  4    3   0    0    7  117.496505   0    0  0.966803 118.579214 0.173239 118.862568  0   0  118.862568 1.134114   3  
  39  10  3    3   1    0    7  120.495154   0    0  1.099945 121.711268 0.045902 121.861203  0   0  121.861203 1.134115   3  
