%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at guoyue (       48.0000000000).3-Mar-2019 17:06:417.374877e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   8    3   0    4      7      2.498550 2.215776   5.230143 0.703178   6.046308 1.952573   6  
   2  4   8    4   1    7      6      8.494727 1.332727  10.343564 0.351161  10.809924 3.185133   6  
   3  3   8    3   1    7      6     14.507570 1.466158  16.489633 0.238549  16.839423 3.168483   6  
   4  4   8    4   1    6      5     20.503752 1.799169  22.818934 0.653759  23.585118 2.418963   6  
   5  4   8    4   1    6      1     26.499929 1.682658  28.698536 0.443401  29.264836 2.735434   6  
   6  4   8    4   1    6      5     32.496106 1.815885  34.827963 0.205972  35.144432 2.852013   6  
   7  4   8    4   1    6      5     38.508945 1.849173  40.874097 0.085784  41.073989 2.935297   6  
   8  3   8    3   1    7      6     44.505138 1.299492  46.320635 0.551530  46.986874 3.018591   6  
   9  2   8    2   1    6      6     50.501309 1.749173  52.766517 0.769302  53.649313 2.352330   6  
  10  4   8    4   1    4      5     56.497481 1.982406  58.995895 0.929931  60.045205 1.952622   6  
  11  4   8    3   0    6      6     62.493659 1.782614  64.792182 0.292516  65.208602 2.785401   6  
  12  1   8    1   1    6      5     68.506507 1.232842  70.255464 0.378588  70.755085 3.251751   6  
  13  1   8    1   1    6      6     74.502683 1.132906  76.151637 0.434819  76.701271 3.301745   6  
  14  4   8    2   0    7      6     80.498859 1.515983  82.530903 0.001263  82.647482 3.351707   6  
  15  1   8    1   1    6      6     86.495031 0.999834  88.010744 0.445552  88.577047 3.418325   6  
  16  4   8    3   0    6      6     92.507878 1.615971  94.639864 0.147936  94.906342 3.101865   6  
  17  1   8    1   1    6      6     98.504064 1.282883 100.302918 0.154295 100.569403 3.434986   6  
  18  1   8    1   1    6      6    104.500238 0.983110 105.999277 0.195303 106.315744 3.684823   6  
  19  1   8    2   0    6      6    110.496491 1.282644 112.295268 0.024558 112.445177 3.551572   6  
  20  4   8    2   0    6      6    116.509249 1.216220 118.241467 0.197607 118.557964 3.451625   6  
  21  3   8    3   1    7      6    122.505433 1.266181 124.287693 1.779899 126.186424 1.819345   6  
  22  1   8    1   1    7      6    128.501607 0.883090 129.900726 0.321196 130.333776 3.668165   6  
  23  4   8    3   0    6      6    134.497794 1.432609 136.446545 0.910766 137.479229 2.518896   6  
  24  2   8    2   1    6      6    140.510629 0.916459 141.943051 0.001143 142.059651 3.951311   6  
