%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at guorui (       48.0000000000).5-Mar-2019 17:13:107.374897e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   15   3   0    2    2.499073 1.151156   3.765180 1.012641   4.897992 3.101311   6  
   2  4   15   4   1    4    8.496356 1.667140  10.278803 0.807780  11.211778 2.784779   6  
   3  3   15   3   1    8   14.493625 0.817333  15.426532 0.681457  16.226173 3.767617   6  
   4  3   15   3   1    8   20.490888 0.701571  21.307195 0.283755  21.707011 4.284023   6  
   5  4   15   4   1    8   26.488157 1.067850  27.670966 0.132662  27.920840 4.067433   6  
   6  3   15   3   1    8   32.502101 1.050774  33.668225 0.028526  33.818164 4.184005   6  
   7  1   15   4   0    8   38.499362 1.750641  40.365189 0.055111  40.531773 3.467625   6  
   8  4   15   3   0    8   44.513301 2.016926  46.662325 0.555146  47.328691 2.684841   6  
   9  1   15   4   0    5   50.510557 1.433853  52.059870 0.193456  52.376389 3.634411   6  
  10  1   15   3   0    2   56.507833 2.333552  58.973248 0.311285  59.406514 2.601560   6  
  11  3   15   3   1    3   62.505105 0.967594  63.637939 1.210224  64.970661 3.034677   6  
  12  3   15   3   1    5   68.502373 1.134175  69.785128 0.493912  70.401527 3.601086   6  
  13  1   15   4   0    2   74.499648 2.200992  76.831832 0.716405  77.664883 2.334998   6  
  14  2   15   4   0    1   80.496924 2.050434  82.712576 0.573761  83.395595 2.601556   6  
  15  3   15   3   1    7   86.494192 0.751252  87.393695 1.203435  88.709855 3.284572   6  
  16  1   15   3   0    2   92.508123 1.717164  94.407267 0.808474  95.340151 2.668205   6  
  17  4   15   3   0    1   98.505369 2.333559 100.987610 0.716813 101.820549 2.185060   6  
  18  2   15   4   0    1  104.502664 2.233511 106.901561 0.762321 107.784511 2.218331   6  
  19  3   15   3   1    5  110.499933 1.350432 111.965940 1.477930 113.565199 2.434892   6  
  20  1   15  -1   0    2  116.497192 0.000000 119.012741 0.104991 119.229293 2.768039   6  
  21  4   15   3   0    4  122.494484 1.500398 124.126918 0.910059 125.159941 2.834628   6  
  22  1   15   2   0    2  128.491739 2.000271 130.657436 0.658972 131.423740 2.568077   6  
  23  4   15   4   1    5  134.505674 1.600418 136.254883 1.149317 137.520966 2.484936   6  
