%% MetaTwins_RDMsc_training for 'guorui': starting at _nofeedback (       48.0000000000).5-Mar-2019 16:58:06 for '7.374897e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  14  4   -1   0    0   -1    2.498867   0    0  0.000000   5.014407 0.000000   7.013422  0   0    7.013422 0.985658   6  
   2  14  2    3   0    0    3    8.496119   0    0  1.767501  10.395266 0.768170  11.278209  0   0   11.278209 0.718125   4  
   3  14  2    3   0    0    6   12.494317   0    0  0.834676  13.460540 0.351503  13.926989  0   0   13.926989 1.067506   3  
   4  15  2    2   1    0    5   15.492957   0    0  0.900752  16.559129 0.989638  17.658624  0   0   17.658624 1.334506   4  
   5  15  2    3   0    0    6   19.491123   0    0  1.017518  20.623953 0.188724  20.923822  0   0   20.923822 1.067467   3  
   6  15  2    3   0    0    2   22.489760   0    0  0.984428  23.589276 1.100038  24.805377  0   0   24.805377 1.184529   4  
   7  16  4    3   0    0    5   26.504603   0    0  0.934285  27.587306 0.998627  28.703604  0   0   28.703604 1.301134   4  
   8  16  3    2   0    0    3   30.502778   0    0  0.700948  31.402376 0.572773  32.085395  0   0   32.085395 0.917511   3  
   9  18  1    3   0    0    1   33.501424   0    0  1.034103  34.667438 0.890146  35.667111  0   0   35.667111 1.334422   4  
  10  18  1    3   0    0    2   37.499596   0    0  1.767063  39.398597 0.402164  39.915162  0   0   39.915162 1.084534   4  
  11  20  1    1   1    0    7   41.497772   0    0  1.083919  42.747220 0.202475  43.063736  0   0   43.063736 0.934113   3  
  12  20  4    3   0    0    8   44.496418   0    0  1.767060  46.395514 0.077394  46.595446  0   0   46.595446 1.401030   4  
  13  20  1    1   1    0    8   48.494598   0    0  0.667530  49.294158 0.027367  49.444160  0   0   49.444160 0.550494   2  
  14  20  2    3   0    0    3   50.493687   0    0  1.567010  52.192913 0.153888  52.459452  0   0   52.459452 0.534284   3  
  15  20  3    3   1    0    8   53.508980   0    0  1.400733  55.041553 0.037862  55.191550  0   0   55.191550 0.817667   3  
  16  20  2    1   0    0    1   56.507611   0    0  1.567425  58.206854 0.163499  58.490044  0   0   58.490044 0.517799   3  
  17  20  2    3   0    0    3   59.506247   0    0  1.050956  60.672294 0.136201  60.922264  0   0   60.922264 1.084209   3  
  18  22  4    4   1    0    8   62.504879   0    0  1.733715  64.354033 0.091450  64.553965  0   0   64.553965 1.451156   4  
  19  22  1    1   1    0    8   66.503058   0    0  0.750866  67.385914 0.035668  67.535938  0   0   67.535938 1.467357   3  
  20  19  2    4   0    0    8   69.501706   0    0  0.984263  70.617853 0.054966  70.784465  0   0   70.784465 1.217471   3  
  21  19  3    4   0    0    8   72.500336   0    0  0.517822  73.133391 0.016504  73.266660  0   0   73.266660 0.733897   2  
  22  21  3    4   0    0    8   74.499422   0    0  0.667555  75.282406 0.033252  75.432335  0   0   75.432335 0.567328   2  
  23  21  4    4   1    0    8   76.498519   0    0  1.383959  78.031157 0.021713  78.164440  0   0   78.164440 0.834306   3  
