%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhaowenyu (       48.0000000000).5-Mar-2019 17:22:467.374897e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   13   3   0    4      2      2.498846 1.033540   4.048163 1.254393   5.414210 2.584861   6  
   2  1   13   2   0    4      5      8.496133 1.916482  10.928369 0.727684  11.761321 2.235050   6  
   3  3   13   3   1    2      3     14.493427 2.149250  17.158881 0.645787  17.925203 2.068458   6  
   4  1   13   4   0    5      1     20.507373 2.299286  23.322759 0.531558  23.972458 2.035135   6  
   5  2   13   2   1    5      2     26.504659 2.232709  29.253404 0.774296  30.136347 1.868525   6  
   6  1   13   2   0    7      4     32.501932 1.533048  34.551010 0.566225  35.234033 2.768126   6  
   7  1   13   1   1    6      3     38.499220 1.716308  40.731553 0.769175  41.614480 2.384970   6  
   8  4   13   3   0    6      4     44.496497 1.732908  46.745484 0.437372  47.295242 2.701484   6  
   9  1   13   2   0    4      2     50.510451 2.299329  53.325838 1.004298  54.441994 1.568683   6  
  10  4   13   3   0    3      2     56.507733 2.432699  59.456398 0.983163  60.555897 1.452061   6  
  11  4   13   2   0    4      4     62.505017 2.299286  65.320401 1.117337  66.553204 1.452035   6  
  12  3   13  -1   0    2      3     68.502290 0.000000  71.017840 1.115823  72.250604 1.751927   6  
  13  2   13   2   1    7      3     74.499578 1.749481  76.765220 0.614507  77.498198 2.501604   6  
  14  1   13   3   0    4      2     80.513518 2.399342  83.428869 0.928696  84.478402 1.535343   6  
  15  2   13   4   0    6      5     86.510808 2.132753  89.159614 1.082473  90.359070 1.651992   6  
  16  1   13   2   0    7      5     92.508093 1.999460  95.023614 0.900196  96.039829 1.968493   6  
  17  2   13   2   1    5      1     98.488727 2.315966 101.320766 0.954572 102.386951 1.601829   6  
  18  3   13   3   1    3      1    104.485997 2.449241 107.451321 0.657831 108.217640 1.768446   6  
  19  3   13   4   0    4      1    110.499937 2.332612 113.348652 0.767016 114.231586 1.768468   6  
  20  4   13   2   0    3      3    116.497236 2.432566 119.445896 0.639275 120.195547 1.801807   6  
  21  2   13   2   1    5      1    122.494511 2.299371 125.309895 0.856231 126.276141 1.718511   6  
  22  1   13   1   1    5      4    128.491804 2.082765 131.090617 0.960604 132.156805 1.835146   6  
  23  3   13   3   1    6      7    134.505745 1.999135 137.021266 0.609741 137.737610 2.268290   6  
  24  3   13   3   1    5      2    140.503024 2.332669 143.351738 0.852411 144.317953 1.685248   6  
  25  1   13   1   1    7      8    146.500313 1.699593 148.715979 0.621904 149.448977 2.551528   6  
  26  3   13   3   1    7      5    152.497592 1.533024 154.546667 0.639934 155.296315 2.701493   6  
  27  4   13   2   0    5      3    158.494883 2.315689 161.326922 0.942744 162.376452 1.618651   6  
  28  3   13   3   1    2      2    164.508814 2.499207 167.524118 1.008141 168.640286 1.368758   6  
  29  3   13   4   0    7      5    170.506085 1.766241 172.788400 0.611611 173.504736 2.501599   6  
