%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhaowenyu (       48.0000000000).5-Mar-2019 17:13:037.374897e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   13   3   0    7    2.498852 2.083311   4.697855 1.038418   5.847341 2.151721   6  
   2  4   13   4   1    6    8.496131 1.433296  10.045444 0.904664  11.061646 2.934637   6  
   3  1   13   3   0    4   14.493415 1.999719  16.609128 0.808992  17.525394 2.468123   6  
   4  2   13   2   1    3   20.507362 1.899768  22.556429 0.999538  23.672595 2.335006   6  
   5  3   13   3   1    6   26.504639 1.666443  28.287179 1.339065  29.736513 2.268369   6  
   6  2   13   2   1    8   32.501938 0.833461  33.451510 0.112265  33.684727 4.317435   6  
   7  4   13   4   1    8   38.499212 1.300062  39.915235 0.135583  40.165127 3.834312   6  
   8  1   13   3   0    3   44.496490 1.483368  46.095777 1.228227  47.445168 2.551562   6  
   9  2   13   2   1    7   50.493778 2.133613  52.742758 0.967203  53.825605 2.168333   6  
  10  1   13   3   0    3   56.491068 2.099793  58.706730 1.186575  60.006136 1.985039   6  
  11  3   13   3   1    2   62.505007 1.932856  64.587401 0.929962  65.636929 2.368309   6  
  12  1   13   3   0    4   68.502290 2.099666  70.717953 0.794574  71.634205 2.368328   6  
  13  3   13   1   0    3   74.499573 1.783166  76.398595 1.332273  77.848054 2.151756   6  
  14  1   13   2   0    6   80.496865 2.099652  82.712525 0.880494  83.712076 2.285008   6  
  15  2   13   2   1    7   86.494151 1.549930  88.193386 0.995726  89.309534 2.684841   6  
  16  4   13   3   0    4   92.491418 2.066377  94.707091 1.868213  96.689525 1.302077   6  
  17  3   13  -1   0    2   98.488720 0.000000 101.004275 0.033413 101.154181 2.834658   6  
  18  3   13   2   0    3  104.486002 2.332949 106.934824 0.818697 107.867810 2.118236   6  
  19  4   13   1   0    3  110.499934 2.033000 112.665632 0.740379 113.515237 2.484927   6  
  20  2   13   2   1    6  116.497215 2.166319 118.779512 1.162873 120.062272 1.935176   6  
  21  4   13   4   1    8  122.511159 1.050158 123.693975 0.226869 124.027142 3.984262   6  
  22  3   13   2   0    3  128.508456 2.182997 130.824074 0.523109 131.457113 2.551570   6  
  23  1   13   3   0    6  134.505716 1.816694 136.438207 0.720784 137.271149 2.734785   6  
  24  3   13   1   0    3  140.503014 1.583398 142.218908 1.151704 143.484996 2.518162   6  
  25  4   13   2   0    3  146.500296 2.399455 149.015830 0.897806 150.032043 1.968330   6  
  26  1   13   3   0    4  152.514250 2.082959 154.713252 1.056716 155.879382 2.135093   6  
  27  3   13   3   1    4  158.511519 2.316262 160.943766 0.866318 161.926644 2.085121   6  
  28  4   13   1   0    4  164.508806 2.233004 166.857668 0.943505 167.907274 2.101771   6  
  29  4   13   1   0    4  170.506095 1.449989 172.072056 1.009216 173.188223 2.818099   6  
  30  3   13   2   0    3  176.503379 2.199730 178.835515 1.518383 180.468257 1.535331   6  
  31  2   13   2   1    7  182.500666 1.499906 184.133257 0.801664 185.049505 2.951306   6  
  32  4   13   4   1    5  188.497939 1.949740 190.580339 0.585311 191.280014 2.718020   6  
  33  2   13   2   1    3  194.511879 2.066374 196.694244 1.132303 197.943661 2.068463   6  
  34  2   13   2   1    3  200.509175 2.116344 202.741504 1.619153 204.474024 1.535384   6  
  35  2   13   2   1    7  206.506458 1.033456 207.655937 0.218743 207.989118 4.017559   6  
  36  4   13   4   1    4  212.503732 2.315993 214.969285 1.644212 216.718524 1.285452   6  
  37  3   13   3   1   -1  218.501019 2.399554 221.016557 0.000000 223.015584 0.985674   6  
  38  1   13   1   1    6  224.498307 2.066354 226.680647 0.857883 227.646883 2.351592   6  
  39  3   13   2   0    1  230.495584 2.332781 232.944479 1.577123 234.627054 1.368652   6  
  40  3   13   3   1    2  236.509535 2.449470 239.108372 0.661203 239.874675 2.135088   6  
  41  2   13   2   1    6  242.506817 1.633179 244.256028 0.332349 244.705821 3.301229   6  
  42  2   13   4   0    6  248.504105 2.184362 250.819660 0.577199 251.502747 2.501584   6  
  43  2   13   4   0    5  254.501386 1.616575 256.233940 0.385377 256.733710 3.267911   6  
  44  4   13   1   0    6  260.498667 2.316335 262.930909 0.705193 263.747189 2.251712   6  
  45  2   13   2   1    6  266.495954 1.616644 268.228506 0.440007 268.778258 3.217875   6  
  46  3   13   1   0    4  272.493241 2.199648 274.808860 1.937135 276.857933 1.135431   6  
  47  3   13   2   0    3  278.490522 2.183237 280.839463 1.491476 282.438732 1.551851   6  
  48  1   13   1   1    7  284.504462 1.549912 286.170382 0.163768 286.453591 3.551092   6  
  49  1   13   1   1    8  290.501740 1.533138 292.167664 0.168809 292.450867 3.551105   6  
  50  1   13   3   0    8  296.499042 2.132981 298.781342 0.367497 299.264449 2.734812   6  
  51  3   13   1   0    7  302.496312 1.966476 304.578572 0.679297 305.378351 2.618204   6  
  52  1   13   1   1    3  308.493602 2.083045 310.709125 1.170329 311.992014 2.001789   6  
  53  4   13   2   0    7  314.490878 1.749913 316.390026 0.579580 317.089711 2.901323   6  
  54  3   13   1   0    4  320.488160 1.966245 322.570548 0.890827 323.570105 2.418143   6  
  55  1   13   1   1    8  326.502112 1.366687 327.984774 0.252799 328.351274 3.651055   6  
  56  4   13   2   0    3  332.499385 2.066325 334.681732 1.246519 336.047790 1.951834   6  
  57  4   13  -1   0    4  338.496675 0.000000 341.012213 0.126754 341.245437 2.751488   6  
  58  2   13   2   1    8  344.493956 0.883549 345.510161 0.194037 345.810037 4.184160   6  
  59  4   13   4   1    4  350.491233 1.683096 352.307102 1.480839 353.906368 2.085102   6  
  60  4   13   4   1    7  356.505192 1.466636 358.104460 0.158656 358.371018 3.634321   6  
  61  4   13   3   0    3  362.502473 1.716695 364.351575 1.118960 365.584407 2.418154   6  
  62  2   13   2   1    4  368.516410 1.699841 370.348825 0.849853 371.315149 2.701486   6  
  63  2   13   2   1    7  374.513699 1.899712 376.546114 0.573347 377.229127 2.784804   6  
  64  4   13   4   1    7  380.510974 1.683133 382.310164 0.367100 382.793278 3.217939   6  
  65  3   13   3   1    6  386.508267 1.982877 388.607241 0.990061 389.706826 2.301670   6  
  66  4   13   4   1    8  392.505537 2.116422 394.737879 0.216843 395.071055 2.934730   6  
  67  1   13   1   1    3  398.502831 2.183010 400.801794 1.006960 401.917962 2.085036   6  
  68  3   13   2   0    3  404.500125 2.266243 406.882309 0.872893 407.865260 2.134962   6  
  69  1   13   4   0    6  410.514052 1.366631 412.013394 0.582037 412.713060 3.301233   6  
  70  3   13   2   0    5  416.511336 2.116086 418.760279 0.861989 419.743214 2.268353   6  
  71  1   13   1   1    6  422.508613 2.116164 424.740943 0.782396 425.640548 2.368311   6  
  72  2   13   3   0    6  428.505901 1.999818 430.638119 0.816054 431.571188 2.434949   6  
  73  2   13   2   1    5  434.503187 2.116191 436.751994 0.689940 437.551822 2.451601   6  
  74  4   13   2   0    3  440.500481 2.266272 442.932726 0.859207 443.898932 2.101733   6  
  75  4   13   4   1    2  446.497757 2.033003 448.696762 1.084117 449.896223 2.101673   6  
  76  4   13   4   1    2  452.495044 2.166137 454.810660 1.215026 456.143396 1.851720   6  
  77  2   13   3   0    2  458.508981 2.182938 460.807946 0.735823 461.657567 2.351655   6  
  78  3   13   3   1    7  464.506276 2.066355 466.738602 1.048305 467.904732 2.101767   6  
  79  1   13   1   1    7  470.503549 2.366232 472.985762 0.684406 473.785407 2.218385   6  
  80  3   13   2   0    2  476.500841 2.232864 478.883097 1.010474 479.999279 2.001787   6  
  81  1   13   2   0    1  482.498116 2.383194 485.013585 1.104357 486.229772 1.768555   6  
  82  3   13   3   1    6  488.495403 2.466095 491.077574 0.524686 491.710628 2.284925   6  
  83  2   13  -1   0    4  494.492696 0.000000 497.008233 0.176105 497.291429 2.701341   6  
  84  2   13  -1   0    4  500.506635 0.000000 503.022180 0.014685 503.155435 2.851426   6  
